Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4263,Borewells,"Borewell near MPP School, Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",,7.36,3640,,29,0.29,,,,,,2.2,20,296,672,56,11,7,711,166,72,23,113,2005,1483,36,Not analysed,,Less than  0.01,15,0.44,25.07,1.84,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,0.3,2.6,BDL
4276,Borewells,"Borewell near Grampanchyat Office, Khazipally village, Sangareddy District",,7.31,2215,,39,0.36,,,,,,2,24,256,296,24,5,2,325,64,40,18,75,1285,951,34,Not analysed,,Less than  0.01,13,0.32,32.2,1.8,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,1.09
4267,Borewells,Borewell IDA Kattedan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4260,Borewells,"Bore well near MSW Dump yard, Medak Town, Medak District",,7.5,1084,,15,0.43,,,,,,1.7,20,256,132,48,10,6,212,81,26,76,37,645,526,9,Not analysed,,Less than 0.01,6,0.28,20.16,0.91,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,1.82,BDL
4277,Borewells,"B/W at ZPHS, Sulthanpur",,7.42,6100,,37,0.57,,,,,,1.3,36,450,810,58,11,6,1150,226,142,97,231,3469,2791,38,Not analysed,,Less than 0.01,38,0.56,29.41,2.95,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,1.41
4278,Borewells,"B/W at Aurobindo, Hatnur, Sangareddy",,7.28,1674,,21,0.12,,,,,,12,24,280,84,32,7,4,438,86,54,81,119,1023,998,17,Not analysed,,Less than 0.01,15,0.43,36.03,2.47,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,1.06
4279,Borewells,"B/W near M/s. Arch Pharma, Gundla machanur, Sangareddy",,6.96,3200,,11,0.18,,,,,,1.4,12,72,56,8,8,5,980,95,82,115,219,1874,1539,11,Not analysed,,Less than 0.01,31,0.52,43.48,3.96,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,0.89
4280,Borewells,"B.w at IDA Rampur, Hanamkonda, Warangal",2,7.58,3875,,4.8,Not Analysed,,,,,,14,Less than 1,720,1732,312,Less than 1,Not analysed,510,245,120,154,398,2210,Not aNot analysedlysed,10,,Not analysed,Less than 0.01,8,1.1,43.52,5.19,,,,,,,,
4266,Borewells,"Borewell, Near Primary School, Adloor Yellareddy (V), Sadashivanagar (M), Kamareddy Dist.",,7.18,1518,,13,0.23,,,,,,1.9,20,240,128,20,4,3,230,46,28,17,51,850,655,13,Not analysed,,Less than 0.01,7,0.58,31.54,1.46,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4264,Borewells,"Bore well water point at ZP Girls high school, Bhudan Pochampally (V&M), Yadadri District.",,7.26,2100,,23,0.49,,,,,,2.2,28,460,705,21,5,3,252,48,32,45,89,1178,731,18,Not analysed,,Less than 0.01,6,0.63,42.57,2.43,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,11.6
4265,Borewells,"B/W at Gram panchayath office, Dothigudem",,7.21,2590,,21,0.21,,,,,,1.8,28,380,220,10,2,1,384,78,46,23,91,1496,1261,16,Not analysed,,Less than 0.01,15,0.29,32.77,2.01,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4281,Borewells,"B/W near Bhimanpalli village (open land), Pochampally Mandal",,7.34,3010,,25,0.17,,,,,,2.3,36,500,920,22,5,3,427,92,48,,297,1651,1289,21,Not analysed,,Less than  0.01,18,0.27,58.76,6.23,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,4.9
4282,Borewells,"B/W Agricultural land near Radhamma Independent house Aarla bavi, Pochampally Mandal",,7.37,1667,,35,0.12,,,,,,1.6,20,260,212,12,3,2,215,50,22,14,75,933,709,25,Not analysed,,Less than  0.01,8,0.21,41.81,2.22,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,2.8,BDL
4283,Borewells,"B/W near Gram Panchayat Dantur , Pochampally Mandal",,7.41,3920,,32,0.15,,,,,,2.9,28,460,570,14,3,1.4,584,112,74,19,97,2271,1791,10,Not analysed,,Less than  0.01,13,0.33,25.85,1.74,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,2.12
4284,Borewells,"B/W near malkapur lake, malkapur village (Agricultural field), Choutuppal Mandal",,7.49,1732,,19,0.32,,,,,,1.5,16,181,96,8,2,1,291,54,38,17,69,973,655,16,Not analysed,,Less than  0.01,9,0.25,32.98,1.75,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,3.85
4285,Borewells,"B/W near peddakondur village (Agricultural field), Choutuppal Mandal",,7.25,2775,,27,0.26,,,,,,1.2,20,260,196,20,4,2,333,74,36,25,41,1554,969,19,Not analysed,,Less than  0.01,11,0.4,20.34,0.97,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,4.29
4286,Borewells,"B/W near Ankireddigudem village (Agricultural field), Choutuppal Mandal",,7.18,678,,27,0.42,,,,,,2.7,28,450,260,6,Less than 1,Less than 1,194,92,39,13,87,366,745,15,Not analysed,,Less than  0.01,5,0.36,32.16,1.91,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4287,Borewells,"B/W at MPP School Lingareddygudem village (Beside choutuppal-valigonda road), Choutuppal Mandal",,6.96,1732,,18,0.37,,,,,,2.4,32,280,120,12,2.7,1.6,263,56,30,25,63,1024,791,11,Not analysed,,Less than  0.01,9,0.32,33.12,1.68,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,9.8
4288,Borewells,"B/W near Nagaram cheruvu, Devalamma nagaram village",,9.72,1160,,11,0.15,,,,,,1.4,16,110,60,4,Less than 1,Less than 1,297,66,32,26,85,669,448,14,Not analysed,,Less than  0.01,7,0.23,37.55,2.14,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,0.96
4289,Borewells,"B/W at Mallesh yadav House which is near Agricultural lands of Pittam pally village , Chityal Mandal",,7.05,1704,,18,0.37,,,,,,2.4,32,280,120,12,3,1.8,293,58,36,16,69,968,733,8,Not analysed,,Less than  0.01,5,0.43,33.23,1.75,0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,0.11,1.05
4290,Borewells,"B/W at ZPHS School Peddakaparthi village, Chityal Mandal",,7.14,325,,11,0.15,,,,,,1.4,16,110,60,4,Less than 1,Less than 1,94,18,12,11,23,175,135,5,Not analysed,,Less than 0.01,2,0.52,33.88,1.03,Less than 0.02,Less than 0.1,Less than 0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,1.08
4224,Borewells,Yadadri Temple Koneru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4268,Borewells,"Borewell located at House of Sri Vital Rao, H.No.2-42, 875, Abestos colony, Gandhi Nagar, Balanagar, Medchal District",,7.84,1226,,9.8,Not Analysed,,,,,,14,Less than 1,335,324,86,Less than 1,,280,64,38,36,150,712,Not analysed,8,,Not analysed,Less than 0.01,4,1,50.2,3.66,,,,,,,,
4269,Borewells,"Borewell located at House of Sri P Vekatesh raju,plot no.115, 22-321,APIIC, Co-operative colony, Jeedimetla, Quthbullapur(M), Medchal District",,6.8,3480,,1.4,Not Analysed,,,,,,14,Less than 1,595,532,142,2.6,,820,180,89.91,186,394,2159,Not analysed,13,,Not analysed,0.1,12,0.1,50.49,5.97,,,,,,,,
4270,Borewells,"Borewell located at house of P.Anjaneyulu , Plot No.25, Shakthipuram, Prashanth Nagar, I.E.Kukatpally, Medchal District",,7.2,2510,,13.2,Not Analysed,,,,,,10,Less than 1,520,350,72,1.2,,580,135.2,58.81,172,290,1556,Not analysed,10,,Not analysed,0.02,2,0.2,51.84,5.22,,,,,,,,
4271,Borewells,"Borewell located at Government Primary School, Sy.No.32, Dhulapally (V), Quthbullapur (M), Medchal District.",,7.72,1652,,20.6,Not Analysed,,,,,,12,Less than 1,360,355,82,4,,430,80,55.89,178,198,1058,Not analysed,10,,Not analysed,Less than 0.01,4,1,49.56,4.14,,,,,,,,
4272,Borewells,"Borewell located at Rajiv Gruha Kalpa, Ahmedguda, Ambedkar Nagar, Kapra Medchal District.",,7.84,826,,2.3,Not Analysed,,,,,,4,Less than 1,220,86,42,2.6,,285,52,37.66,26,70,520,Not analysed,8,,Not analysed,0.2,2,1.1,34.45,1.8,,,,,,,,
4273,Borewells,"Borewell located at Thanda Dundigal (V), Dhundigal (M), Medchal District.",,6.84,2998,,19.26,Not Analysed,,,,,,10,Less than 1,395,596,120,6,,765,132,105.7,338,320,1859,Not analysed,17,,Not analysed,0.31,4,0.19,47.28,5.01,,,,,,,,
4274,Borewells,"Borewell points at the periphery of the IDA, Jeedimetla",,7.07,2186,,20.56,Not Analysed,,,,,,12,Less than 1,360,340,66,6.2,,435,88,52.24,174,280,1482,Not analysed,16,,Not analysed,0.26,6,0.04,57.75,5.82,,,,,,,,
4275,Borewells,"Borewell points at the periphery of the IDA, Balanagar",1.4,7.27,2256,,11.2,Not Analysed,,,,,,10,Less than 1,450,345,88,5.2,,520,108,60.75,158,274,1469,Not analysed,11,,Not analysed,0.04,4,0.88,53.0,5.21,,,,,,,,
