Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
1780,Lakes & Tanks ,Gandigudem Tank,7.2,6.82,2173,2.2,13,0.32,Less than 2,47,6,0.8,Not analysed,18,24,212,194,24,4.6,2.8,354,76,40,37,53,1239,951,45,Not analysed,0.45,0.02,9,0.41,23.83,1.22,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,3.54
2358,Lakes & Tanks ,Mallapur tank,Less than  0.1,7.46,2023,48,12.8,,38,520,Not analysed,Not analysed,Not analysed,24,Less than 1,480,262,252,4.2,Not Analysed,525,132,47.38,124,204,1310,Not aNot analysedlysed,33,0.94,Not analysed,0.34,14,1.18,44.85,3.86,,,,,,,,
2347,Lakes & Tanks ,Asani Kunta,Less than  0.1,7.15,3064,82,35,0.56,9,280,NIL,NIL,Not analysed,130,32,710,540,328,62,39,996,224,106,101,213,2111,1609,136,Not analysed,0.39,0.38,71,0.29,29.76,2.93,Less than 0.02,0.01,0.66,Less than 0.2,Less than 0.2,0.33,3.4,12.2
1783,Lakes & Tanks ,Kistareddypet Tank,6.5,6.8,2441,3.4,9,0.28,Less than 2,47,4,0.5,Not analysed,14,28,210,186,34,6.4,4,343,78,36,32,51,1391,1009,32,Not analysed,0.34,0.04,8,0.36,23.79,1.19,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,8.06
2348,Lakes & Tanks ,Khazipally Tank,5.8,6.75,3037,2.6,21,0.29,Less than 2,27,NIL,NIL,Not analysed,12,24,264,208,28,5.3,3.3,336,62,44,43,79,1955,1524,23,Not analysed,0.31,Less than 0.01,12,0.43,32.68,1.87,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4302,Lakes & Tanks ,Rudraram Tank,6.3,6.96,1085,2.5,6,0.17,Less than 2,39,NIL,NIL,Not analysed,15,16,120,108,16,3,1.9,180,36,22,19,43,607,431,14,Not analysed,0.23,Less than 0.01,4,0.16,33.35,1.39,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4240,Lakes & Tanks ,Muthangi Tank,Sample was not collected as the tank was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",6.2,7.04,1145,2.8,7,0.32,Less than 2,27,5.2,0.45,Not analysed,19,24,130,112,24,4.5,2.8,185,38,22,13,39,664,485,17,Not analysed,0.28,0.02,5,0.18,30.51,1.24,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",4.9,7.33,1233,3.4,8,0.37,Less than 2,31,5,0.6,Not analysed,16,16,156,118,30,5.7,3.6,220,42,28,15,45,715,541,23,Not analysed,0.23,Less than 0.01,7,0.24,29.78,1.31,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
4243,Lakes & Tanks ,Isnapur Tank,5.2,7,3370,5.6,21,0.41,Less than 2,84,2,0.4,Not analysed,23,32,320,254,46,8.7,5.4,454,96,52,39,67,1981,1423,38,Not analysed,0.27,0.05,11,0.27,23.63,1.36,Less than 0.02,0.02,0.1,Less than 0.2,Less than 0.2,Less than 0.1,Less than 0.1,BDL
