Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4682,Lakes & Tanks ,Bandham Cheruvu,5.6,7.5,808,3,4,,74,430,Less than 1.8,,,,10,5,160,95,38,1.5,0.4,,220,44,26.73,72,76,518,,18,0.2,,0.5,3,0.2,42.32,2.22
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",6.7,7.36,254,2.6,2,0.15,7,31,1.8,,,,6,8,64,34,24,4.5,,,86.13,18,10,5,8,148,107,10,,0.08,0.5,2,0.2,16.31,0.37
1391,Lakes & Tanks ,Hussain sagar Lake,0.4,7.02,1211,12,4.5,,220,920,Less than 1.8,,,,17,5,215,156,134,6,3.2,0.02,230,64,17.01,88,172,750,,42,0.54,,0.5,4,0.73,61.31,4.92
3071,Lakes & Tanks ,Langarhouse lake,1.8,7.68,1166,5,2.45,,10,240,Less than 1.8,,,,11.4,5,230,176,64,1.5,0.4,Less than 0.01,285,66,29.16,82,145,710,,18,1.12,,0.5,8,0.82,51.51,3.72
2341,Lakes & Tanks ,Miralam tank,1.5,8.2,1048,10,1.1,,8,220,Less than 1.8,,,,14.8,5,225,170,127,9,2.2,0.2,240,52,26.73,68,136,628,,14,0.86,,0.5,5,1.08,54.4,3.81
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",0.3,7.5,1427,15,4,,17,240,Less than 1.8,,,,18,5,280,188,98,1.5,0.4,Less than 0.01,325,72.8,34.75,102,152,885,,37,0.2,,0.5,3,0.58,49.98,3.66
3072,Lakes & Tanks ,Safilguda lake,0.3,7.55,1183,7,5,,15,240,Less than 1.8,,,,13,5,195,136,97,1.5,0.4,Less than 0.01,286,53.6,36.94,101,110,720,,10,0.2,,0.5,6,0.63,44.72,2.82
3075,Lakes & Tanks ,Rangadhamuni cheruvu,2.8,7.25,998,5,1.1,,6,220,Less than 1.8,,,,8.6,5,265,94,52,1.5,0.4,Less than 0.01,350,82,35.23,66,78,628,,12,0.93,,0.5,4,0.71,32.21,1.81
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",1.3,7.31,1346,12,1.78,,41,430,Less than 1.8,,,,18.2,5,205,230,139,6,1.8,0.02,285,64,30.38,111,184,812,,22,0.57,,0.5,6,0.96,57.62,4.73
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",4.6,7.58,1139,10,4.1,,17,210,Less than 1.8,,,,14,5,210,182,116,5,1.8,0.04,230,51.2,24.79,68,134,720,,15,0.6,,0.5,6,0.86,54.93,3.83
2357,Lakes & Tanks ,Durgam cheruvu,3.8,7.98,814,7,1.1,,5,170,Less than 1.8,,,,9.62,5,145,156,83,1.5,0.4,Less than 0.01,135,30.4,14.34,50,126,476,,12,0.76,,0.5,5,0.89,65.83,4.7
2344,Lakes & Tanks ,Nalla cheruvu,1.3,7.73,1568,10,3,,11,240,Less than 1.8,,,,10,5,258,278,118,8,2.2,0.07,265,48,35.23,116,202,973,,25,0.43,,0.5,8,0.48,61.31,5.38
2359,Lakes & Tanks ,Pedda cheruvu,0.3,7.59,1316,13,4.4,,24,350,Less than 1.8,,,,12,5,275,176,148,5,2.8,0.07,295,58.4,36.21,63,142,843,,11,0.39,,0.5,8,0.54,50.13,3.58
2342,Lakes & Tanks ,Noor Md. Kunta,0.3,7.66,1516,14,3.9,,18,220,Less than 1.8,,,,19.6,5,315,288,155,6,2.4,0.07,380,78,44.95,166,240,938,,28,1.86,,0.5,6,1.12,57.22,5.34
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",4.8,7.35,1066,7,3,,21,280,Less than 1.8,,,,10,5,200,126,89,1.5,0.4,Less than 0.01,238,54,25,65,102,602,,20,0.46,,0.5,8,0.2,47.06,2.87
