Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Potassium (mg/L),Boron (mg/L),Fluoride (mg/L),sodium %,SAR
3078,Lakes & Tanks ,"Pragathinagar cheruvu, Kukatpally",0.3,7.26,1192,11,2.8,,120,920,21,,,,9.8,5,160,133,85,1.5,0.4,Less than 0.01,180,42,18.22,78,87,739,,12,1.28,,3,0.5,0.46,50.58,2.81
2340,Lakes & Tanks ,Lakshminarayana cheruvu,2.6,8.42,1335,6,1.82,,Less than 1.8,2,Less than 1.8,,,,10.8,20,210,213,59,1.5,0.4,Less than 0.01,240,54,25.52,79,169,788,,10,1.28,,8,0.5,0.2,59.36,4.73
1788,Lakes & Tanks ,Saroornagar Lake,0.3,7.39,1124,12,3.64,,12,47,Less than 1.8,,,,9.6,5,190,129,92,4,0.9,Less than 0.01,210,44,24.3,92,148,686,,22,1.31,,14,0.5,1.01,58.4,4.43
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",0.3,8.15,1098,9,3.06,,110,430,31,,,,8.2,5,185,182,76,1.5,0.4,Less than 0.01,205,46,21.87,72,154,658,,12,0.34,,18,0.5,1.36,59.36,4.66
1464,Lakes & Tanks ,Bibinagar Tank,6,7.11,582,3.4,4,0.21,11,27,Less than 1.8,,,,7,16,134,88,28,5,0.4,Less than 0.01,190.48,40,22,8,23,332,224,10,,0.14,4,0.5,0.2,20.26,0.72
3068,Lakes & Tanks ,Ramappa lake,6.4,7.76,155,2.1,1,,Less than 1.8,6,Less than 1.8,,,,2.8,5,20,19,8,1.5,0.4,Less than 0.01,30,8,2.43,28,22,98,,12,0.24,,2,0.5,1.06,59.4,1.74
1447,Lakes & Tanks ,Dharmasagar tank,6.2,8.03,241,2.1,0.78,,Less than 1.8,9,Less than 1.8,,,,4.6,5,50,22,13,1.5,0.4,Less than 0.01,65,16,6.08,17,26,144,,10,0.2,,3,0.5,0.2,44.97,1.4
2346,Lakes & Tanks ,Bhadrakali tank,5.8,8,350,2.4,0.91,,Less than 1.8,8,Less than 1.8,,,,8,5,65,34,26,1.5,0.4,Less than 0.01,80,20,7.29,21,62,210,,14,0.2,,4,0.5,0.2,61.19,3.01
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",5.9,8.12,319,2.1,1.08,,Less than 1.8,41,Less than 1.8,,,,7.8,5,70,22,19,1.5,0.4,Less than 0.01,85,20,8.5,22,52,192,,10,0.27,,4,0.5,0.2,55.52,2.45
3085,Lakes & Tanks ,Chinnawaddepally tank,3.4,7.88,720,8,2.9,,Less than 1.8,63,Less than 1.8,,,,14.2,5,120,73,51,1.5,0.4,Less than 0.01,145,30,17.01,56,146,432,,21,0.2,,12,0.5,0.2,66.31,5.26
2343,Lakes & Tanks ,Premajipet tank,0.3,7.44,3230,26,4.7,,Less than 1.8,20,Less than 1.8,,,,23.2,5,320,572,212,1.5,0.4,Less than 0.01,893,191,101,91,328,1938,,25,0.98,,22,0.5,1.08,43.49,4.76
2345,Lakes & Tanks ,Sai Cheruvu,0.3,8.25,3900,33,1.9,,58,350,20,,,,16.8,10,295,475,201,1.5,0.4,Less than 0.01,486,94,61,251,690,2210,,10,0.2,,14,0.5,0.84,74.73,13.56
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",No access to collect the sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",No access to collect the sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",0.3,7.22,1420,12,3.9,,Less than 1.8,34,Less than 1.8,,,,11.2,5,220,146,92,1.5,0.4,Less than 0.01,260,58,27.95,274,138,817,,25,1.1,,26,0.5,1.21,50.44,3.71
4230,Lakes & Tanks ,Kistaipally Cheruvu,4.9,7.19,1485,3.2,12,0.25,Less than 1.8,14,Less than 1.8,,,,12,12,248,194,28,6.2,0.4,Less than 0.01,388,76,48,24,53,848,597,10,,0.17,7,0.5,0.2,22.41,1.17
4231,Lakes & Tanks ,"Rayam Cheruvu,",5.4,7.3,474,2.1,4,0.19,Less than 1.8,Less than 1.8,Less than 1.8,,,,8,8,94,72,16,3.3,0.4,Less than 0.01,140,26,18,9,21,272,186,10,,0.11,5,0.5,0.2,23.77,0.77
4232,Lakes & Tanks ,"Komati Cheruvu,",6.8,7.38,351,2.9,3,0.15,Less than 1.8,9,Less than 1.8,,,,11,12,108,42,24,4.5,0.4,Less than 0.01,124,26,14,5,14,202,135,10,,0.15,2,0.5,0.2,19.47,0.55
4235,Lakes & Tanks ,Lake Kamuni( Shamshabad Lake),2.8,8.13,1376,9,7.87,,Less than 1.8,79,Less than 1.8,,,,14.6,5,240,235,78,1.5,0.4,Less than 0.01,275,62,29.16,42,116,798,,13,0.2,,18,0.5,1.36,45.7,3.03
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",4.2,6.56,4120,10,15,0.36,Less than 1.8,4,Less than 1.8,,,,27,36,580,410,89,17.4,0.4,Less than 0.01,816,168,96,51,123,2387,1593,19,,0.24,21,0.5,0.2,24.0,1.87
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",5.5,7.14,1170,3.8,7,0.24,24,94,10,,,,22,28,226,162,32,6.2,0.4,Less than 0.01,324,68,38,15,47,678,476,15,,0.21,5,0.5,0.2,23.39,1.13
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",5.6,6.83,1008,4.8,5,0.18,8,34,Less than 1.8,,,,18,24,228,134,39,7.8,0.4,Less than 0.01,292,58,36,11,43,619,467,12,,0.16,4,0.5,0.2,23.75,1.09
4244,Lakes & Tanks ,"Erdanoor Tank,",6.4,7.23,745,3.6,6,0.21,Less than 1.8,48,Less than 1.8,,,,12,20,172,94,32,5.6,0.4,Less than 0.01,216,44,26,10,31,431,312,10,,0.13,4,0.5,0.2,23.17,0.91
4245,Lakes & Tanks ,"Mallepally Tank,",5.5,7.4,1275,5,11,0.15,15,49,Less than 1.8,,,,15,16,244,224,41,8.4,0.4,Less than 0.01,408,84,48,16,57,886,631,11,,0.23,8,0.5,0.2,22.77,1.22
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",5,8.06,572,3.5,1.48,,13,79,Less than 1.8,,,,10.8,5,115,69,31,1.5,0.4,Less than 0.01,140,32,14.58,28,38,324,,10,0.36,,5,0.5,0.41,35.95,1.39
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",3.8,7.72,760,5,2.59,,5,25,Less than 1.8,,,,12,5,150,104,46,1.5,0.4,Less than 0.01,180,38,20.66,38,62,456,,10,0.2,,6,0.5,0.21,41.66,2.0
4229,Lakes & Tanks ,Neknampur Lake,2.6,7.23,1707,10,7.87,,Less than 1.8,79,Less than 1.8,,,,18.8,5,225,247,88,1.5,0.4,Less than 0.01,375,89,37,82,198,1024,,10,0.52,,22,0.5,1.64,51.53,4.44
4249,Lakes & Tanks ,"Rangasamudram, Warangal",4.8,7.26,772,3.8,2.21,,22,170,Less than 1.8,,,,12.2,5,105,73,41,1.5,0.4,Less than 0.01,135,34,12.15,40,72,443,,10,0.46,,6,0.5,0.2,52.2,2.69
