Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %
5041,Lakes & Tanks ,"Pathulguda, Uppal, Medchal Dist.",3,7.35,1103,5,12.28,,17,356,6,,,,12,5,220,135,48,4.2,2.1,,230,145,58,85,20.66,84,,684,,12,0.82,,0.5,,0.72,
5042,Lakes & Tanks ,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",2.2,6.96,834,3.1,9,,10,350,3.7,,,,16,5,185,92,35,14,3.9,,205,130,52,75,18.22,56,,534,,20,2.3,,0.5,,0.63,
5043,Lakes & Tanks ,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",1.2,7.29,998,4.5,12,,11,240,2,,,,22,5,190,120,66,15,3.9,,215,140,56,75,18.22,80,,630,,22,2.3,,0.5,,0.96,
5044,Lakes & Tanks ,"Sudalavani Kunta, (Sunnam Cheruvu), Allapur, Balanagar,Medchal-Malkajgiri dist.",4.2,7.13,1072,2.5,19,,31,920,8.2,,,,26,5,230,113,28,12,0.4,,265,170,68,95,23.09,76,,664,,24,4.22,,0.6,,0.96,
5045,Lakes & Tanks ,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",1.2,7.24,948,4.6,19,,38,430,2,,,,18,5,260,83,39,13,7.2,,280,185,74,95,23.09,46,,606,,20,3.1,,0.5,,1.32,
5046,Lakes & Tanks ,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",3.6,7.46,529,2,15,,21,430,4,,,,11,5,135,54,23,16,1,,155,100,40,55,13.37,26,,340,,12,2.8,,0.5,,0.58,
5047,Lakes & Tanks ,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",3.6,6.96,372,2.7,14,,17,920,4,,,,16,5,80,39,27,10,1.8,,125,68,27.2,57,13.85,22,,238,,26,3.2,,0.5,,0.94,
5048,Lakes & Tanks ,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",not collected due to water hyacinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116
5049,Lakes & Tanks ,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.","Not collected,due to no access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes & Tanks ,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",0.86,7.1,756,1.8,9,,13,540,5.5,,,,13,5,165,88,44,14,3.3,,255,165,66,90,21.87,48,,475,,28,2.4,,0.5,,0.9,
