Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD,TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4242,IDA Lakes,"Lakadaram Cheruvu, Lakadaram (V), Patancheru (M), Sangareddy district.",6.1,7.43,1839,3.5,18,0.34,2,42,  -,  -,36,24,178,290,53,42,0.7,380,78,45,32,106,1095,782,36,0.65,0.56,20,0.4,36.09,2.36
4243,IDA Lakes,"Isnapur Tank, Isnapur (V), Patancheru (M), Sangareddy district.",3.9,6.91,8793,59,58,1.9,7,70,  -,  -,76,48,432,1292,268,96,0.6,1245,258,146,90,452,5472.66,3942,232,1.8,0.7,102,1.2,41.52,5.55
4246,IDA Lakes,Pashamylaram Tank,"Sample was not collected as details has been submitted  through mail by RO-SRD-I i.e, 7/2/2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,HMDA Area Lakes,Banjara Lake,Less than 0.1,7.85,1210,24,1.76,,38,580,,,11.12,BDL,360,120,138,3.6,,390,66,42,66,88,737,,40,2.64,0.01,10,0.94,35.16,2.07
1789,HMDA Area Lakes,"Himayathsagar lake (BM-Jan, Apr & Oct)",6,7.48,348,2,0.29,,NIL,20,,,6,BDL,105,29,10,Less than 0.1,,110,22,10.94,15,23,209,,6,0.12,0.01,4,0.6,32.11,1.0
3069,HMDA Area Lakes,"Shameerpet lake, Shameerpet",4.8,7.47,771,3,2.56,,NIL,34,,,22,BDL,130,120,16,Less than 0.1,,170,47,16,64,90,486,,34,0.42,1.12,3,1.02,51.0,2.88
3078,HMDA Area Lakes,"Pragathinagar cheruvu, Kukatpally",Less than 0.1,7.55,1577,38,1.69,,42,380,,,24,BDL,380,192,214,4.4,,440,102,44.95,110,144,989,,78,2.45,0.16,13,0.83,40.55,2.98
2340,HMDA Area Lakes,Lakshminarayana cheruvu,2.8,6.9,1469,12,3.62,,12,460,,,14.26,BDL,260,274,103,2,,365,68,47.38,83,160,966,,21,0.12,0.1,14,1.08,47.44,3.63
1788,HMDA Area Lakes,"Saroornagar Lake (BM-Jan, Apr & Oct)",Less than 0.1,7.56,1533,24,22,,72,540,,,17,BDL,380,156,176,8.4,,460,132,31.59,110,142,920,,62,0.46,0.12,6,1.22,39.68,2.87
4236,HMDA Area Lakes,Pedda Cheruvu (Nacharam cheruvu),0.8,7.52,1491,24,26.2,,32,280,,,14,BDL,435,184,222,7.6,,450,100,48.6,67,146,926,,11,2.9,0.18,6,1.42,40.82,2.98
4234,HMDA Area Lakes,"Umda sagar lake, Shamshabad",3.6,7.54,848,4,2.3,,96,540,,,14.28,20,220,118,52,7,,260,63,24,82,98,629,,19,0.32,0.1,4,1.41,44.79,2.66
1464,OTHER AREA LAKES,Bibinagar Tank,5.3,8.48,606,4,12,0.45,41,100,  -,  -,36,30,106,78,40,39,0.7,136,28,16,30,42,355,220,32,0.5,0.55,9,0.8,38.12,1.56
