Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Free Ammonia (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Orthophosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium (Cd),Copper (Cu),Lead (Pb),Total Chromium (T. Cr),Nickel (Ni),Zinc (Zn),Iron (Fe)
3071, Lakes /Tanks/ Cheruvus,Langarhouse lake,0.1,7.58,1490,22,3.28,,40,430,,,,20,BDL,380,188,92,4.2,,390,74,49.81,72,154,926,,30,2.58,,0.3,4,0.92,45.87,2.4,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.04,0.21
2341, Lakes /Tanks/ Cheruvus,Miralam tank,2.4,7.52,1706,14,3.02,,26,350,,,,14,BDL,390,250,122,2.8,,435,76,59.53,80,182,1056,,22,2.62,,0.2,4,0.88,47.34,2.68,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.02,Less than 0.005
3073, Lakes /Tanks/ Cheruvus,"Hasmathpet lake, Hasmathpet",0.1,7.56,1410,18,8.86,,20,430,,,,20,BDL,336,168,98,4.2,,360,64,48.6,122,156,986,,26,1.48,,0.26,6,1.1,47.98,2.53,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.04,0.07
3072, Lakes /Tanks/ Cheruvus,Safilguda lake,0.1,7.58,1680,24,3.2,,22,430,,,,16,BDL,405,188,140,2.2,,480,104,53.46,138,154,1106,,18,2.8,,0.28,4,0.68,40.83,2.16,,Less than 0.003,Less than 0.004,0.01,Less than 0.005,Less than 0.012,0.1,0.05
3075, Lakes /Tanks/ Cheruvus,Rangadhamuni cheruvu,1,7.32,1610,22,2.02,,22,540,,,,20,BDL,430,180,160,3.6,,450,96,51.03,92,152,1060,,32,2.6,,0.32,6,0.68,41.93,2.2,,Less than 0.003,Less than 0.004,Less than 0.012,Less than 0.005,Less than 0.012,0.06,0.19
3076, Lakes /Tanks/ Cheruvus,"Amber cheruvu, Kukatpally",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,-,,
3077, Lakes /Tanks/ Cheruvus,"Kapra cheruvu, Kapra",1.6,7.2,1680,16,6.6,,20,540,,,,22,BDL,386,246,102,3.4,,480,94,59.53,94,162,1108,,32,3,,0.36,6,1.1,41.93,2.27,,Less than 0.003,0.02,0.45,Less than 0.005,Less than 0.012,0.06,Less than 0.005
2357, Lakes /Tanks/ Cheruvus,Durgam cheruvu,1.8,7.82,1202,14,3.03,,24,350,,,,24,BDL,220,196,82,2.2,,240,48,29.16,94,164,760,,12,1.8,,0.1,3,0.76,59.38,3.25,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.12,Less than 0.005
2344, Lakes /Tanks/ Cheruvus,Nalla cheruvu,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236, Lakes /Tanks/ Cheruvus,Pedda cheruvu,"Letter was addressed to CPCB dated:26.10.2018 to relocate with Pedda Cheruvu, Gajularamaram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342, Lakes /Tanks/ Cheruvus,Noor Md. Kunta,0.1,7.32,2752,44,8.62,,94,540,,,,22,BDL,590,422,281,5.2,,610,120,75.33,198,360,1710,,76,1.66,,0.28,6,1.2,55.89,4.48,,Less than 0.003,Less than 0.004,0.07,Less than 0.005,Less than 0.012,0.0,0.5
