Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,1.8,7.12,1030,5.8,4.8,,33,350,2,N.A,N.A,N.A,16,5,255,100,115,3.36,0.47,0.0,265,166,66.4,99,24.06,61,,638,,22,2.14,,0.5,,1,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,4.9,7.26,3110,4,18,0.22,5.6,84,5.6,,,,20,28,572,408,38,7.28,0.4,0.01,868,425,170,443,107,150,110,1906,1182,17,,0.16,0.5,20,0.38,21.12,1.62
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,5.1,7.5,1536,3.6,12,0.16,4.5,70,4.5,,,,25,16,312,296,35,6.72,0.4,0.01,620,340,136,279.84,68,96,21,900,626,14,,0.08,0.5,3,0.3,6.83,0.37
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,5.7,7.67,575,3,4,0.08,2,49,2,,,,20,52,160,91,27,5.04,0.4,0.01,160,80,32,80,19,22,28,370.88,240,10,,0.12,0.5,4,0.36,26.7,0.96
4235,Lakes & Tanks ,Lake Kamuni ( Shamshabad Lake),RR-shamshabad,2,7.29,1245,5.8,2.8,,46,430,Less than 1.8,N.A,N.A,N.A,12,5,290,200,82,5.6,1.38,0.02,305,180,72,125,30.38,136,,758,,16,2.1,,0.5,,0.86,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,4.9,7.2,3660,8,15,0.26,5.6,70,5.6,,,,26,28,630,448,70,12.88,0.4,0.01,932,500,200,432,105,186,126,2360.7,1530,18,,0.17,0.5,27,0.3,22.04,1.79
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,5.6,7.54,1271,4,13,0.2,6.1,58,6.1,,,,15,12,276,140,41,7.28,0.4,0.01,352,155,62,197,48,50,20,780,500,11,,0.22,0.5,10,0.34,10.66,0.46
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,5.8,7.26,1081,3,29,0.16,4.5,79,4.5,,,,8,28,230,120,29,5.6,0.4,0.01,268,145,58,123.46,30,64,40,638,402,10,,0.16,0.5,9,0.44,23.73,1.06
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,5.9,7.34,1362,2.9,8,0.1,4,43,4,,,,12,24,344,168,27,5.04,0.4,0.01,384,190,76,194,47,76,50,806,530,10,,0.18,0.5,7,0.36,21.55,1.11
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,5.7,7.58,1158,2.4,10,0.18,1.8,20,1.8,,,,14,20,204,172,24,4.48,0.4,0.01,352,180,72,172,42,80,36,687,435,13,,0.2,0.5,4,0.32,17.97,0.83
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,5.2,7.63,637,2.4,2.2,,11,63,2,N.A,N.A,N.A,8,5,140,81,27,2.24,0.4,0.01,150,95,38,55,13.37,48,,376,,10,1.16,,0.5,,0.86,,
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,2.5,8.08,1394,3,1.1,,21,280,Less than 1.8,N.A,N.A,N.A,12,5,180,279,56,3.6,1.3,0.1,340,205,82,135,32.8,174,,850,,16,0.98,,0.5,,0.48,,
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,0.8,7.23,1208,5.8,2.8,,33,430,4,N.A,N.A,N.A,12,5,285,159,98,5.6,1.54,0.02,295,175,70,120,29.16,98,,736,,20,2.16,,0.5,,0.98,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,4,7.94,566,2.6,2.2,,4,94,2,N.A,N.A,N.A,12,5,130,69,39,1.5,0.4,0.02,140,90,36,50,12.15,41,,346,,10,0.88,,0.5,,0.76,,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,6.4,6.58,352,2,8,0.12,Less than 1.8,14,Less than 1.8,,,,10,12,90,49,19,3.36,0.4,0.01,104,65,26,39,9,8,22,210,136,10,,0.09,0.5,5,0.45,29.85,0.93
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,6.2,7.89,1452,2.2,30,0.15,1.8,17,1.8,,,,8,20,360,248,25,4.48,0.4,0.01,550,360,144,190,46,80,8,900,550,12,,0.05,0.5,3,0.4,3.05,0.15
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Rangareddy,0.3,6.88,1321,16,3.2,,34,430,3.7,N.A,N.A,N.A,10,5,310,145,227,5.6,3.02,0.02,320,190,76,130,31.59,89,,804,,18,3.12,,0.5,,0.89,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,3.4,7.92,728,3,7.6,,33,430,4,N.A,N.A,N.A,7,5,180,92,36,2.24,0.68,0.03,190,75,30,115,27.95,55,,428,,10,2.92,,0.5,,0.86,,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,6.5,7.69,117,1,0.38,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,9.2,5,20,16,5,1.5,0.4,0.01,34,18,7.2,16,3.89,8,,68,,10,0.2,,0.5,,0.44,,
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,6.2,7.27,133,1.1,0.48,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,13,5,20,21,5,1.5,0.4,0.0,44,22,8.8,22,5.35,8,,76,,10,0.2,,0.5,,0.62,,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,4.7,7.82,929,2.1,0.89,,11,350,Less than 1.8,N.A,N.A,N.A,8,5,235,91,31,3.36,0.64,0.02,245,145,58,100,24.3,54,,576,,14,2.62,,0.5,,0.72,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,6.7,7.69,703,2.4,10,0.14,2,41,2,,,,12,24,108,108,21,3.92,0.4,0.01,220,130,52,90,22,40,14,412,255,11,,0.13,0.5,3,0.3,11.96,0.41
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,1,7.57,1053,4,6.8,,350,1600,4,N.A,N.A,N.A,12,5,255,135,43,4.48,0.81,0.02,270,160,64,110,26.73,84,,652,,14,3.28,,0.5,,1.16,,
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,0.3,7.7,1185,6,5.2,,47,540,4,N.A,N.A,N.A,16,5,280,140,70,5.6,1.47,0.04,290,170,68,120,29.16,86,,744,,19,3.64,,0.5,,0.98,,
2341,Lakes & Tanks ,Miralam tank,Hyderabad,1,7.45,1235,5,4.8,,31,430,3.5,N.A,N.A,N.A,10,5,300,162,47,4.48,0.71,0.01,310,192,76.8,118,28.67,98,,778,,14,1.32,,0.5,,0.82,,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,1.2,7.37,862,5.2,6.6,,38,540,4,N.A,N.A,N.A,18,5,195,96,51,2.24,0.4,0.01,205,115,46,90,21.87,58,,534,,22,1.64,,0.5,,1,,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,0.3,7.51,1076,6,7.2,,43,540,2,N.A,N.A,N.A,10,5,250,113,69,6.72,0.4,0.01,265,162,64.8,103,25.03,68,,678,,18,3.76,,0.5,,1.1,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,0.3,7.53,953,6,1.1,,31,430,2,N.A,N.A,N.A,9,5,240,108,45,7.84,0.84,0.02,250,145,58,105,25.52,66,,600,,14,3.1,,0.5,,0.86,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,3,7.43,708,2.6,2.8,,41,430,4,N.A,N.A,N.A,10,5,155,81,43,4.48,1.12,0.02,165,105,42,60,14.58,48,,432,,12,3.46,,0.5,,0.82,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,3.2,7.4,820,1.6,2.08,,27,350,Less than 1.8,N.A,N.A,N.A,8,5,170,132,20,1.5,0.4,0.01,180,108,43.2,72,17.5,81,,484,,10,2.12,,0.5,,0.72,,
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,3.8,7.28,752,3,2.6,,33,350,2,N.A,N.A,N.A,10,5,175,108,55,1.5,0.4,0.01,185,110,44,75,18.22,64,,466,,14,0.94,,0.5,,0.88,,
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,0.3,7.56,1547,8,5.8,,17,430,2,N.A,N.A,N.A,14,5,395,196,82,8.96,2.61,0.06,410,260,104,150,36.45,121,,974,,20,2.66,,0.5,,1,,
2359,Lakes & Tanks ,Pedda Cheruvu (Peerjadhi guda),Medchal Malkajgiri,0.3,7.58,1169,6,6.2,,38,540,4,N.A,N.A,N.A,12,5,285,149,63,5.6,1.36,0.03,295,181,72.4,114,27.7,92,,714,,16,3.18,,0.5,,1.1,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,0.3,7.5,1109,6,6.8,,21,920,4,N.A,N.A,N.A,14,5,250,149,59,6.72,0.4,0.01,260,162,64.8,98,23.81,90,,676,,20,3.26,,0.5,,1.18,,
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,3.4,7.65,1185,3,3.8,,24,430,Less than 1.8,N.A,N.A,N.A,10,5,220,196,59,3.36,0.4,0.01,275,166,66.4,109,26.49,122,,734,,16,2.24,,0.5,,0.96,,
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,0.3,7.47,976,6,4.2,,25,430,2,N.A,N.A,N.A,12,5,240,108,70,5.6,1.3,0.02,250,152,60.8,98,23.81,68,,614,,19,3.2,,0.5,,0.82,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda cheruvu (nacharam),Ranga Reddy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,6.4,7.6,876,3,5,0.16,6.1,43,6.1,,,,16,28,188,118,34,6.16,0.4,0.01,276,140,56,136,33,66,22,552,342,13,,0.18,0.5,5,0.36,14.34,0.57
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,0.3,7.1,1030,10,4.8,,33,350,2,N.A,N.A,N.A,16,5,255,100,115,3.36,0.47,0.0,265,166,66.4,99,24.06,61,,638,,22,2.14,,0.5,,1,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,7.8,1502,8,7.2,,49,430,4,N.A,N.A,N.A,11,5,370,221,88,6.72,1.38,0.04,386,238,95.2,148,35.96,132,,946,,22,3.86,,0.5,,0.8,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,0.3,7.27,1287,8,6.6,,41,430,4,N.A,N.A,N.A,14,5,300,135,115,4.48,0.4,0.0,310,202,80.8,108,26.24,84,,786,,30,3.76,,0.5,,0.82,,
