Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4252,River Krishna,"Udaya Samudram balancing Reservoir, Panagal (V), Nalgonda (Town & District)",5.6,8.06,673,2,5,0.06,Nil,28,  -,  -,2,13,134,64,12,16,0.8,149.27,35,15,42,32,522,413,12,0.19,2.16,5,0.46,30.78,1.14
1172,River Musi,"U/s of Musi at Gandipet (Osmansagar lake) (BM-Jan, Apr & Oct)",5.9,8.32,298,3,1.2,,NIL,30,,,10,12,85,36,20,BDL,Less than 0.1,80,16.8,9.23,11,28,231,181,4,0.28,0.14,6,0.82,40.97,0.96
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Less than  0.06,7.9,,24,,,NIL,120,,,,,,,230,,,,,,,,1080,870,8,,,,,,
2339,River Musi,River Musi at Nagole,Less than  0.06,7.52,1588,30,11.5,,NIL,240,,,48,0,430,143,138,1,,500,101.6,59.78,62,88,1210,972,36,4.26,0.24,16,2.1,26.88,1.21
1173,River Musi,"D/s. of Musi at Pratapasingaram (BM-Jan, Apr & Oct)",Less than  0.06,7.82,1401,26,12.9,,NIL,220,,,36,0,420,192,95,BDL,,410,82.4,49.57,57,145,1096,871,24,3.26,0.26,20,1.01,41.98,2.2
4254,River Musi,River Musi sample at Rudravelly bridge,6.8,7.51,1644,5,11,0.72,17,135,  -,  -,28,18,252,126,52,12,12,322.96,60,42,83,92,1284,1022,25,0.36,0.56,11,0.59,37.1,2.22
3082,River Musi,River Musi at Kasaniguda,6.4,8.49,1930,3,18,0.5,4,48,  -,  -,34,34,312,202,24,25,20,407.66,84,48,65,132,1492,1196,35,0.69,0.68,15.63,0.78,40.02,2.83
1391,GHMC Areas Lakes /Tanks/ Cheruvus,Hussain sagar Lake,1.8,7.77,1553,13,11,,20,260,,,30,0,395,189,130,7,,322,68,36.94,60,177,1194,959,30,4.8,0.32,24,2.02,52.17,3.03
3071,GHMC Areas Lakes /Tanks/ Cheruvus,Langarhouse lake,Less than  0.06,7.64,1347,20,18,,NIL,120,,,28,0,415,148,169,3,,440,88,53.46,58,102,1047,840,22,1.28,0.24,19,1.08,32.32,1.49
2341,GHMC Areas Lakes /Tanks/ Cheruvus,Miralam tank,1.7,7.74,1626,10,5,,NIL,80,,,32,0,335,255,110,2,,280,59.2,32.08,106,244,1263,1014,46,4.68,0.26,13,1.76,64.13,4.48
3073,GHMC Areas Lakes /Tanks/ Cheruvus,"Hasmathpet lake, Hasmathpet",Less than  0.06,7.61,1543,18,12.26,,22,110,,,28,0,460,144,130,1,,400,81.6,47.63,62,144,1176,935,26,3.86,0.2,20,1.02,42.38,2.21
3072,GHMC Areas Lakes /Tanks/ Cheruvus,Safilguda lake,2,7.4,1630,14,10,,28,176,,,26,0,410,223,92,1,,440,80,58.32,72,157,1291,1028,42,1.88,0.22,22,0.98,42.16,2.3
3075,GHMC Areas Lakes /Tanks/ Cheruvus,Rangadhamuni cheruvu,2.6,7.85,1230,20,12,,44,180,,,28,0,480,146,165,1,,385,80,44.95,46,89,978,778,22,2.36,0.24,17,1.04,32.23,1.39
3076,GHMC Areas Lakes /Tanks/ Cheruvus,"Amber cheruvu, Kukatpally",2,7.61,1708,20,8,,NIL,162,,,26,0,370,230,138,BDL,,390,76,48.6,69,200,1352,1078,40,3.02,0.22,26,1.06,50.67,3.11
3077,GHMC Areas Lakes /Tanks/ Cheruvus,"Kapra cheruvu, Kapra",2.8,7.69,1220,8,8.7,,NIL,156,,,20,0,320,192,77,BDL,,455,72,66.83,81,92,952,758,32,2.8,0.18,18,1.26,29.5,1.33
2357,GHMC Areas Lakes /Tanks/ Cheruvus,Durgam cheruvu,2.7,7.56,1303,9,1,,NIL,120,,,18,0,310,170,69,1,,280,59.2,32.08,97,163,1011,802,26,2.86,0.14,14,1.68,54.32,2.99
2344,IDA Lakes,Nalla cheruvu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,IDA Lakes,Pedda cheruvu,Less than  0.06,7.64,1633,20,12.6,,20,260,,,42,0,440,199,87,1.2,,440,88.8,52.97,81,164,1287,1024,42,2.28,0.36,18,1.2,43.5,2.4
2342,IDA Lakes,Noor Md. Kunta,Less than  0.06,7.76,2708,30,16,,60,260,,,34,0,550,461,238,BDL,,740,140,94.77,103,254,2081,1660,36,3.46,0.32,26.7,1,41.63,2.87
3070,IDA Lakes,"Fox sagar, Jeedimetla",3.5,7.63,1220,6,3.3,,NIL,120,,,18,0,250,190,65,2,,340,52,51.03,25,90,931,741,10,2.64,0.22,8.8,1.02,35.77,1.5
1780,IDA Lakes,Gandigudem Tank,6,8.02,2414,23,42,0.2,8,130,  -,  -,45,38,260,360,78,24,0.5,453,102,48,90,196,1921,1532,62,0.6,0.75,24,0.77,46.7,4
2358,IDA Lakes,Mallapur tank,Less than  0.06,7.58,1781,25,8.6,,55,320,,,38,0,430,233,157,2,,515,104,61.96,91,171,1286,1024,36,4.78,0.24,25,1.62,40.46,2.32
2347,IDA Lakes,Asani Kunta, -,7.64,8670,122,49,1.84,32,140,  -,  -,215,105,960,1270,937,266,2.6,1475,320,164,128,624,6821,5451,264,1.3,0.9,94,1.46,45.82,7.04
1783,IDA Lakes,Kistareddypet Tank,4.9,7.61,5760,16,45,1.27,Nil,30,  -,  -,50,30,540,680,53,27,1,996.51,224,106,102,280,4482,3579,40,0.7,0.68,40,0.98,36.63,3.85
2348,IDA Lakes,Khazipally Tank,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,IDA Lakes,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",6.5,7.7,2023,9,30,0.45,5,54,  -,  -,34,30,220,336,87,26,1,,64,24,47,148,1608,1293,32,0.6,0.6,17,0.4,40.17,3
4240,IDA Lakes,"Muthangi Tank, Muthangi (V), Patancheru (M), Sangareddy District",5.2,5.5,1172,6,18,0.32,4,48,  -,  -,18,28,176,138,26,25,0.9,267,64,26,30,82,894,721,39,0.5,0.58,5,0.55,40.78,2.24
4241,IDA Lakes,"Chitkul Tank, Chitkul (V), Patancheru (M), Sangareddy district.",6.8,6.5,1692,5,27,0.48,6,86,  -,  -,32,20,190,192,24,34,1,470,124,39,38,78,1265,1019,28,0.66,0.52,6,0.5,35.16,1.94
4242,IDA Lakes,"Lakadaram Cheruvu, Lakadaram (V), Patancheru (M), Sangareddy district.",Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4243,IDA Lakes,"Isnapur Tank, Isnapur (V), Patancheru (M), Sangareddy district.",6.4,7.64,5930,58,37,1.86,12,136,  -,  -,85,75,398,920,290,90,1.1,582,187,28,68,490,4621,3690,215,1.8,0.75,59,1.41,57.94,8.07
4246,IDA Lakes,Pashamylaram Tank,"Sample was not collected as details has been submitted  through mail by RO-SRD-I i.e, 7/2/2018  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
