Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,,
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.9,8.17,889,2.2,35,0.1,4.6,70,2,,,,2.5,16,200,128,18,4,BDL,BDL,320,88,220,24,100,50,40,540,325,9,,0.12,BDL,4.9,0.29,21.04,0.82,,,,
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6,8.73,527,1.8,1.53,,Less than 1.8,40,Less than 1.8,,,,16,10,142,59,30,1.5,0.4,#,146,34.4,86,14.58,60,35,#,326,230,28,0.49,,0.5,#,0.71,#,#,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6,7.51,511,1.6,1.35,,Less than 1.8,21,Less than 1.8,,,,8,5,138,49,20,1.5,0.4,#,138,33.6,84,13.12,54,36,#,320,220,10,0.43,,0.5,#,0.76,#,#,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,5.9,8.07,537,1.8,1.84,,Less than 1.8,32,Less than 1.8,,,,9,5,142,56,28,1.5,0.4,#,150,36,90,14.58,60,29,#,330,220,10,0.45,,0.5,#,0.87,#,#,,,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6,8.2,1018,2,1.2,,3.8,39,6.1,,,,12.4,5,152,180,28,1.5,0.4,#,264,53.6,134,31.59,130,54,#,640,450,16,0.85,,0.5,#,0.92,#,#,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6,7.98,1188,2.1,1.2,,4,47,1.8,,,,10,5,254,160,32,1.5,0.4,#,282,64,160,29.65,122,62,#,740,520,18,0.7,,0.5,#,0.95,#,#,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,5.8,7.6,1465,2.6,4.98,,6.1,70,1.8,,,,14,5,258,239,34,2.24,0.4,#,260,59.2,148,27.22,112,60,#,870,620,16,0.97,,0.5,#,1.05,#,#,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,7.1,7.73,900,3.3,29,0.07,4,22,2,,,,2.9,20,208,120,39,6,BDL,BDL,288.48,66,165,30,123.48,50,49,580,350,6,,0.16,BDL,4.1,0.12,26.51,1.16,,,,
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.8,8.01,878,3.6,22,0.15,7.8,38,4,,,,3.5,16,240,186,42,5,BDL,BDL,395.22,84,210,45,185.22,51,53,540,360,8,,0.2,BDL,3.5,BDL,22.28,1.12,,,,
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.4,8.17,1545,3.5,41,0.3,8.1,40,5.6,,,,3.4,24,260,220,38,10,BDL,BDL,524,120,300,55,224,65,49,820,570,9,,0.19,BDL,4.9,0.21,16.59,0.87,,,,
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,5.7,8.06,1461,3.4,31,0.2,7.8,43,5.5,,,,4,20,260,149,37,8,BDL,BDL,416,98,244,41,172,52,59,700,480,12,,0.25,BDL,5.1,0.48,23.29,1.15,,,,
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,5.9,7.9,706,1.4,3.11,,Less than 1.8,17,Less than 1.8,,,,14,5,115,100,16,1.5,0.4,#,125,30,75,12.15,50,64,#,430,290,10,0.2,,0.5,#,0.32,#,#,,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,5.9,7.75,1144,1.8,10.86,,2,84,Less than 1.8,,,,12,5,230,174,28,0.4,0.4,#,240,58,145,23.09,95,108,#,716,480,14,0.24,,0.5,#,0.56,#,#,,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,6.2,7.49,1231,2.8,25,0.21,5.6,41,3.7,,,,4,24,296,152,26,6,BDL,BDL,455,110,275,43,180,51,64,740,450,10,,0.15,BDL,6,0.22,23.15,1.18,,,,
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,6.6,7.82,1325,4.5,49,0.24,6.1,40,3.6,,,,3.9,28,288,278,41,8,BDL,BDL,596,124,308,70,288.07,75,94,840,510,11,,0.2,BDL,5.6,0.26,25.13,1.63,,,,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.5,7.41,1290,4.8,32,0.23,5.5,43,3.7,,,,3.9,16,260,190,43,7,BDL,BDL,447.84,110,275,42,172.84,64,59,780,475,9,,0.23,BDL,5.2,0.35,21.93,1.09,,,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.9,1287,12,3.2,,33,350,2,,,,7,5,230,188,152,4.2,1.4,#,240,58,145,23.09,95,88,#,772,460,14,1.25,,0.5,#,1.06,#,#,,,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.62,1616,16,2.8,,38,430,2,,,,8.6,5,240,265,259,5.6,2.8,#,260,60,150,26.73,110,126,#,968,580,12,2.86,,0.5,#,1.12,#,#,,,,
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.77,1602,18,4.86,,44,430,4,,,,11,5,210,278,350,5.6,4.2,#,230,50,125,25.52,105,130,#,960,570,19,2.45,,0.5,#,1.18,#,#,,,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,8,1456,8,2.9,,33,430,2,,,,13,5,210,256,106,4.2,2.8,#,240,56,140,24.3,100,88,#,870,520,20,2.86,,0.5,#,1.16,#,#,,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,8.1,1416,10,3.4,,39,540,2,,,,10,5,225,266,122,2.8,1.4,#,260,66,165,23.09,95,78,#,848,510,18,3.1,,0.5,#,1.18,#,#,,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,7.92,1388,10,3.2,,33,540,1.8,,,,14,5,210,228,141,2.8,1.4,#,220,46,115,25.52,105,86,#,832,500,17,2.92,,0.5,#,1.15,#,#,,,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,0.3,7.77,1379,8,3.86,,38,430,2,,,,16,5,240,236,103,2.8,1.4,#,255,52,130,30.38,125,94,#,820,490,15,3.06,,0.5,#,1.19,#,#,,,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,5.9,7.03,1471,3.5,34,0.16,6.8,79,5.6,,,,4.1,16,320,225,32,7,BDL,BDL,544,110,276,65,268,64,80,890,540,9,,0.24,BDL,7.5,BDL,23.85,1.47,,,,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6,7.07,1474,3.2,40,0.18,7.8,84,6,,,,6,28,324,245,30,8,BDL,BDL,576,135,338,58,238,55,84,910,560,8,,0.2,BDL,8.5,0.18,23.63,1.39,,,,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.2,7.91,1616,3.5,43,0.17,8.2,63,6,,,,7,32,372,220,38,7,BDL,BDL,566,120,300,65,266,75,95,970,602,13,,0.24,BDL,8.9,0.26,26.18,1.67,,,,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6.8,8.16,1838,3.7,41,0.16,5.5,41,3.5,,,,3.5,24,284,265,35,7,BDL,BDL,572,124,310,64,262,90,85,1010,670,8,,0.2,BDL,7.5,0.45,23.97,1.47,,,,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.7,7.76,2006,4.1,42,0.17,6.1,38,4,,,,4,20,256,270,39,8,BDL,BDL,576.03,130,325,61,251.03,85,74,1030,740,8,,0.2,BDL,6.1,0.42,21.51,1.25,,,,
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6,8.62,548,1,0.32,,Less than 1.8,22,Less than 1.8,,,,4,20,140,76,15,1.5,0.4,#,155,44,110,10.94,45,38,#,328,190,10,0.22,,0.5,#,0.2,#,#,,,,
2358,Lakes & Tanks,Mallapur tank,Medchal Malkajgiri,0.3,7.09,9120,18,12,,430,920,11,,,,42,5,1480,1220,380,12.6,5.6,#,1540,312,780,184.68,760,880,#,5472,3280,38,4.86,,0.67,#,1.28,#,#,,,,
1789,Lakes & Tanks,Himayathsagar lake,RR-shamshabad,6.2,8.45,641,1.4,0.34,,Less than 1.8,24,Less than 1.8,,,,4.6,25,165,84,24,1.5,0.4,#,175,46,115,14.58,60,56,#,368,220,10,0.27,,0.5,#,0.2,#,#,,,,
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,5.9,8.05,734,1.8,0.46,,Less than 1.8,33,Less than 1.8,,,,5.8,5,180,74,22,1.5,0.4,#,195,44,110,20.66,85,58,#,440,260,10,0.33,,0.5,#,0.46,#,#,,,,
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,0.3,7.71,1170,8,2.38,,49,540,6,,,,7.6,5,240,144,88,5.6,2.8,#,240,50,125,27.95,115,82,#,702,420,24,2.86,,0.5,#,0.9,#,#,,,,
2340,Lakes & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,1.2,7.97,1795,4.8,3.2,,33,430,2,,,,8,5,380,210,137,4.2,2.8,#,390,82,205,44.95,185,134,#,1077,640,18,3.2,,0.5,#,0.99,#,#,,,,
4229,Lakes & Tanks,Neknampur Lake,RR-shamshabad,2.3,7.43,1542,5.2,8,,26,350,4,,,,24,5,295,208,69,5.6,2.2,#,330,84,210,29.16,120,92,#,986,600,16,4.1,,0.6,#,1.2,#,#,,,,
