Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,,0.3,7.32,1509,10,1.8,,32,430,9.2,,,,20,5,322,186,102,17.92,8.4,,335,74,185,36.45,150,131,#,966,660,17,2.48,#,0.55,#,1.18,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,,0.3,7.26,1494,12,3.3,,40,540,9.3,,,,30,5,320,176,120,16.8,17.28,,350,96,240,26.73,110,112,#,944,640,26,3.4,#,0.58,#,1.08,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,,0.3,6.99,1383,12,3.8,,21,350,4.5,,,,35,5,310,172,128,14,5.04,,315,88,220,23.09,95,96,#,868,590,33,3.68,#,0.5,#,1.16,,,
4657,River Musi,River Musi at Pillaipalli,Rangareddy-I,,0.3,7.29,1446,10,2.8,,17,350,2,,,,21,5,294,194,102,11.2,3.36,,330,92,230,24.3,100,80,#,904,620,16,2.72,#,0.5,#,0.61,,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,,6.2,7.76,1596,4.2,47,0.2,6,63,4.5,,,,3.5,20,365,200,52,BDL,7,BDL,447.22,90,225,54,222.22,52,115,973.56,691.23,7,,0.48,BDL,11.2,0.12,35.24,2.37,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,,5.6,7.81,1895,4.5,59,0.12,7,84,6,,,,5.2,14,335,265,58,BDL,6,BDL,540,120,300,58,240,89,145,1155.95,820.72,8,,0.82,BDL,11.6,0.41,36.39,2.72,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,,6.4,7.24,1685,3.4,56,0.09,6,63,4,,,,5.4,18,315,255,34,BDL,6,BDL,425,90,225,49,200,42,133,1027.85,729.77,9,,0.41,BDL,12,0.42,39.65,2.81,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,,4.6,7.74,1815,3.5,65,0.08,6,38,4.5,,,,3.2,24,265,280,34,BDL,6,BDL,434.88,90,225,51,209.88,90,152,1107.15,786.08,8,,0.27,BDL,5.8,0.32,42.87,3.18,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,,6.8,7.67,1160,3.8,49,0.07,5.5,32,3.6,,,,3.4,14,165,175,40,BDL,6,BDL,275.23,64,160,28,115.23,88,85,707.6,502.4,5,,0.29,BDL,3.4,0.24,39.9,2.23,
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,,6.2,7.71,511,1,0.8,,Less than 1.8,46,Less than 1.8,,,,6,5,142,56,10,1.5,0.4,,190,52,130,14.58,60,45,#,316,210,10,0.26,#,0.5,#,0.64,,,
