Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4244,Lakes & Tanks ,"Erdanoor Tank,",Sangareddy,Sangareddy,6.5,7.04,1056,3.4,13,0.16,8.3,84,6.8,5,0.58,,13,24,188,80,42,7.94,0.1,Less than 0.01,220.18,42,28,13,27,604,346.07,13,,0.15,0.1,10,0.11,20.02,0.79,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4245,Lakes & Tanks ,"Mallepally Tank,",Sangareddy,Sangareddy,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4247,Lakes & Tanks ,"Mucharla Nagaram cheruvu, Warangal",Warangal Urban,Warangal,3.8,8.51,903,2.8,1.15,,6.8,170,Less than 1.8,,,,8.9,20,220,80,37,5,0.1,Less than 0.01,240,66,18.22,68,76,540,280,14,0.2,,0.1,3.23,0.68,40.27,2.13,,BDL,BDL,0.5,0.2,0.1,0.03,0.18
4248,Lakes & Tanks ,"Koti Cheruvu, Hanamkonda, Warangal",Warangal Urban,Warangal,3.6,8.44,888,3,4.7,,7,110,Less than 1.8,,,,9.2,14,185,112,44,5,0.1,Less than 0.01,225,52,23.09,58,94,542,340,12,0.1,,0.1,3.69,0.64,46.95,2.72,,BDL,BDL,0.5,0.2,0.1,0.05,0.1
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,2.7,7.83,2186,8,32,,17,430,2,,,,12.7,5,350,315,104,8.96,0.63,0.02,455,122,36.45,186,239.6,1312,840,18,2,,0.1,20.9,1.13,51.85,4.87,,BDL,0.1,0.5,0.2,0.1,0.03,0.1
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,3.7,7.42,1149,4,1.42,,8,210,Less than 1.8,,,,10.2,5,240,143,47,5,0.1,Less than 0.01,275,70,24.3,94,124,702,480,18,0.6,,0.1,6,0.8,48.7,3.24,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy,6,6.41,289,2.1,4,0.1,6,47,4,6.2,0.69,,17,12,58,31,20,5,0.1,Less than 0.01,90,20,10,5,12,173,118.33,7,,0.18,0.1,3,0.1,21.45,0.54,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,6.2,6.81,689,3.6,3,0.13,6,39,3.6,6,0.63,,13,28,156,64,34,6.43,0.1,Less than 0.01,180.49,36,22,6,19,438,295.21,13,,0.13,0.1,4,0.13,18.11,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,4.4,8.01,591,3,0.7,,10,220,Less than 1.8,,,,8.6,5,170,69,39,5,0.1,Less than 0.01,185,46,17.01,30,47,372,240,18,0.4,,0.1,10.18,0.7,33.93,1.5,,BDL,BDL,0.5,0.2,0.1,0.02,0.15
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,hyderabad,4,7.51,873,2.2,6.2,,11,350,18,,,,10.2,5,264,104,32,5,0.19,Less than 0.01,345,90.4,28.92,66,89,521,420,13,0.36,,0.1,9.31,0.69,35.06,2.08,,BDL,BDL,0.5,0.2,0.1,0.02,0.14
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,5.5,7.92,152,2.1,0.19,,Less than 1.8,13,Less than 1.8,,,,8.8,5,45,17,10,5,0.1,Less than 0.01,65,16,6.08,12,7.3,90,60,12,0.1,,0.1,1.46,0.25,19.11,0.39,,BDL,BDL,0.5,0.2,0.1,0.02,0.22
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,6.1,8.06,298,2.1,0.11,,Less than 1.8,14,Less than 1.8,,,,4.8,5,84,18,10,5,0.1,Less than 0.01,97,24,9,10,16,174,80,14,0.1,,0.1,1.62,0.18,25.89,0.7,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,3.2,7.5,965,7,0.74,,20,150,4,,,,10,5,205,114,58,5,0.1,Less than 0.01,257,60,26,48,86,545,280,12,0.32,,0.1,4,0.72,41.51,2.33,,BDL,BDL,0.5,0.2,0.1,0.09,0.26
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy,6.1,7.42,530,3,5,0.14,6.8,33,4,7,0.72,,16,24,132,50,28,5.29,0.1,Less than 0.01,154.03,32,18,7,15,309,211.67,9,,0.15,0.1,3,0.11,17.03,0.52,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,Hyderabad,0.3,7.45,1339,8,8,,63,540,43,,,,8.9,5,280,158,63,5,0.47,Less than 0.01,210,42,25.52,112,140,780,500,16,1,,0.1,20.1,1.09,56.21,4.19,,BDL,BDL,0.5,0.2,0.1,0.01,BDL
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,Hyderabad,0.3,7.3,1481,8,4.2,,24,350,4,,,,9,5,320,175,88,5.24,3.29,0.03,345,64,44.95,110,150,837,600,9,1,,0.1,17.02,0.46,46.9,3.5,,BDL,BDL,0.5,0.2,0.1,0.04,0.1
2341,Lakes & Tanks ,Miralam tank,Hyderabad,Hyderabad,2.2,7.42,1379,6,3.8,,34,430,Less than 1.8,,,,12.7,5,295,178,67,5,0.63,Less than 0.01,325,92,23.09,88,150,780,520,26,0.8,,0.1,13.5,0.9,48.7,3.61,,BDL,0.1,0.5,0.2,0.1,0.05,0.17
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,Rangareddy - II,0.3,7.7,1659,8,6.6,,41,430,6,,,,11.3,5,315,206,87,5.6,0.13,Less than 0.01,363,96,30,132,191,958,720,24,1,,0.1,3.3,0.28,52.93,4.35,,BDL,0.1,0.5,0.2,0.1,0.08,0.49
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,Rangareddy - II,0.3,7.4,1810,12,7.2,,32,350,12,,,,18.6,5,350,240,119,5,3.38,0.04,385,90,38.88,140,195,1020,680,36,0.9,,0.1,26.3,1.17,50.19,4.31,,BDL,BDL,0.5,0.2,0.1,0.04,0.15
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,Rangareddy - II,0.3,7.54,1600,10,6.8,,33,350,10,,,,18,5,315,214,102,5,1.95,0.03,330,84,29.16,124,180,920,600,62,1,,0.1,27.8,0.37,51.59,4.3,,BDL,BDL,0.5,0.2,0.1,0.07,0.1
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,Rangareddy - II,Sample was  not Collected due to No accessto collect sample,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",Medchal Malkajgiri,Rangareddy - II,1,7.47,1560,8,1.2,,49,430,4,,,,10,5,320,247,79,5,0.64,Less than 0.01,415,106,36.45,122,170,890,760,19,0.98,,0.1,15.1,0.68,45.86,3.62,,BDL,BDL,0.5,0.2,0.1,BDL,BDL
2357,Lakes & Tanks ,Durgam cheruvu,RR-shamshabad,Hyderabad,3.4,7.91,902,6,1.4,,40,280,Less than 1.8,,,,15.8,5,202,120,59,5,0.1,Less than 0.01,220,68,12.15,92,114,540,310,36,0.9,,0.1,12.7,0.98,51.13,3.34,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
2344,Lakes & Tanks ,Nalla cheruvu,Medchal Malkajgiri,Rangareddy - II,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2359,Lakes & Tanks ,Pedda Cheruvu (Nacharam cheruvu),Medchal Malkajgiri,Rangareddy - I,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2342,Lakes & Tanks ,Noor Md. Kunta,RR-shamshabad,Rangareddy - I,0.3,7.48,2163,12,23,,38,430,4,,,,17,5,462,360,130,6.72,1.98,0.03,485,110,51,252,340,1248,880,20,1.2,,0.1,10.9,0.49,59.58,6.7,,BDL,0.1,0.5,0.2,0.1,0.06,0.2
3070,Lakes & Tanks ,"Fox sagar, Jeedimetla",Medchal Malkajgiri,Rangareddy - II,3,7.68,1330,3.2,5,,17,280,Less than 1.8,,,,10,5,260,211,43,5,0.1,Less than 0.01,295,76,25.52,102,166,780,510,28,0.28,,0.1,7.2,0.36,54.15,4.19,,BDL,BDL,0.5,0.2,0.1,0.01,0.1
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,Hyderabad,0.3,7.17,1164,18,10.8,,21,430,21,,,,18.8,5,240,121,118,7,0.1,Less than 0.01,298,78.4,24.79,117,106,680,340,34,0.62,,0.1,17.1,0.6,41.77,2.66,,BDL,0.1,0.5,0.2,0.1,0.06,0.42
4236,Lakes & Tanks ,Pedda cheruvu,Ranga Reddy,Warangal,Station code:2359 & 4236 both the stations are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,ZL-RCP,5.6,6.8,935,6.2,7,0.17,8.1,41,6,5.5,0.62,,12,16,256,112,52,9.83,,Less than 0.01,319.53,62,40,15,28,558,382.23,17,,0.13,0.1,7,0.24,15.55,0.68,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.11
4237,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",RR-shamshabad,Ranga Reddy-I,0.3,7.62,1417,8,57,,16,220,14,,,,17.7,5,270,188,74,8.36,3.62,0.08,295,72,27.95,106,160,892,580,26,0.66,,0.1,13.3,0.88,52.6,4.04,,BDL,BDL,0.5,0.2,0.1,0.03,0.1
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,Hyderabad,0.3,7.87,2360,16,16.6,,58,540,4,,,,22,5,455,383,157,17,2.48,0.1,520,121.6,52.49,180,292,1360,1020,64,1.2,,0.1,18.8,0.83,53.72,5.55,,0.01,0.1,0.5,0.2,0.1,0.08,0.99
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,Medchal,2.2,7.77,1732,8,18,,24,430,4,,,,27,5,315,212,111,5.6,0.13,Less than 0.01,345,96,25.52,164,188,1040,640,78,1,,0.1,30,0.85,51.51,4.39,,BDL,0.1,0.5,0.2,0.1,0.06,0.46
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,Ranga Reddy-I,Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,Ranga Reddy-I,sample not submitted by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,RO-R.R-I,2.8,8.04,891,6,4.2,,34,430,Less than 1.8,,,,12.4,5,190,129,64,5,0.35,0.02,215,50,21.87,88,112,562,380,28,1.4,,0.1,12.1,0.84,51.25,3.31,,BDL,BDL,0.5,0.2,0.1,0.06,0.1
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,Ranga Reddy-I,0.3,7.01,999,8,3.8,,46,540,Less than 1.8,,,,9.2,5,245,102,68,6.5,0.91,Less than 0.01,325,85.6,26.97,74,87,650,420,18,2.8,,0.1,15.89,0.89,35.29,2.09,,BDL,BDL,0.5,0.2,0.1,0.02,0.1
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,Ranga Reddy-I,2,7.62,987,4,4.6,,41,350,Less than 1.8,,,,11.6,5,220,160,51,5,0.1,Less than 0.01,315,84,25.52,72,99,632,420,26,2.2,,0.1,3.69,0.81,40.13,2.42,,0.01,BDL,0.5,0.2,0.1,0.02,0.1
