Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Less than  0.1,7.72,1420,40,10.2,Not Analysed,430,Greater than 1600,,,,28,NIL,495,142,236,46,Not Analysed,Not Analysed,320,72,34.02,26,120,842,,120,5.2,Not Analysed,Less than 0.01,20,1.12,43.01,2.06
2339,River Musi,River Musi at Nagole,Less than  0.1,7.92,1380,32,14.6,Not Analysed,540,Greater than 1600,,,,36,NIL,520,156,212,62,Not Analysed,Not Analysed,360,64,48.6,40,180,810,,98,5.6,Not Analysed,Less than 0.01,22,1.2,50.2,2.92
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Less than  0.1,7.7,1520,36,16,Not Analysed,430,Greater than 1600,,,,10,NIL,540,186,166,50,Not Analysed,Not Analysed,380,72,48.6,48,140,820,,80,4.2,Not Analysed,Less than 0.01,18,0.98,43.02,2.21
4660,River Musi,River Musi at Peerajadiguda,Less than  0.1,7.8,1440,38,15.2,Not Analysed,540,Greater than 1600,,,,22,NIL,520,142,180,48,Not Analysed,Not Analysed,340,48,53.46,32,142,880,,88,5.8,Not Analysed,Less than 0.01,18,1.24,45.95,2.37
1173,River Musi,D/s. of Musi at Pratapasingaram,Less than  0.1,7.8,1410,32,15,Not Analysed,430,Greater than 1600,,,,26,NIL,495,166,196,56,Not Analysed,Not Analysed,365,52,57.1,40,130,960,,92,4.8,Not Analysed,Less than 0.01,26,1.01,41.5,2.09
4657,River Musi,River Musi at Pillapalli,Less than  0.1,7.7,1520,24,8.2,Not Analysed,350,Greater than 1600,,,,25,NIL,480,158,88,42,Not Analysed,Not Analysed,340,64,43.74,32,192,940,,80,4.2,Not Analysed,Less than 0.01,20,1.1,53.3,3.2
4254,River Musi,River Musi sample at Rudravelly bridge,5.8,7.39,1872,4,20,0.26,Less than 2,70,,,,13,20,260,228,37,7,Less than 1,Less than 0.01,454,86,58,42,58,1047,759,25,Not Analysed,0.34,Less than 0.01,12,0.21,21.08,1.18
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",5.7,7.26,1530,4.2,18,0.41,Less than 2,84,,,,19,16,240,210,45,8.5,Less than 1,Less than 0.01,416,74,56,36,54,856,619,16,Not Analysed,0.31,Less than 0.01,11,0.18,21.35,1.15
3082,River Musi,River Musi at Solipet (Kasaniguda),5.9,7.43,1196,4.4,11,0.32,Less than 2,79,,,,15,12,224,192,44,8.3,Less than 1,Less than 0.01,372,70,48,30,51,809,637,18,Not Analysed,0.35,Less than 0.01,9,0.23,22.29,1.15
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),5.6,7.81,432,2.1,Less than 0.01,Not Analysed,Less than 2,14,,,,6,Less than 1,145,38,8,Less than 1,Not Analysed,Not Analysed,158,35.2,17.01,20,28,280,,6,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,27.38,0.97
1780,Lakes & Tanks ,Gandigudem Tank,5.9,7.21,2488,4,14,0.35,Less than 2,58,,,,21,28,268,234,62,11.7,Less than 1,Less than 0.01,437.11,86,54,39,68,1429,1032,39,Not Analysed,0.46,0.46,13,0.34,24.45,1.41
2358,Lakes & Tanks ,Mallapur tank,Less than 0.1,7.41,1780,32,13.1,Not Analysed,34,350,,,,22,Less than 1,435,240,212,3.9,Not Analysed,Not Analysed,490,108,53.46,124,190,1102,,28,1.18,Not Analysed,0.36,4.4,1,45.32,3.72
2347,Lakes & Tanks ,Asani Kunta,Less than 0.1,6.35,15320,510,68,0.89,Less than 2,280,,,,239,76,2408,1962,2080,393.1,Less than 1,Less than 0.01,3899.59,780,474,212,514,9189,7467,168,Not Analysed,0.41,0.63,97,0.31,21.63,3.57
1783,Lakes & Tanks ,Kistareddypet Tank,5.8,7.19,4650,4.4,26,0.26,Less than 2,63,,,,26,32,418,680,72,13.6,Less than 1,Less than 0.01,1078.81,216,131,64,132,2698,1954,27,Not Analysed,0.43,0.05,19,0.23,20.54,1.74
2348,Lakes & Tanks ,Khazipally Tank,Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,Lakes & Tanks ,Rudraram Tank,5,7.35,1844,3,21,0.35,Less than 2,33,,,,21,28,264,242,62,11.7,Less than 1,Less than 0.01,437.38,96,48,34,70,1032,746,13,Not Analysed,0.29,0.03,16,0.15,24.84,1.45
4240,Lakes & Tanks ,"Muthangi Tank,",Sample was not collected as it was in dry condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4241,Lakes & Tanks ,"Chitkul Tank,",5.2,7.36,1854,3.2,16,0.37,Less than 2,20,,,,23,20,322,260,49,9.3,Less than 1,Less than 0.01,506.51,94,66,26,68,1038,751,16,Not Analysed,0.32,0.03,13,0.18,21.92,1.31
4242,Lakes & Tanks ,"Lakadaram Cheruvu,",5,7.25,1246,4.6,12,0.42,Less than 2,47,,,,21,16,212,168,24,4.5,Less than 1,Less than 0.01,324.53,64,40,20,49,708,532,22,Not Analysed,0.27,0.05,8,0.2,24.02,1.18
4243,Lakes & Tanks ,"Isnapur Tank,",4.9,7.32,7900,10,28,0.33,Less than 2,94,,,,29,36,520,1204,120,22.7,Less than 1,Less than 0.01,1794.19,392,198,73,175,4493,3249,49,Not Analysed,0.35,0.08,37,0.22,17.04,1.79
4246,Lakes & Tanks ,Pashamylaram Tank,Letter was addressed to CPCB dated:26.10.2018 to relocate with Nalla Cheruvu Kukatpally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,Lakes & Tanks ,Himayathsagar lake,4.3,8.01,432,3,1.8,,Less than 2,154,,,,9,Less than  1,154,52,29,Less than  1,Less than  1,Less than  1,186,36,23,9,25,253,208,Less than  5,0.0,Not Analysed,Less than 0.01,7,1.08,22,0.8
3069,Lakes & Tanks ,"Shameerpet lake, Shameerpet",4.2,7.68,552,3,0.6,Not Analysed,Less than 2,32,,,,8,Less than 1,150,72,18,Less than 1,Not Analysed,Not Analysed,185,35.2,23.57,38,49,372,,8,Less than 0.01,Not Analysed,Less than 0.01,2.6,0.8,35.98,1.56
