Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
1788,Lakes & Tanks ,Saroornagar Lake / Large Tank,RR-shamshabad,Rangareddy - I,0.3,7.28,1475,18,1.8,,21,350,21,,,,,5,335,205,198,5,0.82,Less than 0.01,365,90,34.02,106,146,915,600,33,1.26,,0.1,14.9,0.63,45.13,3.31
4234,Lakes & Tanks ,"Umda sagar lake, Shamshabad",RR-shamshabad,Rangareddy - I,1.6,7.9,948,6,1.22,,7,350,23,,,,,5,188,134,59,5,1.34,Less than 0.01,260,66,23.09,92,92,598,380,20,0.33,,0.1,9.14,0.87,42.29,2.48
1464,Lakes & Tanks ,Bibinagar Tank,Yadadri Bhuvanagiri,Nalgonda,5,7.21,845,4,8,0.18,6.8,46,6,,,,13,16,152,94,38,6.7,0.1,Less than 0.01,214,46,24,17,28,479,314,16,,0.21,0.1,6,0.17,21.47,0.83
3068,Lakes & Tanks ,Ramappa lake,Mulugu,Warangal,5,7.85,330,2.1,0.22,,Less than 1.8,21,Less than 1.8,,,,,5,110,32,16,5,0.1,Less than 0.01,120,30,10.94,20,25,198,140,8,0.16,,0.1,2.41,0.26,30.53,0.99
1447,Lakes & Tanks ,Dharmasagar tank,Warangal,Warangal,5.2,8.18,502,2.1,0.26,,Less than 1.8,14,Less than 1.8,,,,,5,170,40,12,5,0.1,Less than 0.01,178,44,16.52,21,30,280,180,9,0.1,,0.1,2.86,0.4,26.33,0.98
2346,Lakes & Tanks ,Bhadrakali tank,Warangal Urban,Warangal,4.8,7.59,876,2.6,0.51,,Less than 1.8,26,Less than 1.8,,,,,5,175,109,28,5,0.1,Less than 0.01,246,64,20.66,64,52,480,340,11,0.12,,0.1,9.61,0.4,30.43,1.44
3084,Lakes & Tanks ,"Waddepally tank, Kazipet",Warangal Urban,Warangal,5.3,8.14,498,2.6,0.72,,4,58,Less than 1.8,,,,,5,145,56,12,5,0.1,Less than 0.01,155,34,17.01,28,42,324,220,16,0.28,,0.1,5.22,0.51,35.96,1.46
3085,Lakes & Tanks ,Chinnawaddepally tank,Warangal Urban,Warangal,0.3,7.85,1355,12,4.2,,13,110,4,,,,,5,242,201,171,7,0.1,Less than 0.01,280,64,29.16,158,176,888,610,20,0.42,,0.1,13.6,1.22,56.14,4.56
2343,Lakes & Tanks ,Premajipet tank,RR-shamshabad,Ranga Reddy,0.3,7.9,3320,26,3.8,,21,350,Less than 1.8,,,,,5,710,550,212,22,4.11,0.17,740,168,77.76,320,480,2100,1850,32,1.6,,0.6,32,1.2,57.07,7.65
2345,Lakes & Tanks ,Sai Cheruvu,Warangal Urban,Warangal,0.3,7.5,5950,28,0.78,,23,40,Less than 1.8,,,,,5,620,1538,312,5,0.1,Less than 0.01,780,180,80.19,785,1021,4600,2920,18,4.6,,0.1,26.8,0.78,73.06,15.85
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,Ramagundam,Sample Could not be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Siricilla,Ramagundam,Sample Could not be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",RR-shamshabad,Ranga Reddy-I,Sample Could not be collected as source points were dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
