Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
5036,Lakes & Tanks,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,2.2,7.34,1394,4,3.2,,17,350,4,,,,28,5,300,168,54,13.4,4.48,,320,70,175,35.23,145,96,#,878,540,22,4.02,,0.5,,0.34,#,#,,,,,,,,
5037,Lakes & Tanks,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,2.1,7.32,1304,4,10.7,,21,350,2,,,,30,5,240,170,60,11.76,3.36,,250,60,150,24.3,100,92,#,796,520,26,3.92,,0.5,,1.32,#,#,,,,,,,,
5042,Lakes & Tanks,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.25,1100,6,1.9,,33,540,4.5,,,,29,5,235,143,66,12.3,2.8,,280,64,160,29.16,120,74,#,694,460,24,3.06,,0.5,,0.4,#,#,,,,,,,,
5043,Lakes & Tanks,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5045,Lakes & Tanks,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.24,1379,6,9.8,,32,430,4.5,,,,24,5,380,132,64,8.4,2.8,,410,96,240,41.31,170,75,#,854,560,20,3.68,,0.5,,1.04,#,#,,,,,,,,
5046,Lakes & Tanks,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,4.1,7.38,613,2.2,1.4,,17,280,2,,,,15,5,140,71,32,5.6,0.56,,150,36,90,14.58,60,52,#,382,240,12,1.62,,0.5,,0.2,#,#,,,,,,,,
5047,Lakes & Tanks,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.08,521,6.2,2.8,,17,110,Less than 1.8,,,,18,5,110,68,68,6.16,1.68,,120,28,70,12.15,50,41,#,328,200,16,1.06,,0.5,,0.24,#,#,,,,,,,,
5048,Lakes & Tanks,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,1.8,7.09,823,5,13.6,,22,350,2,,,,24,5,180,96,60,8.4,2.24,,200,50,125,18.22,75,56,#,520,340,22,2.34,,0.5,,0.99,#,#,,,,,,,,
5049,Lakes & Tanks,"Meddela Kunta,Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,no access due to lake is enroached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050,Lakes & Tanks,"Venna Cheruvu, Jeedimetla,Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,0.3,6.83,1163,6.1,10.4,,26,430,4.5,,,,32,5,220,155,64,9.52,3.36,,240,58,145,23.09,95,78,#,744,480,28,3.86,,0.5,,0.73,#,#,,,,,,,,
5051,Lakes & Tanks,"Chinna Bandam,Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,0.3,7.21,850,6,8.6,,21,350,2,,,,25,5,160,114,68,7.84,2.24,,180,44,110,17.01,70,69,#,510,320,20,2.4,,0.5,,0.82,#,#,,,,,,,,
5111,Lakes & Tanks,"Nagireddy Kunta (Yapral Cheruvu), Yapral",Medchal Malkajgiri,2.5,7.31,1638,2.2,14.2,,40,540,6.1,,,,23,5,300,238,46,11.2,3.36,,395,88,220,42.52,175,128,#,1032,690,18,4.6,,0.5,,0.98,#,#,,,,,,,,
5112,Lakes & Tanks,"Kamuni Cheruvu, Kukatpally",Medchal Malkajgiri,0.3,6.96,1223,12,18.4,,33,430,4,,,,20,5,220,154,216,13.4,3.92,,340,78,195,35.23,145,104,#,782,500,16,3.86,,0.5,,1.06,#,#,,,,,,,,
4675,Lakes & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,4,7.58,729,3.2,3,,17,280,2,,,,18,5,200,96,44,6.72,1.12,,220,44,110,26.73,110,52,#,452,280,15,0.86,,0.5,,0.55,#,#,,,,,,,,
4667,Lakes & Tanks,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,2.7,7.37,1483,2.6,4.9,,26,350,2,,,,25,5,290,206,44,14,3.36,,320,66,165,37.66,155,78,#,920,580,22,3.62,,0.5,,0.69,#,#,,,,,,,,
4689,Lakes & Tanks,"Sunnam Kunta, Jubille hills",Hyderabad,5.9,7.52,399,1,11,,9.2,70,Less than 1.8,,,,16,5,80,56,12,5.6,0.56,,105,24,60,10.94,45,34,#,252,160,14,0.88,,0.5,,0.31,#,#,,,,,,,,
4690,Lakes & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,4.1,7.17,695,2,9.3,,11,350,2,,,,24,5,140,106,32,6.16,1.68,,150,34,85,15.79,65,65,#,430,260,18,1.62,,0.5,,0.35,#,#,,,,,,,,
5029,Lakes & Tanks,"Mohini Cheruvu, Amberpet, Hyderabad",Hyderabad,no access due to lake is enroached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Lakes & Tanks,"Naya Quila Talab, Golconda, Hyderabad",Hyderabad,2,7.51,1219,4,4.9,,24,430,2,,,,22,5,290,184,60,9.52,2.24,,310,66,165,35.23,145,83,#,800,500,20,3.66,,0.5,,0.96,#,#,,,,,,,,
5031,Lakes & Tanks,"Erra Kunta, Shaikpet, Hyderabad",Hyderabad,No sufficient water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5032,Lakes & Tanks,"Kotha Cheruvu, Shaikpet, Hyderabad",Hyderabad,3.4,7.54,1078,2.1,3.2,,33,430,2,,,,20,5,235,123,48,9.52,4.48,,260,60,150,26.73,110,82,#,670,420,16,1.72,,0.5,,0.21,#,#,,,,,,,,
5033,Lakes & Tanks,"Shatham Talab, Shaikpet, Hyderabad",Hyderabad,0.3,7.47,1190,8,3.5,,11,350,2,,,,20,5,265,154,104,10.64,2.8,,285,68,170,27.95,115,76,#,738,460,16,3.56,,0.5,,0.9,#,#,,,,,,,,
5034,Lakes & Tanks,"Shikari Kunta, Shaikpet, Hyderabad",Hyderabad,2.9,7.61,1091,2,16,,17,350,2,,,,22,5,230,128,40,8.4,3.36,,240,56,140,24.3,100,78,#,676,440,18,1.88,,0.5,,0.2,#,#,,,,,,,,
5035,Lakes & Tanks,"Bathur Kunta, Shaikpet, Hyderabad",Hyderabad,0.3,7.08,1127,10,3,,27,350,4,,,,21,5,260,103,148,7.84,1.68,,280,58,145,32.8,135,124,#,698,440,18,3.68,,0.5,,0.23,#,#,,,,,,,,
5038,Lakes & Tanks,"Salkam Cheruvu, Bandlaguda, Hyderabad",Hyderabad,0.3,7.25,1457,6,4.7,,40,430,4,,,,28,5,290,230,88,11.2,1.68,,310,64,160,36.45,150,69,#,932,580,18,3.2,,0.5,,1.07,#,#,,,,,,,,
5039,Lakes & Tanks,"DMRL, Lake, Kanchanbagh, Hyderabad",Hyderabad,0.3,7.18,1684,6,4.3,,32,540,4.5,,,,26,5,250,309,84,11.76,2.8,,280,66,165,27.95,115,80,#,1044,660,24,2.86,,0.5,,1.13,#,#,,,,,,,,
