Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium (mg/L),Magnesium Carbonate as CaCO3,Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,6.97,982,8,3.6,,21,540,4,,,,28,5,275,103,76,11.2,6.16,,290,58,145,35.23,145,73,#,618,400,34,4.82,,0.5,,1.06,#,#,,,,,,,,
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.09,1195,8,7.8,,26,540,4.5,,,,25,5,305,136,84,10.64,5.6,,320,50,125,47.38,195,76,#,742,480,28,4.88,,0.62,,1.12,#,#,,,,,,,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.89,1358,7.8,4.9,,33,430,4,,,,18,5,285,162,82,9.52,4.48,,300,56,140,38.88,160,95,#,842,540,30,4.82,,0.64,,1.06,#,#,,,,,,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,6.87,952,8,6.1,,47,540,6.8,,,,25,5,210,104,98,11.76,6.72,,220,46,115,25.52,105,62,#,586,400,34,5.02,,0.58,,1.1,#,#,,,,,,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.6,6.7,866,4,4.6,,40,430,4.5,,,,32,5,190,98,78,7.84,2.24,,205,38,95,26.73,110,62,#,542,340,42,4.96,,0.5,,0.97,#,#,,,,,,,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,2.5,6.62,890,4,5.1,,21,350,2,,,,27,5,200,92,42,6.72,3.36,,220,42,105,27.95,115,69,#,560,340,30,4.2,,0.5,,0.92,#,#,,,,,,,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,6.5,6.98,1296,4.1,33,0.13,6,79,4.5,,,,4.2,10,285,255,44,7,BDL,BDL,570,120,300,66,270,68,76,820,582.2,11,,0.21,BDL,6.5,0.12,22.25,1.39,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.2,7.21,1041,3.9,39,0.12,6.5,84,5.6,,,,5.6,22,310,240,40,6,BDL,BDL,569.84,116,290,68,279.84,63,73,820,582.2,9,,0.27,BDL,7.8,0.24,21.57,1.33,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.04
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6,7.69,1265,3.2,34,0.11,6,63,3.6,,,,6,18,290,275,45,6,BDL,BDL,575,124,310,64,265,60,90,905,642.55,14,,0.24,BDL,8.2,0.26,25.18,1.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.12
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6.2,7.28,1785,4.1,38,0.11,6.1,40,4..0,,,,3.2,18,275,275,44,6,BDL,BDL,610,120,300,75,310,90,88,1071,760.41,11,,0.32,BDL,6.2,0.38,23.76,1.55,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.7,7.64,1880,3.9,40,0.18,5.6,33,4,,,,3.3,20,320,260,29,8,BDL,BDL,605,124,310,72,295,98,85,1065,756.15,9,,0.19,BDL,7.5,0.42,23.16,1.5,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6.2,7.69,471,1,1.4,,Less than 1.8,32,Less than 1.8,,,,5,5,130,47,8,1.5,0.4,,140,30,75,15.79,65,28,#,296,190,10,0.22,,0.5,,0.89,#,#,,,,,,,,
2358,Lakes & Tanks,Mallapur tank,Medchal Malkajgiri,0.3,6.68,2191,10,11.5,,94,920,11,,,,28,5,410,417,120,15.66,5.6,,520,116,290,55.89,230,28,#,1380,900,32,5.18,,0.63,,1.06,#,#,,,,,,,,
1789,Lakes & Tanks,Himayathsagar lake,RR-shamshabad,6.2,7.13,543,1,2.2,,Less than 1.8,33,Less than 1.8,,,,6,5,120,64,12,1.5,0.4,,130,24,60,17.01,70,48,#,336,220,10,0.23,,0.5,,0.63,#,#,,,,,,,,
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,5.2,7.43,760,2,1.4,,Less than 1.8,70,Less than 1.8,,,,12,5,146,115,52,3.36,1.14,,180,38,95,20.66,85,40,#,472,280,12,0.46,,0.5,,0.69,#,#,,,,,,,,
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,3.8,7.88,825,3,2.4,,17,350,2,,,,16,5,165,110,64,6.73,2.8,,190,36,90,24.3,100,74,#,512,328,18,2.38,,0.5,,1.06,#,#,,,,,,,,
2340,Lakes & Tanks,Lakshminarayana cheruvu,Medchal Malkajgiri,2,7.06,1772,4,10.2,,27,430,6.8,,,,13,5,395,246,92,7.84,3.36,,420,92,230,46.17,190,152,#,1116,620,28,2.42,,0.5,,1.13,#,#,,,,,,,,
4229,Lakes & Tanks,Neknampur Lake,RR-shamshabad,2.4,7.19,1096,4,12.9,,21,430,4.5,,,,28,5,250,125,48,12.32,4.48,,275,58,145,31.59,130,73,#,690,460,32,2.72,,0.5,,1.12,#,#,,,,,,,,
1780,Lakes & Tanks,Gandigudem Tank,Sangareddy,5.9,7.3,1986,4.1,56,0.24,5.5,58,3.6,,,,7.2,22,420,320,48,7,BDL,BDL,705,164,410,72,295,74,80,1191.6,846.04,12,,0.3,BDL,8.8,0.15,19.58,1.31,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.06
2347,Lakes & Tanks,Asani Kunta,Sangareddy,NIL,6.29,4896,48,90,0.46,9.2,94,5.5,,,,44,48,770,996,480,34,8,BDL,1990,420,1050,229,940,215,165,2937.6,2085.7,50,,0.38,0.4,76,0.42,14.71,1.61,BDL,BDL,BDL,BDL,BDL,0.14,0.18,1.96
1783,Lakes & Tanks,Kistareddypet Tank,Sangareddy,6.8,6.59,1658,4.2,35,0.15,7.8,31,4.5,,,,8.3,20,340,255,42,6,BDL,BDL,565,120,300,64,265,75,78,994.8,706.31,9,,0.22,BDL,7.8,0.16,22.9,1.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.1
2348,Lakes & Tanks,Khazipally Tank,Sangareddy,6.8,7.2,724,3.1,19,0.1,4.5,22,3.6,,,,2.2,10,140,111,20,4,BDL,BDL,245,64,160,21,85,29,33,452,321,5,,0.15,BDL,2.2,BDL,22.3,0.91,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1215,Lakes & Tanks,Madannapet Lake,Warangal Rural,6,8.1,266,1,0.7,,Less than 1.8,20,Less than 1.8,,,,12,5,110,22,16,1.5,0.4,,85,18,45,9.72,40,12,#,164,100,10,0.2,,0.5,,0.25,#,#,,,,,,,,
3068,Lakes & Tanks,Ramappa lake,Mulugu,6.4,7.98,345,1,0.9,,Less than 1.8,32,Less than 1.8,,,,8,5,80,43,10,1.5,0.4,,90,20,50,9.72,40,27,#,214,140,10,0.32,,0.5,,0.32,#,#,,,,,,,,
1447,Lakes & Tanks,Dharmasagar tank,Warangal,5.9,8.07,370,1,1.2,,Less than 1.8,26,Less than 1.8,,,,8,5,95,42,16,1.5,0.4,,105,26,65,9.72,40,28,#,228,160,10,0.39,,0.5,,0.48,#,#,,,,,,,,
2346,Lakes & Tanks,Bhadrakali cheruv,Warangal Urban,5,7.02,660,1,1.4,,Less than 1.8,32,Less than 1.8,,,,18,5,130,96,20,1.5,0.4,,150,32,80,17.01,70,54,#,406,280,10,0.46,,0.5,,0.46,#,#,,,,,,,,
3084,Lakes & Tanks,"Waddepally tank, Kazipet",Warangal Urban,5.3,7.99,538,2,1.6,,Less than 1.8,40,Less than 1.8,,,,12,5,110,71,34,1.5,0.4,,130,28,70,14.58,60,49,#,344,230,10,1.86,,0.5,,0.56,#,#,,,,,,,,
3085,Lakes & Tanks,Chinnawaddepally tank,Warangal Urban,2.1,7.25,993,4,5.4,,22,350,2,,,,28,5,270,112,68,7.28,2.24,,300,76,190,26.73,110,106,#,616,420,22,3.2,,0.5,,0.99,#,#,,,,,,,,
