Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,6.2,8.57,532,1,0.86,,Less than 1.8,17,Less than 1.8,N.A,N.A,N.A,8.6,20,140,44,5,1.5,0.4,0.08,250,152,60.8,98,23.81,32,,328,,10,0.28,,0.5,,0.82,,,,,,,,,,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,3.5,8.25,916,2.2,0.87,,9.1,540,1.8,N.A,N.A,N.A,4.8,10,190,127,29,1.5,0.4,0.04,285,160,64,125,30.38,78,,568,,12,0.79,,0.5,,0.63,,,,,,,,,,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,6.4,7.62,488,3,4,0.16,2,40,2,,,,12,24,92,88,26,6,0.4,0.01,140,100,40,40,10,20,10,320,228,10,,0.02,0.5,3,0.28,13.0,0.28,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.03
1391,Lakes & Tanks ,Hussain sagar Lake,Hyderabad,3.8,7.52,994,3,3.8,,32,540,4,N.A,N.A,N.A,6.9,5,235,115,59,5.6,1.38,0.03,250,155,62,95,23.09,70,,616,,14,0.7,,0.5,,0.76,,,,,,,,,,
3071,Lakes & Tanks ,Langarhouse lake,Hyderabad,0.3,7.34,1108,6,2.6,,11,430,4,N.A,N.A,N.A,10.8,5,250,124,71,6.72,1.89,0.03,315,180,72,135,32.8,76,,686,,20,1.85,,0.5,,0.86,,,,,,,,,,
2341,Lakes & Tanks ,Miralam tank,Hyderabad,2.6,7.22,1260,3.2,2.2,,8.3,430,3.6,N.A,N.A,N.A,9.7,5,300,162,51,5.6,1.32,0.01,355,220,88,135,32.8,98,,792,,12,2.09,,0.5,,0.9,,,,,,,,,,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.15,925,6,3.8,,8.3,350,2,N.A,N.A,N.A,8.7,5,214,96,55,5.6,1.11,0.01,215,140,56,75,18.22,58,,564,,12,1.26,,0.5,,0.87,,,,,,,,,,
3072,Lakes & Tanks ,Safilguda lake,Medchal Malkajgiri,0.3,6.86,1051,6,3.9,,6.1,430,1.8,N.A,N.A,N.A,7.5,5,230,122,53,6.72,1.86,0.01,345,200,80,145,35.23,67,,652,,18,1.19,,0.5,,0.98,,,,,,,,,,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,Medchal Malkajgiri,2.6,6.98,643,3.8,3.6,,5.6,350,2,N.A,N.A,N.A,8.3,5,168,58,35,4.48,1.52,0.01,180,105,42,75,18.22,32,,398,,14,1.03,,0.5,,0.97,,,,,,,,,,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",Medchal Malkajgiri,2.8,7.01,831,3.8,2.6,,4.5,430,4.5,N.A,N.A,N.A,12.2,5,180,96,31,5.6,1.08,0.01,200,130,52,70,17.01,52,,490,,20,1.86,,0.5,,0.98,,,,,,,,,,
