Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
2360,River Godavari,River Godavari at Basara,Nirmal,6.6,8.22,871,1.7,5,0.08,5.6,17,3.6,,,,8,16,180,141,16,7,0.4,0.01,275,145,58,130,32,34,28,520,370,10,,0.08,0.5,3,0.13,17.74,0.59,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5105,River Godavari,"River Godavari Pushkar Ghat, Mancherial",Mancherial,6.4,8.13,698,2.3,3,0.05,6.8,32,4,,,,6,12,200,143,24,6,0.4,0.01,325,170,68,155,38,40,12,484,322,10,,0.07,0.5,2,0.17,7.31,0.23,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4255,River Godavari,Ali sagar Reservoir,Nizamabad,6.3,8.53,508,1.3,3,0.11,4,27,Less than 1.8,,,,6,12,150,90,28,5,0.4,0.01,195,115,46,80,19,28,15,330.2,234.44,10,,0.1,0.5,5,0.18,13.98,0.37,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4227,River Godavari,"Pochara Water Falls, Adilabad",Adilabad,6.5,7.91,785,2,6,0.07,5.5,22,2,,,,5,10,152,182,36,9,0.4,0.01,290,170,68,120,29,50,30,510.25,362.28,10,,0.05,0.5,4,0.2,18.06,0.61,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2361,River Godavari,"River Godavari at mancherial, Near Rail Way Bridge B/C of Rallavagu",Mancherial,6.4,8.31,453,1,1.2,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6,10,85,56,8,1.5,0.4,0.05,95,55,22,40,9.72,36,,280,,10,0.86,,0.5,,0.44,,,,,,,,,,
0013,River Godavari,River Godavari at Mancherial,Mancherial,6.4,8.38,458,1.2,1.6,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,5.8,10,100,52,12,1.5,0.4,0.05,146,90,36,56,13.61,32,,284,,10,0.2,,0.5,,0.38,,,,,,,,,,
3054,River Godavari,"Outlet of ash pond effluents of M/s.NTPC, Ramagundam",Peddapalli,6.2,9.46,896,1.2,1.4,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,8.3,40,180,110,16,1.5,0.4,0.27,270,160,64,110,26.73,67,,556,,16,0.32,,0.5,,0.46,,,,,,,,,,
2362,River Godavari,D/s of River Godavari at Ramagundam near FCI intake well,Peddapalli,6.3,8.57,457,1,1,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,8,5,95,62,8,1.5,0.4,0.08,155,95,38,60,14.58,24,,284,,10,0.42,,0.5,,0.48,,,,,,,,,,
2363,River Godavari,River Godavari at Godavarikhani near bathing ghat,Peddapalli,6.3,8.53,465,1.2,1.7,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.2,5,125,44,12,1.5,0.4,0.07,220,130,52,90,21.87,26,,292,,10,0.28,,0.5,,0.52,,,,,,,,,,
2364,River Godavari,River Godavari at Ramagundam upstream near dam,Peddapalli,6.3,8.48,452,1.2,1.6,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,5.8,10,120,47,12,1.5,0.4,0.07,190,115,46,75,18.22,28,,280,,10,0.2,,0.5,,0.43,,,,,,,,,,
2356,River Godavari,River Godavari d/s of Ramagundam at Manthani,Peddapalli,6.3,8.4,486,1.2,1.2,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,5.6,15,110,54,12,1.5,0.4,0.06,160,95,38,65,15.79,29,,302,,10,0.2,,0.5,,0.47,,,,,,,,,,
4662,River Godavari,River godavari Kaleshwaram,Jayashankar Bhoopalpalli,6.3,8.41,516,1.2,1.1,,Less than 1.8,26,Less than 1.8,N.A,N.A,N.A,6.6,15,120,56,8,1.5,0.4,0.06,150,110,44,40,9.72,28,,320,,10,0.2,,0.5,,0.78,,,,,,,,,,
2365,River Godavari,"U/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., intake well",Mulugu,6.4,8.38,315,1,0.42,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,3.8,10,80,34,5,1.5,0.4,0.05,144,87,34.8,57,13.85,15,,190,,10,0.12,,0.5,,0.52,,,,,,,,,,
2366,River Godavari,"D/s of River Godavari at Kamalapur (V) at M/s.AP Rayons Ltd., discharge point",Mulugu,6.4,8.38,315,1,0.42,,Less than 1.8,39,Less than 1.8,N.A,N.A,N.A,3.8,10,86,28,5,11.5,0.4,0.06,144,87,34.8,57,13.85,15,,190,,10,0.12,,0.5,,0.52,,,,,,,,,,
2367,River Godavari,U/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.2,8.43,249,1.2,0.42,,Less than 1.8,31,Less than 1.8,N.A,N.A,N.A,5.6,10,68,22,12,1.5,0.4,0.06,125,72,28.8,53,12.88,11,,144,,10,0.74,,0.5,,0.47,,,,,,,,,,
2368,River Godavari,D/s of river Godavari at Bhadrachalam bathing ghat,Bhadradri Kothagudem ,6.4,8.35,271,1,0.44,,1.8,39,Less than 1.8,N.A,N.A,N.A,6.3,10,68,28,8,1.5,0.4,0.05,130,60,24,70,17.01,12,,164,,10,1.26,,0.5,,0.52,,,,,,,,,,
2369,River Godavari,River Godavari at Burgampahad,Bhadradri Kothagudem ,6.4,8.46,288,1.2,0.52,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,5.4,10,65,33,8,1.5,0.4,0.06,115,80,32,35,8.5,14,,168,,10,0.92,,0.5,,0.46,,,,,,,,,,
4256,River Maneru / Manair,"Lower Maneru Dam, Karimnagar",Karimnagar,6.3,8.46,379,1,1,,Less than 1.8,41,Less than 1.8,N.A,N.A,N.A,5.4,10,75,42,5,1.5,0.4,0.06,140,82,32.8,58,14.09,45,,234,,10,0.2,,0.5,,0.48,,,,,,,,,,
4257,River Maneru / Manair,"Maneru river D/S of municipal dump site, Karimnagar",Karimnagar,5,8.53,1378,2.8,1.2,,14,110,2,N.A,N.A,N.A,5.2,15,240,225,32,5.6,2.14,0.39,330,200,80,130,31.59,183,,840,,24,1.16,,0.5,,0.52,,,,,,,,,,
4664,River Maneru / Manair,River Maneru at Ghattepalli (V) near Sulthanabad,Karimnagar,5.2,8.58,711,1.2,0.72,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.6,10,160,81,16,1.5,0.4,0.08,270,135,54,135,32.8,48,,434,,12,0.33,,0.5,,0.72,,,,,,,,,,
4665,River Maneru / Manair,Outlet of KTPP Ash Pond Joining Moranchavagu,Bhadradri Kothagudem ,6,8.24,935,1,1.6,,Less than 1.8,25,Less than 1.8,N.A,N.A,N.A,12.8,10,220,98,12,1.5,0.4,0.04,290,235,94,55,13.37,54,,578,,38,0.3,,0.5,,0.88,,,,,,,,,,
1158,River Maneru / Manair,River Maneru at Somanpally,Peddapalli,6,8.69,512,1.1,0.76,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,7.3,20,135,49,12,1.5,0.4,0.1,202,115,46,87,21.14,29,,308,,10,0.28,,0.5,,0.36,,,,,,,,,,
4258,River Manjeera,"Singoor Dam Reservoir,",Sangareddy,6.5,8.38,570,1.7,4,0.08,3.6,15,Less than 1.8,,,,7,24,138,84,28,6,0.4,0.01,170,110,44,60,15,14,12,370.5,263.06,10,,0.07,0.5,5,0.21,12.73,0.31,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.12
1157,River Manjeera,River Manjeera at Raipally,Sangareddy,6.4,7.34,580,2.3,3,0.04,5.5,41,3.6,,,,8,16,128,74,22,6,0.4,0.01,160,100,40,60,15,26,16,377,267.67,10,,0.05,0.5,4,0.13,17.19,0.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1781,River Manjeera,Manjeera at Ganapathi sugars,Sangareddy,6.2,7.52,570,2,2,0.12,8.3,58,5.5,,,,5,20,110,79,22,3,0.4,0.01,150,70,28,80,19,42,24,380,280,10,,0.1,0.5,4,0.1,25.27,0.7,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2374,River Manjeera,U/s of River Manjeera at Gowdicherla before confluence with Nakkavagu,Sangareddy,6,7.16,636,2.6,4,0.15,8.1,32,6.1,,,,7,16,152,84,20,6,0.4,0.01,165,100,40,65,16,15,21,413.4,290,10,,0.12,0.5,5,0.15,20.87,0.56,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2375,River Manjeera,D/s of River Manjeera at Gowdicherla after confluence with Nakkavagu,Sangareddy,6.6,7.45,780,2.8,4,0.13,6.8,40,4.5,,,,9,20,160,118,25,5,0.4,0.01,205,145,58,60,15,25,28,480,340,10,,0.05,0.5,2,0.2,22.47,0.65,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2349,River Manjeera,Nakka vagu at Bachugudem,Sangareddy,3.2,7.13,1024,8,4,0.07,10,94,8.1,,,,22,40,302,197,40,17,0.4,0.01,345,175,70,170,41,20,42,665.6,472.58,14,,0.13,0.5,6,0.4,20.53,0.8,BDL,BDL,BDL,BDL,BDL,BDL,0.11,0.08
4226,River Manjeera,River Manjeera at Yedu Payala Temple,Medak,6.7,7.5,667,2.1,11,0.12,3.6,20,Less than 1.8,,,,10,16,212,118,24,15,0.4,0.01,280,160,64,120,29,25,12,433.55,307.82,10,,0.12,0.5,4,0.3,8.36,0.25,BDL,BDL,BDL,BDL,BDL,BDL,0.26,0.15
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,Bhadradri Kothagudem ,6.4,8.52,403,1.1,0.46,,Less than 1.8,33,Less than 1.8,N.A,N.A,N.A,5.8,15,120,32,8,1.5,0.4,0.06,155,95,38,60,14.58,16,,250,,10,0.14,,0.5,,0.54,,,,,,,,,,
3080,River Kinneresani,U/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.4,8.56,612,1,0.36,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,6.3,15,165,56,8,1.5,0.4,0.08,225,135,54,90,21.87,30,,368,,10,0.2,,0.5,,0.72,,,,,,,,,,
3081,River Kinneresani,D/s of Karakavagu at Paloncha,Bhadradri Kothagudem ,6.4,8.1,551,1.1,0.32,,Less than 1.8,38,Less than 1.8,N.A,N.A,N.A,6.6,5,125,36,12,1.5,0.4,0.07,210,125,50,85,20.66,67,,336,,10,0.2,,0.5,,0.66,,,,,,,,,,
1784,River Krishna ,River Krishna at Thangadi,Mahaboobnagar,6.3,8.48,545,1,0.86,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,8.8,15,150,59,8,1.5,0.4,0.06,160,110,44,50,12.15,34,,332,,10,0.2,,0.5,,0.46,,,,,,,,,,
0039,River Krishna ,River Krishna at Gadwal bridge,Mahaboobnagar,6.3,8.4,538,1,0.83,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.6,20,110,64,12,1.5,0.4,0.07,210,120,48,90,21.87,38,,322,,10,0.2,,0.5,,0.48,,,,,,,,,,
4225,River Krishna ,"Jogulamba Temple, Gadwal",Jogulamba Gadwal,6.2,8.48,360,1,0.84,,Less than 1.8,34,Less than 1.8,N.A,N.A,N.A,6.9,15,70,49,8,1.5,0.4,0.06,140,105,42,35,8.5,30,,216,,10,0.26,,0.5,,0.52,,,,,,,,,,
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,Nalgonda,6.4,7.81,763,2.2,4,0.17,4.5,22,3.6,,,,10,12,170,143,24,6,0.4,0.01,260,140,56,120,29,42,20,495.95,352.12,10,,0.12,0.5,12,0.22,13.6,0.43,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.22
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",Nalgonda,6.5,7.83,825,2.4,4,0.12,7.8,47,4.5,,,,14,16,190,153,26,6,0.4,0.01,315,150,60,165,40,65,30,536.25,380.74,10,,0.1,0.5,10,0.3,16.52,0.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.32
1465,River Krishna ,Confluence of River Krishna & River Musi at at Wadapally,Nalgonda,5.7,8.92,1256,2.5,4,0.24,9.2,33,5.5,,,,11,24,210,258,28,6,0.4,0.01,430,235,94,195,47,88,42,816.4,579.64,10,,0.08,0.5,12,0.21,16.99,0.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",Suryapet,5.8,7.75,1116,3,3,0.17,6.8,40,4,,,,12,28,170,197,30,5,0.4,0.01,290,170,68,120,29,35,44,725.4,515.03,12,,0.15,0.5,20,0.24,23.21,0.89,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.24
4250,River Krishna ,"Palair Reservoir, Khammam",Khammam,6.4,8.34,476,1,0.52,,Less than 1.8,32,Less than 1.8,N.A,N.A,N.A,6.6,10,115,47,5,1.5,0.4,0.05,132,75,30,57,13.85,28,,286,,10,0.92,,0.5,,0.55,,,,,,,,,,
4251,River Krishna ,"D/S of Munneru River, Prakash Nagar, Khammam",Khammam,6.2,8.35,454,1,0.46,,Less than 1.8,31,Less than 1.8,N.A,N.A,N.A,5.8,10,106,48,8,1.5,0.4,0.05,205,155,62,50,12.15,26,,280,,10,0.86,,0.5,,0.47,,,,,,,,,,
5108,River Krishna ,River Krishna Before Confluence of River Musi at Wadapally (V),Nalgonda,5.8,7.71,768,1.9,3,0.1,6.1,34,4,,,,10,16,200,123,20,5,0.4,0.01,270,140,56,130,32,38,18,499.2,354.43,10,,0.07,0.5,7,0.21,12.17,0.38,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5109,River Krishna ,River Krishna After Confluence of River Musi at Wadapally (V),Nalgonda,5.7,7.98,1054,2,3,0.13,5.6,43,3.6,,,,7,12,214,128,22,5,0.4,0.01,290,150,60,140,34,42,20,630,440,10,,0.08,0.5,6,0.25,12.68,0.41,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.3,8.28,1088,1.7,4,0.12,4.5,40,2,,,,12,20,252,108,18,7,0.4,0.01,280,150,60,130,32,38,20,707.2,502.11,10,,0.07,0.5,5,0.17,13.05,0.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,4.6,7.46,596,3,2.2,,8.3,350,3.6,N.A,N.A,N.A,6.8,5,160,52,16,4.46,0.4,0.01,140,85,34,55,13.37,29,,370,,16,0.26,,0.5,,0.96,,,,,,,,,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,3.8,7.35,669,3.2,3.8,,6.8,430,2,N.A,N.A,N.A,7.2,5,160,69,18,3.36,0.4,0.01,150,90,36,60,14.58,41,,422,,12,0.24,,0.5,,0.98,,,,,,,,,,
2339,River Musi,River Musi at Nagole,Shamshabad,3.6,7.32,661,3.2,3.4,,9.2,350,2,N.A,N.A,N.A,16.7,5,135,76,12,2.24,0.4,0.01,145,85,34,60,14.58,46,,404,,22,0.29,,0.5,,0.97,,,,,,,,,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,7.34,1198,6,3.2,,8.3,350,Less than 1.8,N.A,N.A,N.A,10.6,5,270,154,47,6.72,2.15,0.03,280,175,70,105,25.52,95,,742,,18,1.12,,0.5,,1.01,,,,,,,,,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,2.2,7.36,787,4,4,,10,430,2,N.A,N.A,N.A,8.7,5,175,88,24,3.36,0.58,0.01,175,105,42,70,17.01,48,,488,,14,0.35,,0.5,,1.06,,,,,,,,,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,4.2,7.32,716,1.8,3.8,,9.1,430,2,N.A,N.A,N.A,9.8,5,160,82,20,2.24,0.49,0.01,170,102,40.8,68,16.52,44,,452,,12,0.41,,0.5,,1.03,,,,,,,,,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,4.4,7.2,789,1.8,3.8,,9.2,350,2,N.A,N.A,N.A,6.6,5,180,83,20,3.36,0.4,0.0,190,120,48,70,17.01,49,,490,,10,0.57,,0.5,,0.98,,,,,,,,,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,5.8,6.96,1137,5,5,0.12,7.8,110,5.6,,,,18,20,272,162,58,12,0.4,0.01,235,155,62,80,19,50,48,739.05,524.73,16,,0.13,0.5,12,0.27,29.49,1.06,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.2,7.19,1254,4,3,0.13,9.1,120,6.1,,,,14,12,220,148,50,9,0.4,0.01,240,150,60,90,22,44,52,815.1,578.72,10,,0.12,0.5,13,0.31,30.44,1.14,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.09
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.3,7.7,1235,3.2,3,0.07,7.8,70,4,,,,16,16,200,167,42,6,0.4,0.01,270,150,60,120,29,40,46,802.75,569.95,12,,0.09,0.5,14,0.3,25.72,0.97,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.17
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6,8.42,1186,3.2,5,0.21,6,38,3.7,,,,18,20,296,148,34,7,0.4,0.01,330,185,74,145,36,30,22,770.9,547.34,10,,0.08,0.5,12,0.2,12.01,0.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.1,7.97,1256,2.3,4,0.07,8.1,46,6,,,,12,16,200,157,26,6,0.4,0.01,315,200,80,115,28,50,20,816.4,579.64,18,,0.09,0.5,10,0.21,11.66,0.38,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6.4,8.28,460,1,1.2,,Less than 1.8,40,Less than 1.8,N.A,N.A,N.A,7.2,10,110,48,8,1.5,0.4,0.05,185,122,48.8,63,15.31,25,,278,,10,0.24,,0.5,,0.67,,,,,,,,,,
1215,Lakes & Tanks ,Madannapet Lake,Warangal Rural,6.2,8.07,291,1,0.72,,Less than 1.8,24,Less than 1.8,N.A,N.A,N.A,8.2,5,65,33,5,1.5,0.4,0.03,95,56,22.4,39,9.48,22,,178,,10,0.2,,0.5,,0.78,,,,,,,,,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,5.8,7.07,1584,7,10,0.2,5.5,84,3.6,,,,12,36,430,280,68,12,0.4,0.01,555,300,120,255,62,50,48,1029.6,731.02,10,,0.13,0.5,11,0.2,15.42,0.71,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.08
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,0.3,7.05,3740,12,6.8,,14,540,4,N.A,N.A,N.A,20.7,5,880,480,145,10.08,3.06,0.02,1255,740,296,515,125.14,346,,2318,,34,0.9,,0.62,,1.02,,,,,,,,,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,NIL,7.59,2406,36,12,0.24,9.1,170,6,,,,16,40,502,389,504,15,0.4,0.01,880,550,220,330,80,140,52,1563.9,1110.37,108,,0.2,0.5,20,0.7,11.06,0.6,BDL,BDL,BDL,0.08,BDL,0.13,0.16,2.34
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,5.8,6.87,1388,5,10,0.13,11,33,5.5,,,,10,32,390,162,60,12,0.4,0.01,410,245,98,165,40,60,35,902.2,640.56,12,,0.18,0.5,10,0.2,15.2,0.59,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,5.2,7.49,3270,7,15,0.15,2,11,Less than 1.8,,,,32,36,585,477,72,25,0.4,0.01,950,530,212,420,102,190,90,2125.5,1509.11,20,,0.3,0.5,15,0.2,16.72,1.02,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.12
4243,Lakes & Tanks ,"Isnapur Tank,",Sangareddy,5.2,7.01,2185,8,10,0.24,7.8,84,4.1,,,,22,40,520,349,80,14,0.4,0.01,660,380,152,280,68,56,63,1420.25,1008.38,22,,0.17,0.5,19,0.45,16.61,0.85,BDL,BDL,BDL,BDL,BDL,BDL,0.05,0.21
