Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2358,Lakes  & Tanks,"Mallapur Tank , Medchal Malkajgiri",Medchal Malkajgiri,0.3,7.15,2371,6,14.4,,27,540,9.2,,,,38,5,558,340,56,8.96,3.2,0.03,610,384.0,153.6,226,54.92,238,,1470,,14,5.26,,0.5,,0.9,,
2347,Lakes  & Tanks,"Asani Kunta,Bollaram(V),Jinnaram(M), Sangareddy(D)",Sangareddy,0.3,6.92,6710,192,22,0.34,11,350,7.8,,,,242,52,788,522,816,146,0.4,0.01,1284.9,610,244,674.9,164,163,150,3846,2461.44,126,,0.22,0.5,80,0.79,19.06,1.82
1783,Lakes  & Tanks,"Kistareddypet Tank, Kistareddypet(V),Ameenpur(M),Sangareddy(D)",Sangareddy,5.6,7.4,1790,6,24,0.08,6.8,33,4,,,,12,24,336,186,53,9.5,0.4,0.01,509.84,230,92,279.84,68,40,58,1024,665.6,13,,0.17,0.5,19,0.22,19.13,1.12
2348,Lakes  & Tanks,"Khazipally Tank,Khazipally(V), Jinnaram(M), Sangareddy(D) Sangareddy",Sangareddy,5.3,7.2,1040,10,20,0.07,6.1,79,3.7,,,,14,32,208,130,85,15.6,0.4,0.01,332.84,160,64,172.84,42,20,37,594,392,17,,0.1,0.5,12,0.27,18.8,0.88
4243,Lakes  & Tanks,"Isnapur Tank,Pashamylaram(V), Patancheru (M), Sangareddy District",Sangareddy,5.4,7.55,3400,10,13,0.19,12,110,7.8,,,,22,36,456,284,88,16.2,0.4,0.01,708.6,330,132,378.6,92,45,87,1946,1264.9,14,,0.11,0.5,14,0.4,20.69,1.42
4302,Lakes  & Tanks,"Rudraram Tank, Rudraram (V), Patancheru (M), Sangareddy District",Sangareddy,5.7,7.66,2168,7,12,0.19,8.2,48,3.6,,,,20,20,272,154,63,11.7,0.4,0.01,397.53,200,80,197.53,48,22,49,1224,832.32,18,,0.13,0.5,14,0.3,20.44,1.07
4240,Lakes  & Tanks,"Muthangi Tank (V), Patancheru (M),Sangareddy district",Sangareddy,6.1,7.82,1283,2.9,7,0.16,4.5,41,2,,,,6,16,236,144,30,5.6,0.4,0.01,369.3,180,72,189.3,46,28,43,728,487.76,10,,0.09,0.5,9,0.4,19.74,0.97
4241,Lakes  & Tanks,"Chitkul Tank,Chitkul (V), Patancheru (M), Sangareddy District",Sangareddy,6.2,7.75,1644,4,8,0.18,5.6,58,3.7,,,,10,12,284,188,38,6.7,0.4,0.01,470.45,240,96,230.45,56,34,52,920,634.8,12,,0.1,0.5,6,0.39,19.15,1.04
4242,Lakes  & Tanks,"Lakadaram Cheruvu, Lakdaram (V), Patancheru (M),Sangareddy District.",Sangareddy,5.6,7.87,1285,5,9,0.2,8.1,63,5.6,,,,12,8,212,128,52,9.5,0.4,0.01,337.84,165,66,172.84,42,24,37,724,456.12,16,,0.08,0.5,6,0.34,18.92,0.88
4246,Lakes  & Tanks,"Pashamylaram Tank, Sangareddy",Sangareddy,Station code : 4243 & 4246 are same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
