Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
5125,Lakes  & Tanks,"MondiKunta, Khanamet (V), Serilingampally (M), Rangareddy (D)",Rangareddy ,DRIED UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes  & Tanks,"Bathula Kunta, Anmagal (V), Hayathnagar (M), Rangareddy (D)",Rangareddy,0.3,7.49,1801,10,6.2,,31,540,10,,,,12,5,320,280,151,8.4,2.84,,436,222,88.8,214,52.0,238,,1116,,17,3.08,,0.5,,0.93,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5127,Lakes  & Tanks,"Kummari Kunta, Anmagal (V), Hayathnagar (M), Rangareddy (D)",Rangareddy,0.3,7.14,1692,8,5.4,,17,540,6.1,,,,24,5,340,240,119,7,1.98,,408,210,84,198,48.11,184,,1048,,84,2.98,,0.5,,0.87,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5128,Lakes  & Tanks,"Palle Cheruvu, Mailardev Pally (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,6.9,1966,10,6.9,,25,540,11,,,,8,5,420,260,149,8.4,2.84,,466,245,98,221,53.7,154,,1198,,16,3.12,,0.5,,0.99,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5129,Lakes  & Tanks,"Erra Kunta, Laxmiguda (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,6.78,2119,12,7.8,,34,920,14,,,,22,5,520,304,193,12.6,3.08,,546,290,116,256,62.21,186,,1334,,56,3.48,,0.61,,1.08,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
5130,Lakes  & Tanks,"Pathi Kunta, Budvel (V), Rajendranagar (M), Rangareddy (D)",Rangareddy,0.3,6.91,1140,6.4,3.4,,17,540,8.1,,,,11,5,285,113,92,8.4,1.52,,306,160,64,146,35.48,64,,702,,22,2.69,,0.5,,0.89,,,,0.0,0.0,0.0,0.0,0.04,0.04,0.04
5131,Lakes  & Tanks,"Yellamma Cheruvu, Manikonda (V), Rajendra Nagar (M), Rangareddy (D)",Rangareddy ,0.3,6.94,1724,6,5.6,,25,540,9.3,,,,12,5,410,221,84,8.4,2.98,,442,235,94,207,50.3,128,,1086,,19,3.46,,0.5,,0.97,,,,0.0,0.0,0.0,0.0,0.04,0.04,0.04
5132,Lakes  & Tanks,"Malka Cheruvu, Raidurg (V), Serlingampally (M), Rangareddy (D)",Rangareddy ,3.8,7.13,1549,25,,,130,920,,,,,35.2,32,328,230,103,18,8,0.06,320,200,80,120,29,86,173,831,678,4,,4,,20,,52,4.2,,,,,,,,
5133,Lakes  & Tanks,"Chandana cheruvu, Jillelaguda (V), Rangareddy (D)",Rangareddy,3.2,8.05,1255,4.6,3.3,,17,540,11,,,,10,5,220,190,67,7,1.62,,304,170,68,134,32.56,132,,782,,18,2.16,,0.5,,0.82,,,,0.0,0.0,0.01,0.0,0.02,0.02,0.02
5134,Lakes  & Tanks,"Manthrala cheruvu, Meerpet (V), Rangareddy (D)",Rangareddy,0.3,7.85,1676,6.2,5.3,,25,540,10,,,,9,5,340,240,91,8.4,1.96,,408,222,88.8,186,45.2,166,,1022,,16,3.26,,0.5,,0.97,,,,0.0,0.0,0.01,0.0,0.04,0.04,0.04
15,Lakes  & Tanks,Borewell at Koyyur,Ramagundam,_,7.08,144,,1.7,,Less than 1.8,24,Less than 1.8,,,,6,5,44,17,24,1.5,0.4,0.0,48,30,12,18,4,8,,88,,10,0.62,,0.5,,0.98,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.78
1794,Lakes  & Tanks,Openwell at Manakondur,Karimnagar,3.6,7.4,940,2,3.8,,Less than 1.8,58,Less than 1.8,,,,5.5,5,240,91,60,1.5,0.4,0.01,256,145,58,111,27,56,,602,,10,0.49,,0.5,,0.79,,,,0.0,0.0,0.04,0.02,0.0,0.0,0.05
3094,Lakes  & Tanks,"Borewell at Akbarnagar, Ramagundam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Lakes  & Tanks,"Open well at Kundanpally, Ramagundam",Peddapalli,1.5,7.32,1780,3.6,6.6,,Less than 1.8,34,Less than 1.8,,,,6,5,440,179,60,4.2,1.84,0.02,464,245,98,219,53,112,,1192,,12,0.52,,0.5,,0.83,,,,0.0,0.0,0.04,0.01,0.04,0.03,0.05
1791,Lakes  & Tanks,Borewell east of Sai Cheruvu Paidipally,Warangal,_,7.61,940,1.5,3.6,,Less than 1.8,21,Less than 1.8,,,,12,5,160,130,44,1.5,0.4,0.01,220,95,50,125,23,80,,582,,28,1.37,,0.5,,1.12,,,,0.0,0.0,0.03,0.0,0.03,0.04,0.05
1792,Lakes  & Tanks,"Borewell at CKM College, Enumamula (V)",Warangal,_,7.98,880,1.3,4.2,,Less than 1.8,14,Less than 1.8,,,,7.2,5,195,110,40,2.8,0.4,0.02,250,105,58,145,26,52,,550,,16,1.29,,0.6,,0.98,,,,0.0,0.0,0.03,0.0,0.03,0.05,0.14
16,Lakes  & Tanks,"Open Well at Govt Ashram School, Tadvai",Mulguu,4.9,7.61,841,1.8,3.6,,Less than 1.8,17,Less than 1.8,,,,6,5,180,110,35,1.5,0.4,0.01,206,110,44,96,23,64,,520,,10,0.2,,0.5,,0.89,,,,0.0,0.0,0.03,0.02,0.04,0.04,0.05
1811,Lakes  & Tanks,Borewell at Rudravelli near Primary School,Yadadri Bhuvanagiri,Sample not collected due Borewell was not working.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lakes  & Tanks,Borewell at MRO Office Peddavoora,Yadadri Bhuvanagiri,,8.3,1249,,12,0.21,,,,,,,1.3,16,220,236,20,20,,0.01,520,350,140,170,41,88,30,812,568.4,7,,0.3,0.5,4,0.22,13.47,0.49,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1525,Lakes  & Tanks,Borewell at Pashamylaram near M/s.Sri Chaitanya Chlorides,Sangareddy,,7.32,3285,,20,0.33,,,,,,,1.8,20,635,455,80,32,,0.01,865,445,178,420,102,110,78,2102.4,1471.68,4,,0.14,0.5,7,0.32,21.9,1.12,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1795,Lakes  & Tanks,Borewell at Bollaram near Panchayat Office,Sangareddy,,7.02,3641,,16,0.2,,,,,,,2.2,24,650,385,40,20,,0.01,800,425,170,375,91,112,62,2330.24,1631.17,6,,0.22,0.5,10,0.22,18.78,0.9,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1810,Lakes  & Tanks,"Borewell at Bodhan, Sriramnagar colony, Shakkarnagar, NZB",Nizamabad  ,,7.83,2002,,15,0.26,,,,,,,1.2,24,385,284,20,26,,0.01,575,310,124,265,64,63,38,1281.28,896.9,5,,0.26,0.5,10,0.26,16.01,0.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
1515,Lakes  & Tanks,Borewell at Nagaram village on the bank of Kinnerasani River Tributary (Earlier this sample was collected under degrade zone),Bhadradri-Kothagudem,_,8.19,1240,3,4.4,,Less than 1.8,27,Less than 1.8,,,,9.2,5,290,135,72,7,3.82,0.4,346,145,80,201,35,78,,802,,12,1.92,,0.5,,0.98,,,,0.0,0.0,0.0,0.0,0.0,0.03,0.34
3088,Lakes  & Tanks,"Borewell at J.Narasimha Rao, 14 No.Area, Ramavaram, Near Municipal Solid Waste Dump Site",Bhadradri-Kothagudem,_,7.58,1332,2.6,4.2,,Less than 1.8,24,Less than 1.8,,,,5.5,5,245,180,56,4.2,0.4,0.01,332,125,83,207,30,106,,812,,10,0.82,,0.5,,1.06,,,,0.0,0.0,0.04,0.01,0.04,0.16,0.1
4261,Lakes  & Tanks,"Borewell at M/s Shalini Steels Ltd., IDA Bollaram, Jinnaram Mandal, Sangareddy District",Sangareddy,"Asper the BO directions Dt. 15.03.2021 the borewell located inside the premises of M/s. Shalini Steels Ltd., Bollaram is sealed as the some of the important parameters are exceeding BIS, Drinking water specifications (IS10500:2012) and this office has stopped collecting water sample from this month.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4262,Lakes  & Tanks,"Borewell near Grampanchyat Office, Kistaipally village, Jinnarm Mandal, Sangareddy District",Sangareddy,,7.15,2376,,18,0.31,,,,,,,2.4,20,370,395,30,22,,0.01,720,360,144,360,87,165,65,1520.64,1064.45,11,,0.18,0.5,15,0.35,20.93,1.01,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4263,Lakes  & Tanks,"Borewell near MPP School, Gaddapotharam Village, Jinnaram Mandal, Sangareddy District",Sangareddy,,7.07,4220,,25,0.21,,,,,,,2.5,28,485,607,98,39,,0.01,1145,685,275,460,112,220,98,2700.8,1890.56,12,,0.24,0.5,20,0.31,18.9,1.12,BDL,BDL,BDL,BDL,BDL,BDL,0.12,BDL
4276,Lakes  & Tanks,"Borewell near Grampanchyat Office, Khazipally village, Sangareddy District",Sangareddy,,7.34,2114,,16,0.12,,,,,,,1.8,16,390,282,16,25,,0.01,555,310,125,245,60,68,52,1352.96,947.07,8,,0.21,0.5,12,0.25,20.47,0.87,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4267,Lakes  & Tanks,Borewell IDA Kattedan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4260,Lakes  & Tanks,"Bore well near MSW Dump yard, Medak Town, Medak District",Medak,Sample not collected due to motor is under repair.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4277,Lakes  & Tanks,"B/W at ZPHS, Sulthanpur",Sangareddy,,6.97,3130,,25,0.26,,,,,,,3.1,24,440,464,42,36,,0.01,790,370,148,420,102,105,113,1909,1336.3,6,,0.25,0.5,7,0.31,31.69,1.77,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4278,Lakes  & Tanks,"B/W at Aurobindo, Hatnur, Sangareddy",Sangareddy,,7.04,1697,,10,0.21,,,,,,,2.8,20,325,291,32,18,,0.01,485,245,98,240,58,53,80,1040,728,7,,0.23,0.5,5,0.25,33.84,1.54,BDL,BDL,BDL,BDL,BDL,0.03,BDL,BDL
4279,Lakes  & Tanks,"B/W near M/s. Arch Pharma, Gundla machanur, Sangareddy",Sangareddy,,6.67,1215,,15,0.15,,,,,,,2.1,12,245,130,78,25,,0.01,300,210,84,90,22,40,30,777.6,544.32,10,,0.51,0.5,4,0.42,20.38,0.62,BDL,BDL,BDL,BDL,BDL,0.03,BDL,BDL
4280,Lakes  & Tanks,"Borewell near GWMC Dump Yard, IDA Rampur, Hanamkonda",Hanamkonda,_,7.25,10720,8,26.8,,Less than 1.8,240,Less than 1.8,,,,6,5,1455,1455,488,12.6,3.84,0.05,2836,1520,608,1316,320,1840,,6754,,10,1.86,,0.66,,1.16,,,,0.0,0.0,0.05,0.0,0.0,0.05,0.16
4266,Lakes  & Tanks,"Borewell, Near Primary School, Adloor Yellareddy (V), Sadashivanagar (M), Kamareddy Dist.",Kamareddy,,7.68,1392,,12,0.18,,,,,,,2.3,16,210,207,18,20,,0.01,420,225,90,195,47,80,32,890.88,623.62,4,,0.52,0.5,6,0.3,18.32,0.64,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4264,Lakes  & Tanks,"Bore well water point at ZP Girls high school, Bhudan Pochampally (V&M), Yadadri District.",Yadadri Bhuvanagiri,,8.31,2102,,25,0.21,,,,,,,2.4,32,480,261,20,38,,0.01,540,275,110,265,64,78,52,1345.28,941.7,6,,0.51,0.5,10,0.4,22.1,0.93,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4265,Lakes  & Tanks,"B/W at Gram panchayath office, Dothigudem",Yadadri Bhuvanagiri,,8.14,1230,,8,0.38,,,,,,,2.5,30,310,180,16,14,,0.01,370,200,80,170,41,71,48,787.2,551.04,7,,0.48,0.5,5,0.18,27.63,1.02,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4281,Lakes  & Tanks,"B/W near Bhimanpalli village (open land), Pochampally Mandal",Yadadri Bhuvanagiri,,7.84,2416,,26,0.22,,,,,,,2.6,32,480,450,24,40,,0.01,785,425,170,360,87,160,102,1546.24,1082.37,10,,0.51,0.5,16,0.21,26.89,1.46,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4282,Lakes  & Tanks,"B/W near Aarla bavi (Agricultural field), Pochampally Mandal",Yadadri Bhuvanagiri,,8.16,1202,,15,0.15,,,,,,,2.2,24,280,159,16,36,,0.01,320,175,70,145,35,65,55,769.28,538.5,15,,0.56,0.5,12,0.19,30.71,1.2,BDL,BDL,BDL,BDL,BDL,0.03,0.76,BDL
4283,Lakes  & Tanks,"B/W near Dantur (Open land), Pochampally Mandal",Yadadri Bhuvanagiri,,7.87,2344,,16,0.16,,,,,,,3.1,40,400,358,24,30,,0.01,720,410,164,310,75,120,58,1500.16,1050.11,12,,0.61,0.5,15,0.35,18.16,0.85,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4284,Lakes  & Tanks,"B/W near malkapur lake, malkapur village (Agricultural field), Choutuppal Mandal",Yadadri Bhuvanagiri,,7.78,1893,,16,0.11,,,,,,,3.2,24,385,217,20,32,,0.01,500,260,104,240,58,110,49,1211.52,848.06,8,,0.31,0.5,16,0.23,14.25,0.57,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4285,Lakes  & Tanks,"B/W near peddakondur village (Agricultural field), Choutuppal Mandal",Yadadri Bhuvanagiri,,7.56,2422,,13,0.27,,,,,,,2.7,28,330,339,24,26,,0.01,660,325,130,335,81,96,60,1550.08,1085.06,13,,0.43,0.5,15,0.31,20.99,0.98,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4286,Lakes  & Tanks,"B/W near Ankireddigudem village (Agricultural field), Choutuppal Mandal",Yadadri Bhuvanagiri,,7.53,2706,,25,0.29,,,,,,,3.1,40,555,320,60,39,,0.01,710,300,120,410,100,158,85,1731.84,1212.29,11,,0.52,0.5,19,0.3,26.71,1.42,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4287,Lakes  & Tanks,"B/W near Lingareddygudem village (Beside choutuppal-valigonda road), Choutuppal Mandal",Yadadri Bhuvanagiri,,8.01,1240,,20,0.18,,,,,,,3.2,24,240,171,36,38,,0.01,400,255,110,145,35,95,30,793.6,555.52,6,,0.52,0.5,9,0.31,15.44,0.54,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4288,Lakes  & Tanks,"B/W near Nagaram cheruvu, Devalamma nagaram village",Yadadri Bhuvanagiri,,8.56,1517,,10,0.24,,,,,,,2,20,350,280,32,20,,0.01,605,400,160,205,50,85,38,970.88,679.62,8,,0.47,0.5,8,0.24,20.9,0.88,BDL,BDL,BDL,BDL,BDL,0.02,BDL,BDL
4289,Lakes  & Tanks,"B/W near Pittam palle village (open land beside village road), Chityal Mandal",Nalgonda,,7.99,1114,,10,0.23,,,,,,,1.5,28,310,149,30,20,,0.01,375,190,76,185,45,68,31,712.96,499.07,7,,0.32,0.5,6,0.32,19.82,0.67,BDL,BDL,BDL,BDL,BDL,0.03,0.13,BDL
4290,Lakes  & Tanks,"B/W near Peddakaparthi village (open land beside village road), Chityal Mandal",Nalgonda,,8.03,2286,,24,0.2,,,,,,,1.6,20,320,274,24,38,,0.01,580,335,134,245,60,152,53,1463.04,1024.13,6,,0.48,0.5,12,0.29,19.97,0.86,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4268,Lakes  & Tanks,"A Borewell sample collected from Asbestos Colony, Gandhi Nagar, Balanagar",Medchal-Malkajgiri ,,7.23,1166,,,,,,,,,,0.67,8,300,122,16,,,,364,224,90,140,34,42,103,672,438,Less than 5,,0.44,,2.95,,37.7,2.3,,,,,,,,
4269,Lakes  & Tanks,"A Borewell sample collected from Residence of Sri Shiva, Plot No.21-225 (LIG-95), Opp. Children Park, APIIC Colony, Jeedimetla, Quthubullapur (M),",Medchal-Malkajgiri ,,7.25,2492,,,,,,,,,,0.48,NIL,476,325,45,,,,680,480,192,200,49,210,250,1438,1221,Less than 5,,0.02,,1,,44,4.2,,,,,,,,
4270,Lakes  & Tanks,"Borewell sample collected from Residence of Sri Anjaneyulu, Plot No.25 (Hanuman Engineering), Shakthipuram, Prashanth Nagar, I.E., Kukatpally, Medchal-Malkajgiri Dist",Medchal-Malkajgiri ,,7.18,2269,,,,,,,,,,0.59,32,548,251,40,,,,520,260,104,260,63,118,292,1194,1057,Less than 5,,BDL,,2,,55,5.6,,,,,,,,
4271,Lakes  & Tanks,"A Broewell sample collected from Govt Primary School, Adjacent to Gram Panchayath, Dhulapally (V)",Medchal-Malkajgiri ,,7.13,1730,,,,,,,,,,0.32,12,444,195,39,,,,612,260,104,352,86,23,114,1031,638,34,,BDL,,1.91,,28.5,2,,,,,,,,
4272,Lakes  & Tanks,"A Borewell sample collected Near water tank at Rajiv Gruha Kalpa, Ahmedguda, Ambedkar Nagar, Kapra",Medchal-Malkajgiri ,,7.33,736,,,,,,,,,,0.33,4,244,57,81,,,,276,204,82,72,17,BDL,16,440,318,Less than 5,,BDL,,0.83,,11.2,0.4,,,,,,,,
4273,Lakes  & Tanks,"A Borewell sample collected at Dundigal Thanda, Dundigal (V)",Medchal-Malkajgiri ,,7,2530,,,,,,,,,,0.23,8,460,431,74,,,,764,428,171,336,82,61,157,1364,1020,Less than 5,,BDL,,1.74,,30.7,2.5,,,,,,,,
4274,Lakes  & Tanks,"A periphery of IDA Jeedimetla, Borewell sample collected from Near Sai Nilayam, Apuroopa Colony, Jeedimetla,",Medchal-Malkajgiri ,,7.09,1320,,,,,,,,,,0.34,NIL,408,108,12,,,,420,280,112,140,34,42,102,716,642,Less than 5,,0.02,,0.98,,34,,,,,,,,,
4275,Lakes  & Tanks,"A Periphery of IDA Balanagar, Borewell sample collected from M/s.Keerthi Industries",Medchal-Malkajgiri ,,6.99,2474,,,,,,,,,,0.52,40,488,290,26,,,,510,27,108,240,58,251,328,1379,1179,Less than 5,,BDL,,1,,58,6.3,,,,,,,,
