Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4244,Lakes  & Tanks,"Erdhanoor Tank, Erdhanoor (V), Patancheru (M), Sangareddy District",Sangareddy,7,7.45,1958,5,29,0.18,4,41,2,5.5,0.54,,4.6,20,280,323,56,40,,BDL,655,360,145,295,72,86,32,1175,822.5,8,,0.12,BDL,10,0.17,12.29,0.5,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4245,Lakes  & Tanks,"Mallepally Tank, Mallepally (V), Kondapur (M), Sangareddy District",Sangareddy,6.6,7.43,2302,5.1,20,0.11,2,33,1.8,4.7,0.43,,4.8,32,435,285,54,36,,BDL,635,350,140,285,70,98,46,1381,966.7,8,,0.19,BDL,4,0.4,17.98,0.75,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4247,Lakes  & Tanks,"Mucharla Nagaram cheruvu, Nagaram (V), Hasanparthy (M), Hanumakonda , Warangal",Warangal Urban,3.7,7..95,764,2.8,3.4,,11,350,4,,,,9.2,5,210,76,48,7,1.06,,220,130,52,90,21.87,42,,450,,18,0.83,,0.5,,0.79,,,,0.0,0.0,0.03,0.0,0.03,0.03,0.19
4248,Lakes  & Tanks,"Koti Cheruvu, Mulugu Road, Warangal, Warangal District",Warangal Urban,1.8,8.35,895,5.2,3.8,,4,350,2,,,,7.2,25,195,123,76,4.2,0.68,,230,120,48,110,26.73,76,,554,,16,1.26,,0.5,,0.73,,,,0.0,0.0,0.03,0.02,0.03,0.04,0.6
4229,Lakes  & Tanks,"Neknampur Lake, Neknampur, Ibrahimbagh, Rajendranagar (M),Rangareddy District",RR-shamshabad,0.3,7.1,1449,8,4.4,,12,430,4,,,,9,5,210,216,148,7,1.43,,316,202,80.8,114,27.7,128,,883,,16,3.05,,0.5,,0.67,,,,0.0,0.0,0.04,0.01,0.04,0.04,0.07
4249,Lakes  & Tanks,"Rangasamudram, Ursu (V), Khila Warangal (M), Warangal District",Warangal Urban,1.3,7.65,1151,4,3.9,,10,350,4,,,,12,5,255,157,60,5.6,1.28,,278,155,62,123,29.89,98,,714,,20,0.93,,0.5,,0.65,,,,0.0,0.0,0.02,0.0,0.03,0.03,0.06
4661,Lakes  & Tanks,"Peddakanjarla Tank, Peddakanjarla (V), Patancheru (M), Sangareddy District.",Sangareddy,6.8,6.96,402,3.6,9,0.08,Less than 1.8,15,Less than 1.8,5,0.53,,3.9,16,100,46,40,18,,BDL,145,95,38,50,12,26,9,241,168.7,4,,B DL,BDL,3,0.23,13.7,0.27,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4666,Lakes  & Tanks,"Ismailkhanpet Tank, Ismailkhanpet (V), Sangareddy (M & District)",Sangareddy,6.9,7.84,1269,5,16,0.08,2,24,1.8,6,0.54,,4.1,20,215,132,56,24,,BDL,325,225,90,100,24,45,14,761,532.7,7,,BDL,BDL,5.2,0.42,9.89,0.28,BDL,BDL,BDL,BDL,BDL,BDL,BDL,BDL
4670,Lakes  & Tanks,"Bairamalguda Cheruvu, Saroornagar, Rangareddy District",Rangareddy,3.4,7.25,1380,3,3.8,,24,540,8.2,,,,12,5,305,152,60,8.4,2.08,,340,180,72,160,38.88,95,,872,,20,2.48,,0.5,,1.02,,,,0.0,0.0,0.02,0.01,0.03,0.03,0.16
4675,Lakes  & Tanks,"Lotus pond, Hakimpet (V), Shaik pet (M), Hyderabad (D)",Hyderabad,4,7.59,695,2.8,3.1,,10,350,4,,,,4,5,160,110,40,5.6,1.74,,176,98,39.2,78,18.95,65,,430,,10,0.96,,0.5,,0.66,,,,0.0,0.0,0.03,0.0,0.02,0.04,0.15
