Station code,water_bodies,Station name,District,RO,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4229,Lakes & Tanks ,Neknampur Lake,RR-shamshabad,Ranga Reddy-I,0.3,7.93,1546,8,10.08,,33,540,2,,,,14,10,430,194,83,5.6,1.41,0.07,455,110.4,43.5,76,,863,,21,2.88,,0.1,,1.16,,
4249,Lakes & Tanks ,"Rangasamudram, Warangal",Warangal Urban,Warangal,3,7.47,736,2.1,4.8,,9,430,4,,,,8.8,6,230,108,24,5,0.1,0.01,240,60.8,21.38,58,,412,,12,0.18,,0.1,,0.69,16.7,
4661,Lakes & Tanks ,Peddakanjarla Tank,Sangareddy,Sangareddy,6.1,6.97,302,2.1,3,0.1,1.8,14,Less than  1.8,,,,5,8,60,34,14,5,0.1,0.01,94,18,12,6,9,170,118,7,,0.1,0.1,2,0.55,15.43,0.4
4666,Lakes & Tanks ,Ismailkhanpet Tank,Sangareddy,Sangareddy,6,6.82,781,2.6,6,0.1,3.6,20,1.8,,,,13,14,136,64,36,6.72,0.5,0.01,199,40,24,7,17,440,314,14,,0.11,0.1,2,0.51,,0.52
4670,Lakes & Tanks ,"Bairamalaguda Cheruvu, Medchal-Malkajigiri District.",Rangareddy,Ranga Reddy-I,3.4,7.74,983,4,5.2,,33,430,Less than 1.8,,,,9.2,5,240,90,36,5,0.44,0.01,265,64.8,25.03,54,,572,,12,1.08,,0.1,,0.56,,
4675,Lakes & Tanks ,"Lotus pond, Hakimpet (V), Shaik pet (new mandal)",Hyderabad,hyderabad,3,8.44,652,2.8,10.8,,39,430,11,,,,12.4,12,170,42,23,5,0.4,0.05,195,47.2,18.71,26,,401,,17,0.58,,0.1,,0.63,,
4680,Lakes & Tanks ,Laknavaram lake,Mulugu,Warangal,6.2,7.76,135,2.1,0.22,,Less than 1.8,27,Less than 1.8,,,,6.8,8,25,22,10,5,0.1,0.01,52,13.2,4.62,14,,82,,13,0.1,,0.1,,0.16,,
4681,Lakes & Tanks ,Pakala lake Narsampet,Warangal Rural,Warangal,6.2,7.87,165,2.1,0.22,,Less than 1.8,27,Less than 1.8,,,,6.8,5,35,27,10,5,0.1,0.01,52,13.2,4.62,14,,102,,11,0.1,,0.1,,0.19,,
4682,Lakes & Tanks ,Bandham Cheruvu,Warangal,Warangal,1.4,8.45,1180,3.8,21,,11,430,2,,,,9.2,15,345,124,40,5,0.51,0.07,345,82,34,74,,669,,18,0.36,,0.1,,0.36,17.11,
4688,Lakes & Tanks ,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,Sangareddy,6,7.42,539,2.4,4,0.1,9.1,24,5.5,,,,10,12,124,74,26,5.04,0.1,0.01,194,38,24,8,19,305,214,8,,0.16,0.1,4,0.32,,0.59
