Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3073,Lakes  & Tanks,"Hasmathpet lake, Hasmathpet",Medchal Malkajgiri,0.3,7.66,1034,6.4,2.8,,17,430,3.6,,,,6,5,255,103,78,5.6,2.12,0.07,265,135,54,130,31.59,68,,642,,17,3.24,,0.5,,0.98,,
3072,Lakes  & Tanks,"Safilguda lake, Medchal",Medchal Malkajgiri,0.3,7.59,1484,8,3.2,,15,540,2,,,,11,5,340,164,101,7,0.96,0.03,360,185,74,175,42.52,107,,906,,26,2.98,,0.5,,0.94,,
3075,Lakes  & Tanks,"Rangadhamini Kunta, Kukatpally(V&M), Medchal - Malkajgiri (D)",Medchal Malkajgiri,1.2,8.07,1421,5.4,3.4,,21,430,3.6,,,,10,5,315,172,55,5.6,1.08,0.07,335,160,64,175,42.52,110,,852,,18,2.76,,0.5,,0.89,,
3076,Lakes  & Tanks,"Amber cheruvu, Kukatpally (V & M), Medchal- malkajigiri",Medchal Malkajgiri,0.3,7.93,1052,6.2,2.9,,24,540,4,,,,9,5,255,115,63,9.8,3.16,0.14,270,135,54,135,32.8,71,,654,,21,2.68,,0.65,,0.94,,
3077,Lakes  & Tanks,"Kapra cheruvu, Kapra (V), Keesara (M)",Medchal Malkajgiri,2.6,7.68,896,3.4,2.6,,4,350,Less than 1.8,,,,8,5,200,99,31,4.2,0.58,0.02,202,125,50,77,18.71,78,,536,,14,1.08,,0.5,,0.72,,
2357,Lakes  & Tanks,"Durgam cheruvu , Raidurg (V), Serilingampally (M), Rangareddy (D)",RR-shamshabad,1.8,8.07,793,5.6,2.5,,4,350,2,,,,2.6,5,170,92,51,4.2,0.51,0.04,185,105,42,80,19.44,66,,482,,28,1.82,,0.5,,0.96,,
2344,Lakes  & Tanks,"Nalla cheruvu, Uppal (V & M), Medchal District",Medchal Malkajgiri,0.3,8.03,1598,8.6,3.4,,17,920,6,,,,10,5,380,190,82,9.8,3.58,0.23,410,200,80,210,51.03,102,,1006,,22,3.19,,0.5,,0.94,,
2359,Lakes  & Tanks,"Pedda Cheruvu, Nacharam (V), Uppal (M), Medchal District",Medchal Malkajgiri,0.3,7.51,1459,8,3.8,,24,430,6.1,,,,13,5,360,149,86,8.4,1.28,0.03,375,180,72,195,47.38,104,,904,,32,3.48,,0.5,,0.86,,
2342,Lakes  & Tanks,"Noor Md. Kunta, Shamshabad",RR-shamshabad,0.3,7.78,1381,10,3.6,,9.3,430,5.6,,,,14.8,5,320,144,137,8.4,3.24,0.12,342,140,56,202,49.09,90,,828,,38,3.64,,0.5,,1.12,,
3070,Lakes  & Tanks,"Fox sagar, Jeedimetla (V), Qutubullapur (M), Medchal Malkajgiri (D)",Medchal Malkajgiri,1.6,8.08,1048,5.8,2.7,,9.2,430,2,,,,7.4,5,220,134,55,5.6,0.64,0.04,260,145,58,115,27.95,88,,660,,12,1.82,,0.5,,0.94,,
