Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,7.08,1022,6,8,,47,540,3.7,,,,32,5,288,102,75,6.8,2.9,,388,96.8,242,35.48,146,92,#,640,,44,3.1,,0.66,#,1.22,###,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,7.06,1442,10,10,,58,920,5.5,,,,40,5,316,167,152,6.2,3.6,,380,94.4,236,34.99,144,92,#,956,,36,2.94,,0.56,#,0.96,,
4657,River Musi,River Musi at Pillapalli,Rangareddy-I,1.8,7.13,998,5.8,11,,23,540,6.1,,,,46,5,172,169,95,7.6,3.4,,206,51.2,128,18.95,78,110,#,563,,33,3.44,,0.61,#,1.14,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,5.9,7.08,1670,3.2,23,0.15,8.1,79,6,,,,4.6,44,280,199,44,38,,BDL,385,110,275,52,215,98,38,1018.7,713.09,8,,0.11,BDL,6.2,0.11,18.36,0.69
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.1,7.11,1652,4,22,0.16,9.3,84,6.1,,,,6.8,36,260,192,42,44,,BDL,392,112,280,41,170,98,33,1007.72,705.4,12,,0.15,BDL,14,0.2,15.51,0.58
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.5,7.76,1712,4.1,23,0.08,8.3,63,5.6,,,,6.9,32,220,251,48,36,,BDL,462,132,330,52,215,90,35,1044.32,731.02,10,,0.13,BDL,6.2,0.17,15.27,0.58
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,5.6,8.35,2245,3.5,26,0.23,5.5,40,3.6,,,,3.7,32,275,274,44,40,,BDL,420,120,300,60,245,118,48,1369.45,958.62,12,,0.11,BDL,5.5,0.21,20.7,0.84
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.1,8.04,1162,2.7,14,0.11,7.8,41,5.6,,,,3.3,24,190,142,32,22,,BDL,259,74,185,32,130,75,29,708.82,496.17,6,,0.1,BDL,4.9,0.32,20.38,0.64
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),Warangal Rural,6.1,7.97,422,1.8,0.5,,Less than 1.8,26,Less than 1.8,,,,5,5,116,54,38,1.5,0.4,,136,34,85,12.39,51,29,#,266,,10,0.2,,0.5,#,0.2,,
1215,Lakes & Tanks ,Madannapet Lake,Shamshabad,6,7.34,522,1.8,1.86,,Less than 1.8,46,Less than 1.8,,,,4,5,120,56,26,1.5,0.4,,142,34,85,13.85,57,38,#,330,,12,0.86,,0.5,#,0.96,,
1780,Lakes & Tanks ,Gandigudem Tank,Sangareddy,5.4,7.26,1925,6.7,34,0.14,6,84,4.5,,,,9.8,40,260,274,76,72,,BDL,434,124,310,35,145,70,98,1174.25,833.72,18,,0.17,BDL,4.6,0.52,36.3,1.69
2358,Lakes & Tanks ,Mallapur tank,Medchal Malkajgiri,Dreid up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,Lakes & Tanks ,Asani Kunta,Sangareddy,NIL,6.65,4750,46,45,0.24,9.3,150,6,,,,46.9,52,610,992,480,68,,BDL,1106,316,790,150,615,90,120,2897.5,2057.22,80,,0.28,0.33,35,0.45,18.79,1.26
1783,Lakes & Tanks ,Kistareddypet Tank,Sangareddy,Sample was not collected due to dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,Lakes & Tanks ,Khazipally Tank,Sangareddy,Sample was not collected due to dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
