Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron,
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),6.1,8.1,539,1.8,,,Less than 1.8,63,Less than 1.8,,,,2.2,10,195,49,37,1.5,0.4,,210,44,110,24.3,100,24,,320,190,24,1.06,,0.5,,0.46,,,,0.02,0.03,0.15,0.03,0.1,0.01,0.11,
2358,Lakes & Tanks,Mallapur tank,0.3,8.01,5520,16,,,70,920,4,,,,26,5,980,942,492,5.6,4.8,,1015,232,580,105.7,435,520,,3312,1980,36,4.58,,0.65,,1.28,,,,0.02,0.03,0.05,0.06,0.0,0.07,1.01,
1789,Lakes & Tanks,Himayathsagar lake,6,8,614,1.8,,,Less than 1.8,58,Less than 1.8,,,,2.8,20,210,78,41,1.5,0.4,,225,46,115,26.73,110,46,,368,220,32,0.99,,0.5,,0.55,,,,0.02,0.03,0.03,0.05,0.1,0.01,0.18,
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",4.8,7.6,673,3.8,,,Less than 1.8,70,Less than 1.8,,,,3.4,20,185,108,57,1.5,0.4,,200,42,105,23.09,95,58,,400,240,24,0.96,,0.5,,0.29,,,,0.02,0.03,0.1,0.03,0.1,0.06,0.4,
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",0.3,7.78,1326,12,,,32,430,4,,,,11.6,5,265,168,160,2.8,1.4,,280,60,150,31.59,130,96,,796,470,28,2.86,,0.5,,0.59,,,,0.02,0.03,0.02,0.03,0.1,0.05,0.14,
2340,Lakes & Tanks,Lakshminarayana cheruvu,1.6,7.88,1811,5.8,,,47,350,3.7,,,,24,5,365,294,66,2.8,1.4,,385,72,180,49.81,205,186,,1086,650,36,3.2,,0.5,,0.61,,,,0.02,0.03,0.02,0.03,0.1,0.05,0.09,
4229,Lakes & Tanks,Neknampur Lake,0.3,7.48,1854,8,,,34,920,14,,,,26,5,570,180,87,8.4,5.12,,585,146,365,53.46,220,100,,1168,800,22,2.84,,0.6,,1.28,,,,0.02,0.03,0.1,0.08,0.1,0.12,0.18,
1780,Lakes & Tanks,Gandigudem Tank,5.4,8.24,2123,4.9,52,0.24,6,79,3.7,5.6,0.55,,11.9,42,470,258,80,8,BDL,BDL,720,425,170,295,72,88,108,1167.65,829.03,25,,0.26,BDL,9.3,0.15,24.16,1.6,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.09,
2347,Lakes & Tanks,Asani Kunta,NIL,7.19,6140,44,110,0.52,10,170,13,NIL,NIL,,62,78,700,1274,486,49,12,BDl,2000,1050,420,950,230,220,195,3377.0,2397.67,72,,0.39,0.52,85,0.42,16.68,1.8,BDL,BDL,BDL,0.06,BDL,0.17,0.21,2.06,
1783,Lakes & Tanks,Kistareddypet Tank,6.7,7.35,1503,4.1,43,0.2,8.3,32,5.7,6.5,0.67,,8,40,290,211,50,10,3,BDL,480,280,112,200,49,85,108,826.65,586.92,12,,0.19,BDL,6.8,BDL,32.27,1.97,BDL,BDL,BDL,BDL,BDL,BDL,BDL,0.15,
2348,Lakes & Tanks,Khazipally Tank,Dry in Condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Lakes & Tanks,Madannapet Lake,6,8,405,1.8,,,Less than 1.8,32,Less than 1.8,,,,9,5,120,31,32,1.5,0.4,,120,31.2,78,10.21,42,25,,258,180,10,0.41,,0.5,,0.69,,,,0.02,0.03,0.06,0.05,0.1,0.53,1.42,
3068,Lakes & Tanks,Ramappa lake,6.1,7.8,479,2,,,Less than 1.8,39,Less than 1.8,,,,5,5,160,38,32,1.5,0.4,,138,30.4,76,15.07,62,31,,290,210,10,0.45,,0.5,,0.62,,,,0.02,0.03,0.08,0.03,0.1,0.17,0.49,
1447,Lakes & Tanks,Dharmasagar tank,6.2,8.18,488,1,,,Less than 1.8,24,Less than 1.8,,,,10,5,115,56,8,1.5,0.4,,125,30,75,12.15,50,34,,292,190,10,0.53,,0.5,,0.63,,,,0.02,0.03,0.05,0.05,0.1,0.01,0.3,
2346,Lakes & Tanks,Bhadrakali cheruv,4.9,7.9,689,2,,,Less than 1.8,36,Less than 1.8,,,,10,5,188,66,32,1.5,0.4,,172,35.2,88,20.41,84,44,,434,300,12,0.49,,0.5,,0.87,,,,0.02,0.03,0.07,0.05,0.1,0.11,0.2,
3084,Lakes & Tanks,"Waddepally tank, Kazipet",5.8,7.7,656,1.8,,,Less than 1.8,220,Less than 1.8,,,,10,5,170,93,20,1.5,0.4,,180,44,110,17.01,70,54,,402,270,10,0.68,,0.5,,0.85,,,,0.02,0.03,0.05,0.06,0.1,0.07,0.07,
3085,Lakes & Tanks,Chinnawaddepally tank,0.3,8,1432,8,,,17,350,3.6,,,,18,5,380,200,89,6.72,2.49,,382,84.8,212,41.31,170,38,,902,640,28,2.68,,0.5,,1.47,,,,0.02,0.03,0.61,0.05,0.01,0.21,0.26,
2345,Lakes & Tanks,Sai Cheruvu,0.3,7.56,5420,16,,,21,540,11,,,,22,5,384,1346,189,5.6,2.86,,520,104,260,63.18,260,182,,3468,2500,36,1.89,,0.5,,1.94,,,,0.04,0.0,0.05,0.52,0.2,0.58,1.44,
4247,Lakes & Tanks,"Mucharla Nagaram cheruvu, Warangal",3.8,7.9,996,3,,,17,140,Less than 1.8,,,,8,5,220,110,40,1.5,0.4,,235,59.2,148,21.14,87,72,,620,440,18,1.85,,0.5,,1.25,,,,0.02,0.03,0.07,0.06,0.1,0.01,0.22,
4248,Lakes & Tanks,"Koti Cheruvu, Hanamkonda, Warangal",3.8,8.1,996,3,,,17,140,Less than 1.8,,,,8,5,220,110,40,1.5,0.4,,228,59.2,148,19.44,80,72,,620,440,18,1.85,,0.5,,1.25,,,,0.02,0.03,0.08,0.05,0.1,0.19,0.19,
4249,Lakes & Tanks,"Rangasamudram, Warangal",Dried Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4680,Lakes & Tanks,Laknavaram lake,6.2,8.01,169,1.8,,,Less than 1.8,21,Less than 1.8,,,,5,5,45,20,20,1.5,0.4,,50,10.4,26,5.83,24,12,,106,78,10,0.25,,0.5,,0.29,,,,0.02,0.0,0.05,0.03,0.1,0.18,0.55,
4681,Lakes & Tanks,Pakala lake Narsampet,6.1,7.6,360,1.8,,,Less than 1.8,21,Less than 1.8,,,,8,5,100,36,28,1.5,0.4,,102,23.2,58,10.69,44,20,,219,134,10,0.33,,0.5,,0.2,,,,0.02,0.03,0.11,0.03,0.1,0.25,0.23,
4682,Lakes & Tanks,Bandham Cheruvu,1.8,7.2,1748,4.8,,,11,430,2,,,,18,5,515,165,56,2.8,0.56,,530,132,330,48.6,200,78,,1108,740,11,2.08,,0.5,,1.08,,,,0.02,0.03,0.1,0.05,0.1,0.06,0.12,
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",4.9,7.38,864,2,,,17,350,2,,,,12,5,220,113,48,1.5,0.4,,230,58,145,20.66,85,68,,536,360,16,1.42,,0.5,,0.88,,,,0.02,0.03,0.05,0.05,0.1,0.05,0.07,
4243,Lakes & Tanks,"Isnapur Tank,/Pashamailaram",4.3,7.07,7670,32,95,0.46,8.2,79,4,4.5,0.47,,16,52,810,1328,658,50,14,BDL,2375,1450,580,925,225,333,320,4218.5,2995.13,45,,0.38,BDL,21.6,0.41,22.36,2.57,BDL,BDL,BDL,BDL,BDL,BDL,0.07,0.19,
