Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4680,Lakes & Tanks,Laknavaram lake,Mulugu,6.3,7.48,119,1,0.9,,Less than 1.8,22,Less than 1.8,,,,6,5,25,18,5,1.5,0.4,,30,15,6,15,3.65,11,,74,40,10,0.26,,0.5,,0.45,#,#
4681,Lakes & Tanks,Pakala lake Narsampet,Warangal Rural,6.3,8.34,387,1,0.9,,Less than 1.8,49,Less than 1.8,,,,6,8,80,54,8,1.5,0.4,,90,60,24,30,7.29,36,,244,140,10,0.86,,0.5,,0.66,#,#
4682,Lakes & Tanks,Bandham Cheruvu,Warangal,2.3,7.13,754,4.2,2.32,,Less than 1.8,430,Less than 1.8,,,,12,5,150,96,56,4.48,1.12,,170,95,38,75,18.22,64,,468,220,22,2.32,,0.5,,0.88,#,#
4683,Lakes & Tanks,"Pedda cheruvu, Madikonda",Warangal,6,7.59,685,1,2.1,,11,280,2,,,,17,5,160,76,16,5.6,1.12,,170,80,32,90,21.87,46,,431,280,16,0.42,,0.5,,0.55,#,#
4243,Lakes & Tanks,"Isnapur Tank,/Pashamailaram",Sangareddy,4.6,6.66,3985,14,64,0.35,6.8,63,4.5,,,,7.9,20,704,929,110,24,6,BDL,1388,810,324,578,140,188,244,2705,1912,19,,0.45,BDL,19,0.45,27.36,2.85
4302,Lakes & Tanks,Rudraram Tank,Sangareddy,6.4,6.73,2012,4.6,30,0.25,5.5,34,3.6,,,,7.2,28,290,340,54,8,BDL,BDL,548,300,120,248,60,87,160,1210,720,8,,0.26,BDL,8,0.4,38.48,2.98
4240,Lakes & Tanks,"Muthangi Tank,",Sangareddy,6.2,6.51,1278,4,40,0.15,6.8,38,5.6,,,,8,32,244,190,40,10,BDL,BDL,304,150,60,154,37,42,80,770,460,12,,0.3,BDL,12,BDL,35.43,2.0
4241,Lakes & Tanks,"Chitkul Tank,",Sangareddy,6.8,6.34,1280,4.9,40,0.24,4.5,47,3.5,,,,9,20,160,312,51,8,BDL,BDL,388,197.5,79,190.5,46,58,118,792,590,14,,0.21,BDL,9,BDL,39.22,2.61
4242,Lakes & Tanks,"Lakadaram Cheruvu,",Sangareddy,6,6.61,1108,7.4,50,0.22,6,38,3.7,,,,7.6,24,200,240,62,10,BDL,BDL,340,175,70,165,40,52,92,670,400,9.4,,0.25,BDL,9.4,0.26,36.3,2.17
4238,Lakes & Tanks,"Ameenpur Cheruvu,",Sangareddy,6.5,7.12,1218,3,17,0.24,6,47,4,,,,6.8,24,290,150,26,6,BDL,BDL,432,240,96,192,47,40,50,740,440,4,,0.22,BDL,4,0.28,19.89,1.05
4239,Lakes & Tanks,"Mahaboobsagar Tank,",Sangareddy,6.2,7.3,1188,3.3,36,0.14,4,41,2,,,,5.6,18,280,160,34,8,BDL,BDL,372,200,80,172,42,50,84,720,430,9.2,,0.2,BDL,9.2,0.21,32.23,1.89
4244,Lakes & Tanks,"Erdanoor Tank,",Sangareddy,6.6,7.07,1808,4,30,0.3,4,33,2,,,,7,20,184,300,44,5,BDL,BDL,540,360,144,180,44,62,70,1070,640,6,,0.16,BDL,6,0.18,21.73,1.31
4245,Lakes & Tanks,"Mallepally Tank,",Sangareddy,6,6.54,1560,4.1,50,0.18,3.6,26,2,,,,5.2,16,144,380,52,6,BDL,BDL,424,240,96,184,45,100,180,1030,620,10,,0.18,BDL,10,0.25,47.23,3.8
4661,Lakes & Tanks,Peddakanjarla Tank,Sangareddy,6.7,6.38,474,2.6,20,0.07,2,22,Less than 1.8,,,,2.3,18,100,80,20,7,BDL,BDL,188,100,40,88,21,26,24,300,180,6.2,,0.1,BDL,6.2,0.1,21.19,0.76
4666,Lakes & Tanks,Ismailkhanpet Tank,Sangareddy,6,6.7,1710,5,32,0.15,3.6,31,2,,,,4,12,200,240,50,4,BDL,BDL,364,220,88,144,35,50,70,1100,660,7.8,,0.11,BDL,7.8,0.3,28.95,1.6
4688,Lakes & Tanks,"Narinja River, Kothur - B (V), Zaheerabad",Sangareddy,6.5,7.16,770,3.1,30,0.1,3.6,31,1.8,,,,3.6,16,150,144,32,5,BDL,BDL,276,140,56,136,33,36,50,490,290,8,,0.1,BDL,8,0.38,27.58,1.31
4234,Lakes & Tanks,"Umda sagar lake, Shamshabad",RR-shamshabad,4.6,7.29,1486,4.2,8.2,,49,540,6.8,,,,18,5,275,192,68,9.52,4.48,,300,145,58,155,37.66,122,,922,580,21,2.08,,0.5,,1.01,#,#
4235,Lakes & Tanks,Lake Kamuni (Shamshabad Lake),RR-shamshabad,2,7.33,1267,5.6,19.5,,47,430,4.5,,,,12,5,230,164,73,11.2,4.48,,245,150,60,95,23.09,96,,786,480,28,2.16,,0.5,,1.14,#,#
5133,Lakes & Tanks,"Chandana Cheruvu, Jillelguda,",Rangareddy,0.3,7.02,1059,8,10,,17,350,2,,,,15,5,185,142,92,9.52,1.16,,190,85,34,105,25.52,88,,667,420,20,2.42,,0.5,,1.2,#,#
5134,Lakes & Tanks,"Manthrala Cheruvu, Meerpet",Rangareddy,4.8,6.98,790,2.4,6.4,,22,430,2,,,,14,5,150,106,68,6.16,3.92,,160,85,34,75,18.22,62,,498,320,24,2.1,,0.5,,1.09,#,#
4222,Lakes & Tanks,"Koneru, Kondagattu temple, Jagitiyal",Jagityal,5.8,7.2,528,2.2,1.3,,Less than 1.8,40,Less than 1.8,,,,14,5,100,72,44,1.5,0.4,,115,75,30,40,9.72,46,,327,200,10,0.45,,0.5,,0.63,#,#
4223,Lakes & Tanks,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,5.6,6.86,781,2.4,1.6,,Less than 1.8,58,Less than 1.8,,,,16,5,150,98,48,1.5,0.4,,180,95,38,85,20.66,66,,476,300,10,0.56,,0.5,,1.01,#,#
1464,Lakes & Tanks,Bibinagar Tank,Yadadri Bhuvanagiri,6.4,7.9,1210,3,32,0.2,3.6,38,2,,,,6,20,210,200,30,3,BDL,BDL,444,240,96,204,50,68,62,730,440,3,,0.2,BDL,3,0.3,23.1,1.28
4224,Lakes & Tanks,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Yadadri Bhuvangiri,Under Constructuion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks,Kistaipally Cheruvu,Sangareddy,5.8,7.07,2506,8,34,0.28,6,63,4.5,,,,10.4,28,450,520,120,10,BDL,BDL,896,500,200,396,96,90,200,1553,930,14,,0.25,BDL,14,0.28,32.3,2.91
4231,Lakes & Tanks,"Rayam Cheruvu,",Sangareddy,6.4,6.95,1423,4,10,0.16,4,38,3.7,,,,6.5,24,208,304,44,8,BDL,BDL,492,280,112,212,51,70,86,860,520,8,,0.22,BDL,8,0.4,27.25,1.69
4232,Lakes & Tanks,"Komati Cheruvu,",Siddipet,6.9,7.12,510,2.3,18,0.17,2,20,Less than 1.8,,,,4,12,100,80,24,4,BDL,BDL,164,100,40,64,15,60,40,340,200,8.2,,0.1,BDL,8.2,0.22,33.58,1.37
