Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
3074,Lakes & Tanks ,Banjara Lake,Hyderabad,3.2,6.71,513,2.8,2.74,,4,280,1.8,,,,6.8,5,105,76,32,1.5,0.4,,110,60,0,50,26.73,52,,320,,10,1.16,,0.5,,0.86,,
4224,Lakes & Tanks ,"Yadadri temple- Koneru, Yadadrigutta (V&M), Yadadri bhuvanagiri(D)",Note:- Station Code  - 4224 - Koneru of Yadagiri Gutta Temple water sample could not be collected due to Koneru is under construction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4236,Lakes & Tanks ,Pedda Cheruvu (Nacharam),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Lakes & Tanks ,Saki Tank,Sangareddy,6.3,7.81,826,3,25,0.1,6,41,5.6,,,,4.1,16,170,131,35,12,,,260,150,110,60,26,34,28,512.12,358.48,7,,0.13,BDL,7.6,0.37,18.51,0.69
4237,Lakes & Tanks ,Mundla Katwa Lake,Medchal Malkajgiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4667,Lakes & Tanks ,"Surram Cheruvu (Palle Cheruvu), Bandlaguda (V), Bandlaguda (new mandal)",Hyderabad,0.3,7.63,1498,6,8,,17,280,6,,,,16,5,258,230,58,13,2.8,,352,224,0,128,85.54,116,,928,,18,1.62,,0.54,,1.16,,
4668,Lakes & Tanks ,"Chinnarayan Cheruvu, Alwal (V)",Medchal Malkajgiri,"Not collected,due to no access",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4669,Lakes & Tanks ,"Pedda Cheruvu, Gangaram (V), Serilingarampally (New Mandal)",Rangareddy,0.3,6.87,717,6,5.8,,14,220,6,,,,8,5,128,112,72,8.4,2.2,,186,118,0,68,45.2,70,,444,,12,2.44,,0.5,,0.82,,
4671,Lakes & Tanks ,"Medi Kunta, Guttala begumpet (V)",Rangareddy,3,6.96,624,2.9,1.96,,2,240,Less than 1.8,,,,7.3,5,125,82,38,1.5,0.4,,135,75,0,60,32.8,58,,386,,10,2.06,,0.5,,0.82,,
4672,Lakes & Tanks ,"Medi Kunta (Wipro Lake), Nanakramguda",Rangareddy,2.8,6.85,729,3,3.2,,11,350,Less than 1.8,,,,5.6,5,165,96,42,1.5,0.4,,180,95,0,85,43.74,62,,452,,10,2.8,,0.5,,0.87,,
4673,Lakes & Tanks ,Medikunta lake (BK Enclave),Rangareddy,2,7.05,750,4,3.2,,39,430,2,,,,10,5,160,112,48,4.2,2.8,,175,90,0,85,42.52,76,,456,,17,3.3,,0.5,,0.99,,
4674,Lakes & Tanks ,"Meedi Kunta, Hafeezpet (V), Serlingampally",Rangareddy,5.2,7.06,534,3.2,2.8,,12,350,Less than 1.8,,,,6.2,5,115,78,36,1.5,0.4,,120,65,0,55,29.16,56,,326,,10,2.6,,0.5,,0.93,,
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,2.3,8.19,1018,3.2,6.2,,26,430,6,,,,18,5,250,144,64,7.84,2.62,,266,160,0,106,64.64,52,,634,,22,2.13,,0.5,,0.97,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,6.98,914,6.2,8.6,,17,350,2,,,,10,5,186,116,73,6.72,3.14,,204,112,0,92,49.57,58,,560,,14,2.38,,0.5,,1.06,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,0.3,6.95,1137,10,9,,11,430,2,,,,24,5,194,180,114,5.6,2.8,,288,182,0,106,69.98,112,,728,,19,1.92,,0.5,,0.44,,
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,2.4,6.89,1621,5.2,5.12,,38,540,8.3,,,,17,5,360,230,43,5.6,0.84,,370,230,0,140,89.91,145,,1022,,16,2.98,,0.5,,1.06,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,2,7.71,618,5,3.8,,11,70,Less than 1.8,,,,9,5,164,69,69,2.24,0.58,,150,85,0,65,36.45,24,,390,,10,0.73,,0.5,,0.65,,
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,5.9,6.72,527,3.9,20,0.09,5.9,79,5.6,,,,3.9,16,135,83,24,8,,,185,105,80,42,19,21,15,326.74,228.72,7,,0.17,BDL,5.57,0.4,14.56,0.44
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,5.8,6.96,982,3.4,32,0.06,7.8,120,6.8,,,,3.2,28,200,126,26,12,,,295,205,90,82,22,62,35,608.84,426.19,8,,0.12,BDL,8.29,0.45,19.85,0.74
4686,Lakes & Tanks ,Icrisat Lake,Sangareddy,5.7,6.74,905,3.2,31,0.13,7.4,110,6.1,,,,3.4,24,240.0,107,40,7,,,260,160,100,64,24,40,28,561.1,392.77,8,,0.13,BDL,7.98,0.32,18.39,0.67
4687,Lakes & Tanks ,Red Lake Icrisat,Sangareddy,6.1,6.65,859,3.8,35,0.12,8.3,130,6.1,,,,4.3,24,220,126,44,8,,,300,200,100,80,24,50,32,532.58,372.81,9,,0.16,BDL,6.2,0.65,18.43,0.69
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",Hyderabad,1.2,6.96,546,1,7,,12,240,Less than 1.8,,,,15,5,94,82,8,9.4,1.8,,128,84,0,44,31.1,54,,338,,10,2.44,,0.5,,1.08,,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,0.3,8.42,945,6,5.08,,24,280,4,,,,6,20,205,130,56,4.6,1.28,,225,125,0,100,54.67,76,,596,,10,1.74,,0.5,,0.96,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,0.3,7.06,1342,7,6.2,,20,430,5.5,,,,10,5,212,204,86,16.8,3.9,,320,204,0,116,77.76,128,,846,,13,3.62,,0.5,,0.56,,
4692,Lakes & Tanks ,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,0.3,6.86,885,8,3.6,,24,280,6.1,,,,22,5,156,132,66,11.2,2.2,,218,140,0,78,52.97,86,,558,,12,2.46,,0.5,,0.65,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,0.3,7.06,752,8,3.8,,24,170,5.6,,,,18,5,122,116,84,8.2,1.6,,182,116,0,66,44.23,62,,466,,22,2.82,,0.52,,0.98,,
4694,Lakes & Tanks ,"Mullakatwa Cheruvu, Hi Tech City, Madhapur,",Medchal Malkajgiri,0.3,6.54,316,4,2.4,,24,350,6,,,,13,5,56,54,44,4.2,2.8,,78,50,0,28,18.95,38,,196,,16,1.86,,0.5,,0.38,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,"Not collected,under maintaince.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,0.9,6.96,949,6,3.8,,24,430,4,,,,12,5,226,98,69,5.6,1.89,,228,134,0,94,55.4,65,,598,,18,2.65,,0.5,,0.99,,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,"Not collected,under maintaince",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,"Not collected,under maintaince",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,4.3,6.92,578,2,4.2,,13,240,2,,,,9,5,120,76,28,9.8,3.3,,140,90,0,50,34.02,40,,358,,11,1.32,,0.5,,0.62,,
4700,Lakes & Tanks ,"Large tank,/ Saroornagar, Rangareddy District.",RR-shamshabad,not submitted by RO-RR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",Rangareddy,1.4,8.75,768,4,8,,25,240,4,,,,17,10,165,94,44,11.2,7.8,,175,112,0,63,42.52,62,,460,,15,2.36,,0.56,,0.42,,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",Rangareddy,3.8,7.32,891,14,23.79,,,,,,,,46.4,BDL,184,112,65,4,Less than 5,BDL,284,168,67,116,28,61,81,563,458,14,,1.45,,10,0.85,37,2.1
