Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4704,Lakes  & Tanks,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",Rangareddy,,0.3,7.36,1104,10,3.01,,33,540,9.3,,,,34,5,160,178,145,15.68,6.72,,220,48,120,24.3,100,110,,680,460,30,4.11,2.12,0.5,,0.4,,
5040,Lakes  & Tanks,"Bandlaguda Cheruvu, Bandlaguda, Uppal, Medchal Dist.",Medchal Malkajgiri,,0.3,7.35,1113,10,2.9,,32,350,6.1,,,,29,5,260,140,133,14,3.36,,310,72,180,31.59,130,96,,690,470,24,3.91,1.66,0.5,,0.71,,
5041,Lakes  & Tanks,"Pathulguda, Uppal, Medchal Dist.",Medchal Malkajgiri,,0.3,7.84,1345,10,2.1,,40,430,9.3,,,,30,5,245,206,129,16.8,5.6,,365,84,210,37.66,155,134,,844,580,24,3.7,1.8,0.5,,0.32,,
5113,Lakes  & Tanks,"Chinna Cheruvu, Ramanthapur Bagat, Uppal",Medchal Malkajgiri,,0.3,7.43,1215,14,3.06,,21,350,9.3,,,,28,5,250,180,161,13.44,4.48,,280,80,200,19.44,80,102,,756,490,22,2.42,1.14,0.5,,0.62,,
5117,Lakes  & Tanks,"Masjid Banda Lake, Kondapur, Serlingampally",Rangareddy ,Not collected due to lake enroachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121,Lakes  & Tanks,"Pale Cheruvu, Kattedan",Rangareddy,Dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126,Lakes  & Tanks,"Bathula Cheruvu, Amangal, Hayathnagar",Rangareddy,,0.3,7.58,1254,12,1.76,,46,430,6.8,,,,26,5,190,202,157,14,5.6,,230,52,130,24.3,100,115,,784,510,22,4.32,2.42,0.5,,0.82,,
5127,Lakes  & Tanks,"Kummari Kunta, Amangal, Hayathnagar",Rangareddy,,1,7.37,805,6,1.67,,17,350,4.5,,,,28,5,220,98,73,10.64,3.36,,260,72,180,19.44,80,50,,494,330,32,2.96,0.78,0.5,,0.89,,
5128,Lakes  & Tanks,Palle cheruvu,Rangareddy,not collected by RO-HYD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5129,Lakes  & Tanks,"Erra Kunta, Laxmiguda, Rajenderanagar",Rangareddy,,0.3,7.08,2117,16,3.93,,47,540,9.3,,,,36,5,380,320,298,19.04,5.6,,610,124,310,72.9,300,214,,1354,920,40,4.5,1.94,0.6,,1.09,,
5130,Lakes  & Tanks,"Pathikunta, Budwel, Rajendranagar",Rangareddy,,0.3,6.8,2041,12,3.18,,49,430,9.2,,,,23,5,620,174,145,17.36,8.4,,735,152,380,86.27,355,108,,1306,900,28,4.85,1.18,0.56,,1.5,,
5132,Lakes  & Tanks,"Malkam Cheruvu, Raidurgam, Serilingampally",Rangareddy ,,3.2,8.28,1604,19,15,,1.8,130,,,,,53,5,348,256,136,22,7,,336,156,62,180,44,104,205,932,706,90,3,,0.96,18,0.97,55,4.8
5498,Lakes  & Tanks,"Suleman cheruvu ,kattedam(v),Ragendra nagar(m)Rangareddy dist",Medchal Malkajgiri,Ncolledted due to lake is covered with mud and grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
