Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),COD (mg/L),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
2372,River Kinneresani,Kinnerasani after confluence of KTPS ash pond effluents,5.2,8.04,496,20,4,1.6,Not Analysed,Less than 2,22,,,,12,Less than 1,175,38,20,Less than 1,Not Analysed,,196,36.8,25.27,17,22,298,Not Analysed,16,0.18,Not Analysed,Less than 0.01,4,0.64,19.11,0.68
3080,River Kinneresani,U/s of Karakavagu at Paloncha,5.2,7.82,488,12,3,1.46,Not Analysed,Less than 2,28,,,,8,Less than 1,168,46,12,Less than 1,Not Analysed,,192,41.6,21.38,22,28,310,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,23.73,0.88
3081,River Kinneresani,D/s of Karakavagu at Paloncha,5,7.65,546,16,3,2.82,Not Analysed,Less than 2,32,,,,12,Less than 1,186,52,16,Less than 1,Not Analysed,,205,48.8,20.17,29,38,344,Not Analysed,10,0.1,Not Analysed,Less than 0.01,3,Less than 0.01,28.24,1.15
1784,River Krishna ,River Krishna at Thangadi,5.6,7.75,660,14,3,0.7,Not Analysed,Less than 2,33,,,,6,Less than 1,190,74,14,Less than 1,Not Analysed,,215,56,18.22,22,47,395,Not Analysed,10,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,31.86,1.39
39,River Krishna ,River Krishna at Gadwal bridge,6.1,7.8,560,12,3,0.5,Not Analysed,Less than 2,26,,,,4,Less than 1,175,60,12,Less than 1,Not Analysed,,205,48,20.66,26,38,340,Not Analysed,12,Less than 0.01,Not Analysed,Less than 0.01,3,Less than 0.01,28.24,1.15
4225,River Krishna ,"Jogulamba Temple, Gadwal",5.5,7.8,780,12,3,0.72,Not Analysed,Less than 2,22,,,,6,Less than 1,240,90,12,Less than 1,Not Analysed,,265,58,29.16,32,62,480,Not Analysed,8,Less than 0.01,Not Analysed,Less than 0.01,2,Less than 0.01,33.37,1.65
4259,River Krishna ,Nagarjuna Sagar Dam Spill way,6.4,7.28,445,10,2.1,5,0.27,Less than 2,20,,,,5,12,62,58,10,1.9,,Less than 0.01,94.36,18,12,8,21,248,191,11,Not Analysed,0.21,Less than 0.01,4,0.32,31.32,0.94
4252,River Krishna ,"Udaya Samudram balancing Reservoir,",7.5,7.41,325,11,2.1,6,0.24,Less than 2,25,,,,11,Less than 1,46,36,6,1.1,,Less than 0.01,59.67,14,6,7,17,307,215,18,Not Analysed,0.24,Less than 0.01,3,0.35,36.66,0.95
1465,River Krishna ,Confluence of River krishna & River musi at at wadapally,6.7,7.19,467,14,2.1,6,0.32,Less than 2,27,,,,13,16,72,60,14,2.6,,Less than 0.01,150,32,17,8,23,354,263,13,Not Analysed,0.29,Less than 0.01,5,0.37,24.13,0.81
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat",7.1,7.28,473,18,2.2,5,0.21,Less than 2,17,,,,14,8,60,52,18,3.4,,Less than 0.01,98,21,11,9,21,369,274,15,Not Analysed,0.27,Less than 0.01,3,0.38,30.88,0.92
