Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
5110,River Krishna ,River Krishna at Pulichintala Reservoir at Chinthalapalem,Suryapet,6.2,7.97,1098,3.1,16,0.11,4.5,34,2,,,,3.4,8,225,210,26,6,BDL,BDL,420,84,210,51,210,50,60,675,473,8,,0.22,BDL,5.2,0.21,23.5,1.28,,
4253,River Musi,Musi sample at Bapughat sangam U/S of Musi,Hyderabad,0.3,7.29,1136,6.2,3.5,,33,430,6.1,,,,28,5,330,125,79,8.1,3.4,,250,50,125,30,125,71,#,716,500,20,1.73,,0.5,,1.22,#,#,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.14,1244,8,4.1,,49,540,6.8,,,,34,5,230,178,94,12.88,4.5,,280,60,150,32,130,82,#,744,580,15,2.07,,0.5,,1.36,#,#,,
2339,River Musi,River Musi at Nagole,Shamshabad,0.3,7.24,1089,10,8.1,,47,540,4.5,,,,30,5,175,174,120,10,5.6,,210,44,110,24,100,61,#,676,470,12,2.68,,0.5,,1.12,#,#,,
4659,River Musi,"Outlet of Nalla Cheruvu, Peerajadiguda",Yadadri Bhuvanagiri,0.3,6.4,1048,8,5.2,,32,430,4,,,,22,5,170,188,92,11.2,6.7,,180,38,95,21,85,72,#,650,460,15,2.2,,0.5,,1.2,#,#,,
4660,River Musi,River Musi at Peerajadiguda,Suryapet,0.3,6.92,1054,8,6.2,,21,350,2,,,,27,5,176,204,98,8.41,3.4,,205,58,145,15,60,48,#,664,450,15,1.8,,0.5,,1.1,#,#,,
1173,River Musi,D/s. of Musi at Pratapasingaram,Rangareddy,0.3,6.84,1088,10,4.8,,27,350,4,,,,36,5,175,201,110,10,5.6,,210,44,110,24,100,52,#,674,470,12,1.72,,0.5,,1.16,#,#,,
4657,River Musi,River Musi at Pillaipalli,Rangareddy-I,0.3,7.02,995,8,5.5,,11,280,2,,,,24,5,165,180,88,6.72,2.2,,225,50,125,24,100,41,#,626,420,12,0.85,,0.5,,0.93,#,#,,
4254,River Musi,River Musi sample at Rudravelly bridge,Yadadri Bhuvanagiri,7.6,6.91,1270,3.8,29,0.21,6,70,4.5,,,,3.8,8,270,240,32,6,BDL,BDL,435,94,235,49,200,65,75,781,547,10,,0.22,BDL,6.2,0.11,26.92,1.56,,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",Yadadri Bhuvanagiri,6.3,6.74,1261,3.7,26,0.11,6.5,84,5.6,,,,5.2,18,320,255,30,5,BDL,BDL,590,120,300,71,290,75,79,864,605,8,,0.24,BDL,7.2,0.2,22.29,1.41,,
3082,River Musi,River Musi at Solipet (Kasaniguda),Suryapet,6.6,7.28,1155,3.1,21,0.01,6,79,3.6,,,,5.1,16,275,265,26,5,BDL,BDL,540,116,290,61,250,58,85,791,554,12,,0.2,BDL,8,0.23,25.19,1.59,,
5106,River Musi,River Musi at Bheemaram Bridge,Nalgonda,6.2,8.04,1171,3.9,20,0.1,6.1,38,4..0,,,,3,16,230,270,28,5,BDL,BDL,410,84,210,49,200,65,80,720,504,10,,0.3,BDL,6,0.32,29.41,1.72,,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,Nalgonda,6.4,7.97,1100,3.2,25,0.09,5.5,34,4,,,,3.1,18,250,200,25,7,BDL,BDL,460,100,250,51,210,80,74,721,504,8,,0.2,BDL,7.1,0.34,25.63,1.5,,
1172,Lakes & Tanks,U/s of Musi at Gandipet (Osmansagar lake),Shamshabad,6.4,7.51,531,1,1.6,,Less than 1.8,49,Less than 1.8,,,,6,5,185,51,12,1.5,0.4,,90,20,50,10,40,33,#,330,220,15,0.33,,0.5,,0.55,#,#,,
2358,Lakes & Tanks,Mallapur tank,Medchal Malkajgiri,0.3,7.06,2012,12,12.3,,40,920,6.8,,,,32,5,385,310,202,14,5.6,,480,108,270,51,210,88,#,1240,970,12,3.89,,0.59,,1.46,#,#,,
1789,Lakes & Tanks,Himayathsagar lake,RR-shamshabad,6.3,7.37,328,1,2.6,,Less than 1.8,40,Less than 1.8,,,,8,5,95,36,12,1.5,0.4,,110,22,55,13,55,28,#,210,120,10,0.32,,0.5,,0.49,#,#,,
3069,Lakes & Tanks,"Shameerpet lake, Shameerpet",Medchal Malkajgiri,5,7.32,832,2,1.7,,Less than 1.8,49,Less than 1.8,,,,10,5,185,130,32,2.24,0.4,,195,40,100,23,95,51,#,524,360,12,0.82,,0.5,,0.63,#,#,,
3078,Lakes & Tanks,"Pragathinagar cheruvu, Kukatpally",Medchal Malkajgiri,3.6,7.26,906,3.2,2.8,,11,350,2,,,,16,5,215,115,61,8.4,5.6,,225,50,125,24,100,38,#,570,400,18,0.92,,0.5,,0.98,#,#,,
