Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3 (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR
4676,Lakes & Tanks ,"Banda Cheruvu, Malkajigiri (V),Malkajigiri (new mandal)",Medchal Malkajgiri,0.3,7.38,1322,14,2.6,,20,430,4,,,,33.6,5,280,159,179,4.2,3.15,0.05,315,190,76,125,30.38,96,,806,,48,2.54,,0.5,,1.06,,
4677,Lakes & Tanks ,"Lingam Cheruvu, Suraram (V), Quthubullapur",Medchal Malkajgiri,0.3,7.53,1546,8,4.52,,15,430,2,,,,18.2,5,290,225,95,7,3.34,0.08,360,215,86,145,35.23,136,,958,,26,2.84,,0.64,,0.98,,
4678,Lakes & Tanks ,"Patel Cheruvu, Nacharam, Medchal-Malkajigiri District.",Rangareddy,0.3,7.25,1254,8,2.96,,25,540,5.5,,,,12.6,5,260,157,75,7,1.82,0.02,325,195,78,130,31.59,98,,802,,18,1.36,,0.6,,1.03,,
4679,Lakes & Tanks ,HUDA Park Lake,Rangareddy,0.3,7.48,2347,10,5.2,,14,430,4,,,,9.1,5,480,360,146,11,4.38,0.07,600,360,144,240,58.32,232,,1432,,13,2.96,,0.5,,1.08,,
4683,Lakes & Tanks ,"Pedda cheruvu, Madikonda",Warangal,5,8.25,551,2.2,2.8,,1.8,220,Less than 1.8,,,,6.3,10,110,76,35,2.8,0.56,0.05,128,75,30,53,12.88,45.6,,330,,10,0.34,,0.5,,0.48,,
4684,Lakes & Tanks ,Campus Lake Icrisat,Sangareddy,7.2,7.16,605,4,6,0.12,6,80,5.6,,,,5,16,116,80,46,12,0.4,0.01,208,125,50,83,20,20,15,380,272,10,,0.17,0.5,2.4,0.33,16.88,0.4
4685,Lakes & Tanks ,Surisigal Lake Icrisat,Sangareddy,6.5,7.29,889,3,14,0.14,6.1,115,6.8,,,,4,32,190,90,32,20.2,0.4,0.01,276,175,70,101,25,60,30,562,398,10,,0.13,0.5,2.3,0.36,23.11,0.69
4686,Lakes & Tanks ,Icrisat Lake,Sangareddy,6.2,6.88,856,4.2,19,0.16,7.5,92,6,,,,5,24,116,88,52,22.2,0.4,0.01,228,130,52,98,24,45,19,545,383,10,,0.18,0.5,2.3,0.18,19.48,0.5
4687,Lakes & Tanks ,Red Lake Icrisat,Sangareddy,6.6,7.08,1014,5.2,18,0.12,8.2,126,6.1,,,,5,32,120,95,60,32,0.4,0.01,288,155,62,133,32,70,12,642,453,10,,0.19,0.5,5.6,0.36,11.24,0.29
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",Hyderabad,5.4,8.13,446,1.2,2.36,,8.2,240,Less than 1.8,,,,0.55,5,95,58,16,2.8,0.56,0.04,120,70,28,50,12.15,32,,272,,10,0.64,,0.96,,0.96,,
