Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,
4687,Lakes & Tanks ,Red Lake Icrisat,6.9,7.04,430,4,4,0.15,13,170,4,,,,7,8,94,48,36,6.2,0.4,Less than 0.01,140,30,16,5,12,246,183,10,,0.14,0.5,3,0.2,15.2,0.44,
4689,Lakes & Tanks ,"Sunnam Kunta, Jubille hills",3.1,7.57,592,4,7,,12,110,Less than 1.8,,,,16,5,175,42,48,1.5,0.4,Less than 0.01,195,59.2,11.42,28,32,384,,21,0.2,,0.5,2,0.96,25.98,0.99,
4690,Lakes & Tanks ,"Banjara Kunta (Singadi Kunta), Shaikpet",Sample not submited by RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4691,Lakes & Tanks ,"Nagole Cheruvu, Uppal Malkajigiri District.",2.8,7.3,1210,6,1.62,,23,280,Less than 1.8,,,,18.2,5,260,152,88,1.5,0.4,Less than 0.01,285,56,35.23,68,120,720,,21,0.98,,0.5,3.2,0.96,47.28,3.08,
4692,Lakes & Tanks ,"Ramanthapur Cheruvu, Medchal-Malkajigiri District.",Due to no accessibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4693,Lakes & Tanks ,"Patel Cheruvu, Madeenaguda, Miyapur",0.3,7.13,1134,6,4,,11,210,Less than 1.8,,,,16,5,240,148,68,1.5,0.4,Less than 0.01,260,69.2,21.14,110,152,725,,14,0.32,,0.5,5,0.2,55.26,4.09,
4694,Lakes & Tanks ,Mundla Katwa Lake,"4237 & 4694 BOTH ARE SAMPLE i.e., OLD 4237 DATA HAS TO BE TAKEN (4694 TO REPLACE)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes & Tanks ,"Khaja Kunta, Kukatpally (V)",Lake sample were not collected as there was not accses to collect water in the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",1.2,7.02,1377,12,8.62,,9,150,Less than 1.8,,,,8.4,5,315,182,92,8,1.5,Less than 0.01,325,72,35.23,76,166,781,,22,0.86,,0.5,14,0.59,51.14,3.99,
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Lake sample  were not collected ass lake was dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",Lake sample were not collected as there was not accses to collect water in the lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",2.3,7.3,567,3,0.18,,115,170,Less than 1.8,,,,8.6,5,135,82,36,1.5,0.4,Less than 0.01,160,38,15.79,32,58,340,,12,0.48,,0.5,2.6,0.86,43.44,1.99,
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",0.3,7.51,1322,6,1.8,,26,170,Less than 1.8,,,,16.2,5,280,166,78,1.5,0.4,Less than 0.01,295,52,40.09,88,142,790,,22,1.46,,0.5,8,0.88,50.11,3.58,
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",0.3,6.97,1292,5,6,,4,120,Less than 1.8,,,,14,5,340,154,58,1.5,0.4,Less than 0.01,365,57.2,53.95,88,132,826,,26,0.41,,0.5,4,0.2,43.49,2.99,
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",2.1,7.6,1348,10,13,,17,120,Less than 1.8,,,,15,5,,103,36,12,3,0.15,352,85,34,32,138,882,,27,2.38,,0.5,10,0.2,44.98,3.19,
4703,Lakes & Tanks ,Bulbul kunta,0.3,7.1,1589,17,2.89,,58,350,Less than 1.8,,,,16.8,5,320,220,132,10,2.8,0.02,365,74,43.74,142,190,894,,26,1.86,,0.5,8,1.2,52.25,4.31,
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",2.8,7.31,735,7,1.2,,11,280,Less than 1.8,,,,8.8,5,155,82,52,1.5,0.4,Less than 0.01,175,42,17.01,52,72,440,,14,1.22,,0.5,2.6,1,46.62,2.36,
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",0.3,7.13,1916,10,10.1,,31,430,Less than 1.8,,,,13.22,5,385,283,120,8,1.4,0.01,565,92,81.41,146,242,1120,,25,1.86,,0.5,16,0.89,47.15,4.41,
