Station code,water_bodies,Station name,District,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,Cd(mg/l),Cu(mg/l),Pb(mg/l),T.Cr(mg/l),Ni (mg/l),Zn(mg/l),Fe(mg/l),Hg(mg/l),Mn(mg/l)
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,,0.3,7.4,1426,8,1.5,,17,350,6.8,,,,24,5,260,210,103,10.64,3.92,,450,110,275,42.52,175,176,,884,590,18,2.42,7.43,0.5,,0.77,,,0.02,0.03,0.1,0.06,0.1,0.04,1.52,0.0,0.11
4705,Lakes  & Tanks,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Medchal Malkajgiri,No Acess due to lake is covered with hyacinth and alagae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5036,Lakes  & Tanks,"Ramana Cheruvu,Boinpally, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.05,483,6,1.6,,4,220,Less than 1.8,,,,6,5,140,52,68,2.24,0.56,,170,42,105,15.79,65,18,,298,190,10,1.8,5.53,0.5,,0.55,,,0.02,0.03,0.1,0.08,0.1,0.1,0.2,0.0,0.1
5037,Lakes  & Tanks,"Thirumalagiri Tank, Thirumalagiri, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,dried up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5042,Lakes  & Tanks,"Yellamma Cheruvu, Kukatpally, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.06,1382,8,1.9,,4.9,540,9.3,,,,32,5,260,202,88,12.88,5.6,,275,74,185,21.87,90,112,,856,570,28,2.48,7.61,0.5,,0.56,,,0.02,0.03,0.1,0.07,0.1,0.05,0.29,0.0,0.17
5043,Lakes  & Tanks,"Mysamma Cheruvu, Kukatpally, Balangar, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.01,1401,8,2.1,,47,430,9.2,,,,35,5,260,180,100,19.6,8.4,,330,80,200,31.59,130,116,,868,580,31,2.72,8.35,0.5,,1.6,,,0.02,0.03,0.1,0.07,0.1,0.08,0.06,0.0,0.3
5045,Lakes  & Tanks,"MothkulaKunta, Machabollaram, Alwal, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.12,1243,8,3.4,,21,350,6.8,,,,28,5,270,145,96,14,4.48,,330,74,185,35.23,145,90,,770,510,26,2.96,9.09,0.5,,1.2,,,0.02,0.03,0.1,0.06,0.1,0.04,0.06,0.0,0.02
5046,Lakes  & Tanks,"Chintal Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,2.5,7.3,704,4,1.4,,17,350,2,,,,30,5,150,105,56,9.52,3.36,,185,52,130,13.37,55,68,,436,290,20,2.18,6.69,0.5,,1,,,0.02,0.03,0.1,0.08,0.1,0.04,0.16,0.0,0.17
5047,Lakes  & Tanks,"Mahaboob Kunta, Suraram,Quthubullapur, Medchal-Malkajgiri Dist.",Medchal Malkajgiri,,4,7.57,1263,2.8,1.7,,33,430,6.1,,,,22,5,280,174,48,11.76,5.6,,285,66,165,29.16,120,109,,784,520,17,3.1,9.52,0.5,,0.91,,,0.02,0.03,0.1,0.08,0.1,0.05,0.06,0.0,0.03
5048,Lakes  & Tanks,"Bandam Cheruvu, Gajularamaram, Quthbullapur, Medchal- Malkajgiri Dist.",Medchal Malkajgiri,,0.3,7.3,1537,6,2,,49,540,11,,,,16,5,334,196,72,17.36,6.72,,460,124,310,36.45,150,124,,968,660,12,3.16,9.7,0.5,,1.1,,,0.02,0.03,0.16,0.11,0.1,0.05,1.15,0.0,0.02
