Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4226,River Manjeera,"River Manjeera (tributary of Godavari) - River Manjeera at Yedu Payala Temple, Nagsampalli (V), Papannapet (M), Medak District",Medak,7,8.34,909,2.4,13,0.15,4,84,1.8,,,,3.2,20,165,91,28,20,BDL,0.01,240,150,60.07,90,22,58,20,540,346,5,,0.14,0.5,2,0.4,18.9,0.5
2372,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - Kinnerasani after confluence of KTPS ash pond effluents ,Bhadradri Kothagudem",Bhadradri Kothagudem ,5.2,7.67,519,2.8,1.7,,Less than 1.8,27,Less than 1.8,,,,4.4,5,110,68,31,1.5,0.4,0.01,120,80,32,40,9.72,38,,322,,12,0.2,,0.5,,0.52,,
3080,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - U/s of Karakavagu at Paloncha , Bhadradri Kothagudem",Bhadradri Kothagudem ,5.2,7.5,835,2.2,2.4,,Less than 1.8,34,Less than 1.8,,,,8.8,5,190,98,20,1.5,0.4,0.01,210,195,78,15,3.65,56,,510,,15,0.2,,0.5,,0.43,,
3081,River Kinneresani,"River Kinnerasani (tributrary of Godavari) - D/s of Karakavagu at Paloncha, Bhadradri Kothagudem",Bhadradri Kothagudem ,4.8,8.04,553,2.4,1.98,,Less than 1.8,22,Less than 1.8,,,,4,5,115,68,27,1.5,0.4,0.03,125,75,30,50,12.15,42,,342,,10,0.2,,0.5,,0.49,,
1784,River Krishna ,"River Krishna at Thangadi, Thangadi(V), Krishna(M), Narayanapet(D)",Mahaboobnagar,5.4,8.12,1115,2.2,3.1,,Less than 1.8,58,Less than 1.8,N.A,N.A,N.A,10.8,5,265,167,20,4.2,0.96,0.08,290,155,62,135,32.8,104,,692,,16,0.89,,0.5,,0.64,,
0039,River Krishna ,"River Krishna at Gadwal bridge,Nadhi Agraharam, Gadwal(Munci.), Jogulamba Gadwal(D)",Mahaboobnagar,5.4,8.09,1132,2.4,3.6,,Less than 1.8,63,Less than 1.8,N.A,N.A,N.A,9.6,5,260,149,26,1.5,0.4,0.03,275,160,64,115,27.95,88,,690,,12,0.94,,0.5,,0.65,,
4225,River Krishna ,"River Krishna at Jogulamba Temple, Alampur(V&M), Jogulamba Gadwal(D)",Jogulamba Gadwal,4.4,7.82,1655,3.2,3.8,,Less than 1.8,40,Less than 1.8,N.A,N.A,N.A,8.2,5,405,250,35,4.2,0.58,0.03,420,235,94,185,44.95,152,,992,,10,0.85,,0.5,,0.58,,
4259,River Krishna ,"River Krishna - Nagarjuna Sagar Dam Spill way, Nagarjuna Sagar (V), Peddavoora (M),Nalgonda",Nalgonda,6.2,8.25,752,2.4,15,0.13,4.1,24,3.6,,,,3,24,190,96,28,22,BDL,0.01,280,180,72.09,100,24,76,20,502,320,6,,0.16,0.5,3,0.32,16.3,0.45
4252,River Krishna ,"River Krishna - Udaya Samudram balancing Reservoir, Nalgonda",Nalgonda,6.4,8.14,741,2.6,10,0.12,7.8,40,4,,,,3.4,12,160,115,30,18,BDL,0.01,250,130,52.06,120,29,54,28,458,296,5,,0.15,0.5,2,0.33,25.8,0.74
1465,River Krishna ,"River Krishna - Confluence of River Krishna & River Musi at Wadapally (V), Damarcharla (M), Nalgonda District",Nalgonda,6.3,8.17,1010,3.3,16,0.21,9.1,31,5.5,,,,3.8,20,210,120,36,25,BDL,0.01,310,220,84,100,24,78,26,570,408,6,,0.07,0.5,3,0.43,18.25,0.54
4663,River Krishna ,"River Krishna at Mattepally, 500 mts. before bathing ghat, Suryapet",Suryapet,6.5,8.14,875,3.5,18,0.17,6.1,40,4,,,,3.5,16,180,86,38,32,BDL,0.01,265,175,70.08,90,22,75,20,495,330,6,,0.08,0.5,2,0.4,17.1,0.46
4250,River Krishna ,"River Krishna - Palair Reservoir, Palair(V), Kusumanchi(M),Khammam(D)",Khammam,5,8.21,540,2.6,2.6,,Less than 1.8,34,Less than 1.8,,,,2.4,10,105,74,27,1.5,0.4,0.04,120,65,26,55,13.37,52,,330,,10,0.24,,0.5,,0.57,,
4251,River Krishna ,"River Krishna - D/s of Munneru River, Prakash Nagar, Khammam",Khammam,4.6,7.29,672,3.2,2.7,,Less than 1.8,43,Less than 1.8,,,,2.2,5,140,84,35,1.5,0.4,0.01,155,80,32,75,18.22,52,,416,,9,0.38,,0.5,,0.63,,
5108,River Krishna ,"River Krishna before confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda (D)",Nalgonda,7.2,8.31,1178,3,16,0.11,6,38,4.5,,,,3.1,20,210,134,26,25,BDL,0.01,350,225,90,125,30,106,35,640,440,5,,0.06,0.5,3,0.21,21.62,0.71
5109,River Krishna ,"River Krishna after confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6.1,7.99,1213,2.8,18,0.16,5.5,38,3.7,,,,3.9,16,180,120,30,28,BDL,0.01,285,160,64,125,30,74,31,680,490,7,,0.07,0.5,3.4,0.72,24.2,0.74
