Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (μs/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Carbonate as CaCO3,Calcium as Ca+2(mg/L),Magnesium Carbonate as CaCO3,Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,,,,
2343,Lakes & Tanks ,Premajipet tank,Premajipet tank ,Preamjipet Tank -2343 Sample was same as Mulaguard Lake Sample -5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,Lakes & Tanks ,Sai Cheruvu,Sai Cheruvu ,0.3,7.24,4710,16,2.7,,27,430,4,,,,10.4,5,380,1074,274,11.2,3.08,,472,280,112,192,46.66,386,,2920,,32,2.86,,0.5,,0.95,,,,,,,
4222,Lakes & Tanks ,"Koneru, Kondagattu temple, Jagitiyal",Repair under maintaince,Repair under maintaince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4223,Lakes & Tanks ,"Vemulawada temple Koneru , Karimnagar",Rajanna Siricilla,1.3,6.92,1068,5.2,3.18,,Less than 1.8,58,Less than 1.8,,,,7.2,5,220,128,64,2.8,0.86,,235,145,58,90,21.87,88,,662,,12,0.2,,0.5,,0.69,,,,,,,
4228,Lakes & Tanks ,"Pedda Cheruvu/Ibrahim Cheruvu, Rajendra Nagar",Dreid Up,Dreid Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4230,Lakes & Tanks ,Kistaipally Cheruvu,Sangareddy,5.8,6.85,4020,10.2,40,0.22,6.1,79,3.6,,,,10.3,16,609.84,580,112,62,,BDL,995,525,210,470,114,198,125,2412,1688.4,19,,0.19,BDL,7,0.23,27.97,1.65,,,,,
4231,Lakes & Tanks ,"Rayam Cheruvu,",Sangareddy,6.2,7.01,1576,6,21,0.21,4.5,58,3.7,,,,6.2,20,210,316.8,62,32,,BDL,485,270,108,215,52,71,45,945.6,661.92,15,,0.21,BDL,5.1,0.16,21.47,0.83,,,,,
4232,Lakes & Tanks ,"Komati Cheruvu,",Siddipet,5.9,7.27,871,3.4,20,0.14,2,34,1.8,,,,4.1,12,175.41,121,38,32,,BDL,290,165,66,125,30,63,23,522.6,365.82,10,,0.17,BDL,5,0.19,18.24,0.53,,,,,
4235,Lakes & Tanks ,Lake Kamuni (Shamshabad Lake),RR-shamshabad,0.3,7.94,1365,12,3.48,,27,430,6.1,,,,14,5,305,144,117,8.4,1.96,,315,190,76,125,30.38,138,,846,,16,2.82,,0.5,,0.82,,,,,,,
4233,Lakes & Tanks ,"Gaddapotharam cheruvu,",Sangareddy,5.2,6.48,3890,10,51,0.23,6.8,63,5.5,,,,14.2,24,410,655,102,88,,BDL,810,480,192,330,80,85,159,2234,1563.8,16,,0.09,0.19,33,0.29,32.44,2.09,,,,,
4238,Lakes & Tanks ,"Ameenpur Cheruvu,",Sangareddy,6.2,6.8,1403,6.8,30,0.2,6.1,58,4,,,,9.1,20,150,206,76,58,,BDL,400.49,240,96,160.49,39,72,26,782,547.4,13,,0.24,BDL,19,0.28,13.28,0.48,,,,,
4239,Lakes & Tanks ,"Mahaboobsagar Tank,",Sangareddy,6.1,6.82,1172,4.1,19,0.18,4.5,79,3.7,,,,5,28,170,150,46,32,,BDL,310,180,72,130,32,45,25,682,477.4,5,,0.18,BDL,8,0.24,17.61,0.55,,,,,
