Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4696,Lakes & Tanks ,"Parki Cheruvu, Kukatpally (V), Balanagar",0.3,7,1387,14,8.46,,Less than 1.8,79,Less than 1.8,,,,14,5,200,228,84,1.5,0.4,Less than 0.01,230,56,21.87,98,176,810,,26,0.98,,0.5,16,1.48,60.32,5.03
4697,Lakes & Tanks ,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Lake sample was not collected as lake is under maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes & Tanks ,"Mannevari Kunta, Machabollaram (V), Alwal",3.3,7.22,1296,11,3.36,,Less than 1.8,79,Less than 1.8,,,,16,5,160,202,84,1.5,0.4,Less than 0.01,303,57,39,88,152,741,,13,1.29,,0.5,22,1.48,49.79,3.78
4699,Lakes & Tanks ,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",3.2,6.66,715,2.1,1.66,,17,79,Less than 1.8,,,,9,5,88,34,21,1.5,0.4,Less than 0.01,145,35,14,22,26,413,,10,1.18,,0.5,4,1.42,27.24,0.94
4700,Lakes & Tanks ,"Large tank, Saroornagar, Rangareddy District.",0.3,6.75,1296,8,2.68,,23,130,5,,,,20,5,165,256,88,1.5,0.4,Less than 0.01,204,47,21,94,185,777,,18,1.65,,0.5,23,1.15,63.17,5.62
4701,Lakes & Tanks ,"Lingam kunta lake Chandanagar,Serilingampally, Rangareddy (Dist)",2.8,6.83,1321,8,2.76,,Less than 1.8,110,Less than 1.8,,,,20,5,140,178,94,1.5,0.4,Less than 0.01,231,56,22,98,152,743,,17,1.09,,0.5,16,1.34,56.72,4.34
4702,Lakes & Tanks ,"Pedda Cheruvu - Khaja guda, Khajaguda (V), Serlingampally (new mandal)",4.7,7.53,1138,8,36,,23,79,8,,,,19,5,320,350,49,15,4,0.3,276,85,64,50,91,630,,15,3.4,,0.5,15,0.95,28.41,1.81
4703,Lakes & Tanks ,Bulbul kunta,0.3,7.18,1730,16,1.93,,92,540,23,,,,18,5,480,188,128,8.8,2.2,0.02,540,106,66.83,86,124,1038,,23,1.79,,0.5,29,1.39,31.71,2.31
4704,Lakes & Tanks ,"Pedda Cheruvu, Mansoorabad, Saroornagar, Rangareddy District.",2.5,7.29,573,6,5.33,,Less than 1.8,130,Less than 1.8,,,,9,5,120,58,51,1.5,0.4,Less than 0.01,140,32,14.58,22,38,346,,20,1.33,,0.5,11,0.51,34.79,1.39
4705,Lakes & Tanks ,"Kotha Cheruvu (Alwal Cheruvu), Alwal (V),",Sample not collected due to no accessibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
