Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Total Hardness as CaCO3(mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
5109,River Krishna ,"River Krishna after confluence of River Musi at Wadapally (V), Damaracharla (M), Nalgonda(D)",Nalgonda,6,7.4,767,2.8,2,0.1,Less than 1.8,21,Less than 1.8,,,,3,8,172,112,14,2.2,0.4,0.01,252,130,52,123.46,30,12,27,420,270,12,,0.07,0.5,4,0.22,18.41,0.74
5110,River Krishna ,"River Krishna at Pulichintala Reservoir at Chinthalapalem (V&M), Suryapet (D)",Suryapet,6.1,7.43,789,2.7,3,0.1,Less than 1.8,25,Less than 1.8,,,,4,11,180,114,23,4.5,0.4,0.01,268,145,58,123.46,30,12,26,440,282,12,,0.05,0.5,2,0.2,17.18,0.69
4253,River Musi,"River Musi at Bapughat Sangam, Hyderabad",Hyderabad,0.3,7.76,1448,7,,,11,540,12,,,,17.2,5,390,169,84,4.48,0.4,0.01,412,244,97.6,168,40.82,103,,898,,28,2.96,,0.5,,0.98,,
4656,River Musi,"River Musi at Moosarambagh bridge, Hyderabad",Medchal Malkajgiri,0.3,7.75,1355,12,,,33,920,21,,,,20.6,5,375,160,128,6.72,2.48,0.07,392,240,96,152,36.94,98,,854,,48,3.08,,0.5,,0.92,,
2339,River Musi,"River Musi at Nagole, Ranga Reddy",Shamshabad,0.3,7.96,1391,6,,,39,920,26,,,,28.6,5,370,168,52,5.6,0.49,0.02,396,246,98.4,150,36.45,106,,862,,64,3.26,,0.5,,0.9,,
4659,River Musi,"River Musi - Outlet of Nalla Cheruvu, Peerajadiguda, Rangareddy",Yadadri Bhuvanagiri,0.3,7.94,1878,12,,,9.2,350,4,,,,9.2,5,495,238,144,7.84,3.92,0.18,520,320,128,200,48.6,146,,1164,,38,3.56,,0.5,,0.99,,
4660,River Musi,"River Musi at Peerajadiguda, Ranga Reddy",Suryapet,0.3,7.83,1429,16,,,40,430,21,,,,12,5,390,176,204,5.6,1.99,0.07,404,241,96.4,163,39.61,107,,886,,33,2.98,,0.5,,0.92,,
1173,River Musi,"River Musi - D/s at Pratapasingaram , Shamshabad",Rangareddy,0.3,7.93,1422,8,,,34,430,31,,,,8.8,5,395,157,96,4.48,1.4,0.06,408,250,100,158,38.39,94,,901,,18,2.26,,0.5,,0.88,,
4657,River Musi,"River Musi at Pillaipalli, Rangareddy",Rangareddy-I,1.8,7.44,1418,5.2,,,33,430,12,,,,9.2,5,385,169,44,4.48,0.91,0.01,402,254,101.6,148,35.96,108,,892,,14,2.48,,0.5,,1.08,,
4254,River Musi,"River Musi at Rudravelly bridge,Yadadri",Yadadri Bhuvanagiri,5.9,7.56,1650,7,11,0.17,7.8,120,6.1,,,,14,16,256,186,47,8.4,0.4,0.01,420,205,82,213.99,52,24,58,942,602.88,10,,0.07,0.5,5,0.32,22.75,1.23
