Station code,water_bodies,Station name,Remarks,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Calcium Carbonate as CaCO3,Magnesium (mg/L),Magnesium Carbonate as CaCO3,Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR,,
4658,River Musi,"River Musi at Valigonda bridge, Nalgonda dist",,5.5,7.2,1500,4.4,44,0.1,6.8,79,5.5,,,,5.3,4,368,272,41,5,0.4,BDL,470,88,220,61,250,64,130,930,651,9,,0.95,0.5,9,0.41,37.04,2.61,,
3082,River Musi,River Musi at Solipet (Kasaniguda),,7,8.21,1555,3.1,49,0.11,6,58,3.7,,,,5.3,20,300,250,28,5,0.4,BDL,364.61,80,200,40,164.61,40,115,870.8,609.56,8,,0.61,0.5,3,0.43,40.53,2.62,,
5106,River Musi,River Musi at Bheemaram Bridge,,7,8.15,2088,3.4,50,0.08,6,43,4.5,,,,3.2,30,350,310,35,6,0.4,BDL,523.99,124,310,52,213.99,80,110,1169.28,818.5,8,,0.23,0.5,11,0.32,30.9,2.09,,
5107,River Musi,River Musi Before Confluence of River Krishna at Wadapally,,6.5,7.84,1177,3.5,47,0.07,5.5,34,3.7,,,,3.4,24,216,216,34,4,0.4,BDL,320,68,170,36,150,54,105,659.12,461.38,7,,0.19,0.5,4.9,0.2,41.41,2.57,,
1172,Lakes  & Tanks,U/s of Musi at Gandipet (Osmansagar lake),,6,7.15,511,1,0.89,,Less than 1.8,40,Less than 1.8,,,,5,5,103,66,17,1.5,0.4,,198,41.2,103,23.09,95,39,,320,210,10,0.2,0.05,0.5,,1.02,,,,
2358,Lakes  & Tanks,Mallapur tank,,0.3,6.46,3092,14,2.25,,70,920,14,,,,45,5,250,720,392,22.4,11.2,,353,81.2,203,36.45,150,282,,1920,1280,42,4.42,1.82,0.6,,2.5,,,,
1789,Lakes  & Tanks,Himayathsagar lake,,6,7.59,503,1,1.26,,Less than 1.8,33,Less than 1.8,,,,6,5,118,61,12,1.5,0.4,,218,46,115,25.03,103,34,,312,210,10,0.2,0.05,0.5,,0.89,,,,
3069,Lakes  & Tanks,"Shameerpet lake, Shameerpet",,5.2,6.32,875,3.8,2.24,,11,210,Less than 1.8,,,,8,5,250,102,50,2.24,0.4,,263,64,160,25.03,103,54,,542,360,12,0.64,0.06,0.5,,0.82,,,,
3078,Lakes  & Tanks,"Pragathinagar cheruvu, Kukatpally",,0.3,6.95,1172,6,3.67,,17,350,4.5,,,,30,5,268,167,99,14,2.8,,308,81.2,203,25.52,105,106,,714,470,24,2.72,0.96,0.5,,0.66,,,,
2340,Lakes  & Tanks,Lakshminarayana cheruvu,,3,6.96,1656,5,4.12,,47,430,9.3,,,,26,5,258,287,50,18.48,5.6,,423,109.2,273,36.45,150,180,,1026,680,20,2.36,1.16,0.5,,1.08,,,,
