Station code,water_bodies,Station name,District,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Faecal streptococci,Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia,Free Ammonia  (mg/L),Hardness (mg/L),Calcium Hardness as CaCo3(mg/L),Calcium as Ca+2(mg/L),Magnesium Hardness as CaCo3 (mg/L),Magnesium as Mg+2(mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),% Sodium,SAR,Arsenic,Cadmium,Copper,Lead,Total Chromium,Nickel,Zinc,Iron
4690,Lakes  & Tanks,"Banjara Kunta (Singadi Kunta), Shaikpet",Hyderabad,0.3,7.95,1117,6,2.33,N.A,21,540,Less than 1.8,,,,14,5,250,159,87,5.6,0.99,0.05,260,164,65.6,96,23.33,96,,704,,16,1.24,N.A,0.5,,0.92,,,,0.02,0.03,0.1,0.06,0.1,0.06,0.13
4691,Lakes  & Tanks,"Nagole Cheruvu, Uppal Malkajigiri District.",RR-shamshabad,0.3,7.6,1367,10,5.6,N.A,43,430,12,,,,26,5,335,196,127,5.6,1.72,0.06,346,210,84,136,33.05,121,,808,,66,3.56,N.A,0.5,,0.86,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.1
4692,Lakes  & Tanks,"Ramanthapur Pedda Cheruvu, Medchal-Malkajigiri District.",Medchal Malkajgiri,2.8,7.35,1188,1,5.8,N.A,31,540,10,,,,12,5,310,158,28,4.48,1.64,0.03,320,202.0,80.8,118,28.67,98,,712,,28,1.42,N.A,0.5,,0.72,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
4693,Lakes  & Tanks,"Patel Cheruvu, Madeenaguda, Miyapur",Medchal Malkajgiri,0.3,7.29,1295,8,4.2,N.A,21,430,4,,,,33,5,350,134,87,4.48,1.62,0.02,358,224,89.6,134,32.56,72,,814,,94,2.86,N.A,0.5,,0.92,,,,0.02,0.03,0.1,0.06,0.1,0.02,0.06
4694,Lakes  & Tanks,Mundla Katwa Lake,Medchal Malkajgiri,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4695,Lakes  & Tanks,"Khaja Kunta, Kukatpally (V)",Medchal Malkajgiri,Lake sample were not collected as the surface of the lake was spread over with water hycianth plants.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4696,Lakes  & Tanks,"Parki Cheruvu, Kukatpally (V), Balanagar",Medchal Malkajgiri,0.3,7.5,1763,6,10.4,N.A,48,540,4,,,,20,5,420,200,58,8.96,3.18,0.07,430,246,98.4,184,44.71,96,,1058,,52,3.96,N.A,0.5,,1.12,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.14
4697,Lakes  & Tanks,"Mukkidi Cheruvu (Ramakrishnapuram Lake), Malkajigri",Medchal Malkajgiri,Lake sample were not collected as lake was under maintainanace. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4698,Lakes  & Tanks,"Mannevari Kunta, Machabollaram (V), Alwal",Medchal Malkajgiri,Lake sample were not collected as there was no access to collect sample.,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4699,Lakes  & Tanks,"Kaprai Cheruvu, RamanthpurMedchal-Malkajigiri District.",RR-shamshabad,4.1,7.8,662,1.2,4.2,N.A,27,280,Less than 1.8,,,,8,5,160,72,8,2.24,0.4,0.03,172,102,40.8,70,17.01,38,,404,,13,1.72,N.A,0.5,,0.86,,,,0.02,0.03,0.1,0.06,0.1,0.05,0.1
