Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),sodium %,SAR
4254,River Musi,River Musi sample at Rudravelly bridge,6.9,7.49,1348,3.5,16,0.26,Less than 2,48,,,,7,8,224,210,22,5.29,3.33,0.05,333,64,42,30,59,780,556,23,Not analysed,0.44,Less than 0.01,12,0.27,26.8,1.4
4658,River Musi,River Musi at Valigonda,6.7,7.15,1282,3,17,0.19,Less than 2,58,,,,12,28,185,144,20,4.54,2.86,0.02,245.15,52,28,22,63,739,561,12,Not analysed,0.32,Less than 0.01,10,0.25,34.55,1.74
3082,River Musi,River Musi at Solipet (Kasaniguda),6.5,7.04,1262,3.2,15,0.37,Less than 2,40,,,,10,24,168,128,24,5.67,3.57,0.02,213.69,46,24,16,58,715,549,24,Not analysed,0.38,Less than 0.01,9,0.22,35.76,1.72
1172,Lakes & Tanks ,U/s of Musi at Gandipet (Osmansagar lake),5.4,7.65,356,3,0.4,Not Analysed,Less than 2,20,,,,4,Less than 1,120,34,8,Less than 1,Not Analysed,,140,30,15.79,16,20,220,Not aNot analysedlysed,4,Less than 0.01,Not analysed,Less than 0.01,2,Less than 0.01,23.27,0.73
1780,Lakes & Tanks ,Gandigudem Tank,6.9,7.4,2135,2,12,0.37,Less than 2,41,,,,15,32,220,173,18,4.72,2.98,0.04,318.04,68,36,31,62,1195,928,36,Not analysed,0.41,0.03,12,0.36,28.67,1.51
2358,Lakes & Tanks ,Mallapur tank,Less than  0.1,7.81,2037,46,14.9,Not Analysed,36,520,,,,25,Less than 1,475,272,232,4.8,Not Analysed,,560,92,80.19,120,188,1270,Not aNot analysedlysed,30,0.92,Not analysed,0.38,16,0.96,41.14,3.44
2347,Lakes & Tanks ,Asani Kunta,Less than  0.1,6.91,6400,88,57,0.62,Less than 2,350,,,,229,48,980,810,390,73,45,0.21,1230,284,126,63,237,4289,3251,165,Not analysed,0.36,0.42,95,0.43,27.52,2.93
1783,Lakes & Tanks ,Kistareddypet Tank,6.7,7.04,2756,4,19,0.31,Less than 2,49,,,,17,28,236,198,28,5.6,2.4,0.1,362.73,76,42,42,70,1535,1113,27,Not analysed,0.37,0.02,16,0.32,28.3,1.59
2348,Lakes & Tanks ,Khazipally Tank,6.2,7.49,2652,2.8,17,0.34,Less than 2,33,,,,11,20,218,204,26,5.48,3.45,0.06,360,78,40,37,59,1490,1051,18,Not analysed,0.33,0.03,13,0.37,26,1.3
4302,Lakes & Tanks ,Rudraram Tank,6.1,7.14,1087,2.2,11,0.23,Less than 2,11,,,,14,16,128,110,15,3.4,2.14,0.16,167.26,34,20,17,52,605,443,17,Not analysed,0.26,0.02,7,0.18,38.93,1.74
