Station code,water_bodies,Station name,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate,Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Saprobity index,Diversity index,P/R Ratio,Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia  (mg/L),Free Ammonia  (mg/L),Hardness (mg/L),Calcium (mg/L),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Total Phosphate (mg/L),Ortho Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),Sodium %,SAR,Arsenic,Lead,Cadmium,Copper,Zinc,Total Chromium,Nickel,Iron
1391,Lakes & Tanks ,Hussain sagar Lake,6,7.7,1467,20,23,,350,920,,,,35,Less than 1,524,187,112,,7,0.71,440,96,49,39,178,778,,20,0.5,,Less than 0.01,7,0.8,46,3.7,,BDL,BDL,BDL,BDL,BDL,ND,
3071,Lakes & Tanks ,Langarhouse lake,1.9,7.3,1351,12,18,,23,240,,,,27,Less than 1,500,150,72,4.1,5,0.27,360,96,29,24,145,784,,20,1.5,,Less than 0.01,15,0.9,45,3.3,,ND,0.03,0.15,0.04,ND,ND,
2341,Lakes & Tanks ,Miralam tank,5.4,6.9,1100,6,10,,28,250,,,,25,Less than 1,244,145,48,4,1,Less than 0.01,248,61,23,42,94,680,,18,2,,Less than 0.01,12,0.8,44,2.6,,ND,0.03,0.15,0.05,ND,ND,
3073,Lakes & Tanks ,"Hasmathpet lake, Hasmathpet",1.2,7.38,1642,14,23,,32,230,,,,30,Less than 1,405,209,68,4.5,4,0.06,384,90,39,79,188,887,,8,2.2,,Less than 0.01,15,0.9,50,4.2,,ND,0.03,0.15,0.05,ND,ND,
3072,Lakes & Tanks ,Safilguda lake,Less than 0.1,7.2,1599,16,13,,20,230,,,,6,Less than 1,510,191,28,2,6,0.06,496,110,54,32,190,927,,16,2,,Less than 0.01,7,1.1,45,3.7,,ND,0.03,0.24,0.06,ND,ND,
3075,Lakes & Tanks ,Rangadhamuni cheruvu,1.8,8.2,1429,14,18,,70,480,,,,30,Less than 1,460,173,72,2.8,5,0.4,408,94,42,41,212,772,,18,1.1,,Less than 0.01,6,0.9,52,4.6,,ND,0.03,0.18,0.04,ND,ND,
3076,Lakes & Tanks ,"Amber cheruvu, Kukatpally",1.4,7.76,1619,21,16,,20,230,,,,18,NIL,420,196,151,3.2,Less than 1,Less than 0.01,535,104,67,63,222,851,,15,1.8,,Less than 0.01,7,0.9,47,4.2,,0.15,BDL,BDL,BDL,BDL,0.21,
3077,Lakes & Tanks ,"Kapra cheruvu, Kapra",DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2357,Lakes & Tanks ,Durgam cheruvu,4.4,8.7,1105,12,1.26,,31,350,,,,27,Less than 1,240,194,62,3.1,Less than 1,0.07,370,78,43,64,225,627,,20,1.07,,Less than 0.01,11,1.1,56,5.1,,BDL,BDL,BDL,BDL,BDL,0.14,
2344,Lakes & Tanks ,Nalla cheruvu,DRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
